LOUIS DREYFUS NATURAL GAS,,,,,,,,,, ,,,,,,,,
ENRON ACTUAL SALES ALLOCATION,,,,,,,,,,,,,,,,,,
(ALL VOLUMES ARE IN MMBTU'S),,,,,,,,PROD MONTH,DECEMBER 2000,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,PURCH:  ,ENRON CAPITAL,,PURCH:  ,ENRON CAPITAL,,PURCH:  ,ENRON CAPITAL,,PURCH:  ,ENRON CAPITAL,,PURCH:  ,ENRON CAPITAL,,PURCH:  ,ENRON CAPTIAL,
FERC ,5.925,TENN LA + .0025 (2),,5.925,TENN LA + .0025 (2),,5.925,TENN LA + .0025 (2),,5.925,TENN LA + .0025 (2),,,ANR LA,,0, NGPL LA+.01,
,,BTU FACTOR,,,BTU FACTOR,1.0909468500140922,,BTU FACTOR,,,BTU FACTOR,1.0859392141778952,,BTU FACTOR,,,BTU FACTOR,
,ENRON - POOL POINT,,,EAST CAMERON 129,,,HIGH ISLAND 13L,,,HIGH ISLAND 45,,,SOUTH MARSH ISLAND 133,,,WEST CAMERON 408,,
DAY,DLVRD,ACTUAL,,DLVRD,ACTUAL,,DLVRD,ACTUAL,,DLVRD,ACTUAL,,DLVRD,ACTUAL,,DLVRD,ACTUAL,
OF,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY
MO,VOLUME,VOLUME,PRICE,VOLUME,VOLUME,PRICE,VOLUME,VOLUME,PRICE,VOLUME,VOLUME,PRICE,VOLUME,VOLUME,PRICE,VOLUME,VOLUME,PRICE
,,,,,,,,,,,,,,,,,,
1,17000,17060,6.19,3804.5720984759673,3818,6.19,0,,6.19,13195.427901524032,13242,6.19,,,,0,,
2,17000,15153,6.425,2325.678083547812,2073,6.425,0,,6.425,14674.321916452187,13080,6.425,,,,0,,
3,17000,16830,6.425,3527.2727272727275,3492,6.425,0,,6.425,13472.727272727272,13338,6.425,,,,0,,
4,17000,14308,6.425,4109.7987140061505,3459,6.425,0,,6.425,12890.20128599385,10849,6.425,,,,0,,
5,17000,16687,7.35,3378.198597710793,3316,7.35,0,,7.35,13621.801402289208,13371,7.35,,,,0,,
6,17000,14380,7.87,1295.6884561891516,1096,7.87,0,,7.87,15704.311543810849,13284,7.87,,,,0,,
7,17000,16953,8.655,3598.950038341297,3589,8.655,0,,8.655,13401.049961658704,13364,8.655,,,,0,,
8,16500,16629,8.435,3573.0651271874435,3601,8.435,0,,8.435,12926.934872812557,13028,8.435,,,,0,,
9,16500,13983,7.935,738.6826861188586,626,7.935,0,,7.935,15761.317313881142,13357,7.935,,,,0,,
10,16500,7260,7.935,0,0,7.935,0,,7.935,16500,7260,7.935,,,,0,,
11,16500,12776,7.935,3846.039448966813,2978,7.935,0,,7.935,12653.960551033188,9798,7.935,,,,0,,
12,15000,11221,9.715,995.9005436235631,745,9.715,0,,9.715,14004.099456376438,10476,9.715,,,,0,,
13,3000,12860,8.49,0,0,8.49,0,,8.49,3000,12860,8.49,,,,0,,
14,3000,13487,7.515,0,0,7.515,0,,7.515,3000,13487,7.515,,,,0,,
15,12750,15422,7.35,1519.5499935157568,1838,7.35,0,,7.35,11230.450006484243,13584,7.35,,,,0,,
16,12750,14383,7.775,3197.472710839185,3607,7.775,0,,7.775,9552.527289160815,10776,7.775,,,,0,,
17,12750,13925,7.775,2639.730700179533,2883,7.775,0,,7.775,10110.269299820466,11042,7.775,,,,0,,
18,12750,14427,7.775,2432.990226658349,2753,7.775,0,,7.775,10317.009773341651,11674,7.775,,,,0,,
19,12750,11161,9.225,1629.0206970701552,1426,9.225,0,,9.225,11120.979302929845,9735,9.225,,,,0,,
20,12750,14175,9.105,921.058201058201,1024,9.105,0,,9.105,11828.941798941798,13151,9.105,,,,0,,
21,9684,13655,9.895,0,0,9.895,0,,9.895,9684,13655,9.895,,,,0,,
22,12750,16846,10.5,2412.1007954410543,3187,10.5,0,,10.5,10337.899204558946,13659,10.5,,,,0,,
23,12750,17310,10.5,2676.689774696707,3634,10.5,0,,10.5,10073.310225303292,13676,10.5,,,,0,,
24,12750,17235,10.5,2648.389904264578,3580,10.5,0,,10.5,10101.610095735423,13655,10.5,,,,0,,
25,12750,17223,10.5,2699.094234453928,3646,10.5,0,,10.5,10050.905765546073,13577,10.5,,,,0,,
26,12750,16440,10.5,2764.051094890511,3564,10.5,0,,10.5,9985.94890510949,12876,10.5,,,,0,,
27,12750,14796,9.995,3070.3061638280615,3563,9.995,0,,9.995,9679.693836171939,11233,9.995,,,,0,,
28,20000,14928,9.46,4880.7609860664525,3643,9.46,0,,9.46,15119.239013933548,11285,9.46,,,,0,,
29,20000,13122,9.17,4211.248285322359,2763,9.17,0,,9.17,15788.75171467764,10359,9.17,,,,0,,
30,20000,13785,9.335,1175.19042437432,810,9.335,0,,9.335,18824.80957562568,12975,9.335,,,,0,,
31,20000,12472,9.335,4538.165490699166,2830,9.335,0,,9.335,15461.834509300834,9642,9.335,,,,0,,
TOTAL,448684,450892,8.58048387096774,74609.66620479891,73544,8.58048387096774,0,0,8.58048387096774,374074.3337952011,377348,8.58048387096774,0,0,0,0,0,0
