GLOBAL CONTRACTS - Assignments / Terminations / Expirations,GLOBAL CONTRACTS - Assignments / Terminations / Expirations,GLOBAL CONTRACTS - Assignments / Terminations / Expirations,GLOBAL CONTRACTS - Assignments / Terminations / Expirations,GLOBAL CONTRACTS - Assignments / Terminations / Expirations,GLOBAL CONTRACTS - Assignments / Terminations / Expirations,GLOBAL CONTRACTS - Assignments / Terminations / Expirations,GLOBAL CONTRACTS - Assignments / Terminations / Expirations,GLOBAL CONTRACTS - Assignments / Terminations / Expirations,GLOBAL CONTRACTS - Assignments / Terminations / Expirations,GLOBAL CONTRACTS - Assignments / Terminations / Expirations
Purchase / Sale / Transport and Financial Contracts,Purchase / Sale / Transport and Financial Contracts,Purchase / Sale / Transport and Financial Contracts,Purchase / Sale / Transport and Financial Contracts,Purchase / Sale / Transport and Financial Contracts,Purchase / Sale / Transport and Financial Contracts,Purchase / Sale / Transport and Financial Contracts,Purchase / Sale / Transport and Financial Contracts,Purchase / Sale / Transport and Financial Contracts,Purchase / Sale / Transport and Financial Contracts,Purchase / Sale / Transport and Financial Contracts
2001-11-26 00:00:00,2001-11-26 00:00:00,2001-11-26 00:00:00,2001-11-26 00:00:00,2001-11-26 00:00:00,2001-11-26 00:00:00,2001-11-26 00:00:00,2001-11-26 00:00:00,2001-11-26 00:00:00,2001-11-26 00:00:00,2001-11-26 00:00:00
Date,Type,Enron Entity,Existing C/P name,New C/P name,Contract Type,Global Contract Number,New     Global Contract Number,Effective Date,Meter,Comments
2001-11-01 00:00:00,Assignment,ENA,Bargo Energy Company,Mission Resources Corporation,Financial Master Agreement (1992-ECT Form),96000029,96000029,2001-11-01 00:00:00,,"ENA - Certificate of Merger effective 5/16/01, evidences the merger of Bargo Energy Company with and into Bellwether Exploration Company, with the surviving entity (Bellwether Exploration Company) changing its name to Mission Resources Corpor"
,,ENA,Monroe Power Company,Progress Ventures Inc.,GISB,96036522,,2001-11-01 00:00:00,,ENA  - GISB assignment by written notice from counterparty dated 10/11/01
2001-11-01 00:00:00,Expiration,ENA,"Oneok Energy Marketing and Trading Company, L.P.",,GTC Pur Firm,96023059,,2001-11-01 00:00:00,,ENA- GTC  - expired on it's own terms.
2001-11-01 00:00:00,Termination,ECTI,BP Oil International Limited,,Financial Master Agreement (1992-ECT Form) ,96030723,,2001-11-01 00:00:00,,ECT Int'l - Terminated this contract on 10/10/01 per Contract Audit Project.  This was a London Contract and not necessary to be in the Global system.  -gal 10/25/01
,,ENA,Enron Canada Corp.,,92 ISDA - Multicurrency/Cross Border,96007416,,2001-11-01 00:00:00,,ENA:  Audit project - S. Bailey said okay to terminate this contract as it is a duplicate for 96018321. - gal 11/19/01
,,ECTI,Enron Capital & Trade Resources Limited,,92 ISDA - Multicurrency/Cross Border,96041015,,2001-11-01 00:00:00,,ECT Int'l - Terminated this contract on 10/10/01 per Contract Audit Project. This was a London Contract and not necessary to be in Global Contracts. -gal 10/25/01
,,ENA,HPL Resources Company,,Financial Master Agreement (1992-ECT Form) ,96006388,,2001-11-01 00:00:00,,ENA:  Audit Project - Terminated this contract on 11/19/01 per S. Bailey. -gal
,,ECTI,Independent Energy UK Limited,,92 ISDA - Multicurrency/Cross Border,96031280,,2001-11-01 00:00:00,,ECT Int'l - Terminated this contract on 10/10/01 per the Contract Audit Project.  This was a London agreement and not necessary to be set up in the Global system.  -gal 10/25/01
2001-11-01 00:00:00,Termination,ENA Upstream,"KCS Medallion Resources, Inc.",N/A ,First Pur Ded Res,96085217,,2001-11-01 00:00:00,,ENA Upstream  - GTC Terminated as of 11/1/01 due to incorrect deal handling instructions indicating 1st pur gtc to be used.
,,ENA Upstream,"KCS Medallion Resources, Inc.",,First Pur Ded Res,96085224,,2001-11-01 00:00:00,,ENA Upstream  - GTC Terminated as of 11/1/01 due to incorrect deal handling instructions indicating 1st pur gtc to be used.
,,ECTI,Moravske Naftove Doly A.S.,,92 ISDA - Multicurrency/Cross Border,96031248,,2001-11-01 00:00:00,,ECT Int'l - Terminated this contract on 10/10/01 per the Contract Audit Project. This was a London agreement and not necessary to be set up in the Global system. -gal 10/25/01
,,ECTI,Morgan Stanley Capital Group Inc.,,92 ISDA - Multicurrency/Cross Border,96031244,,2001-11-01 00:00:00,,ECT Int'l - Terminated this contract on 10/3/01 per Contract Audit Project.  This is a London Contract and not necessary to be setup in the Global system. -gal 10/25/01
,,ECTI,RMT,,92 ISDA - Multicurrency/Cross Border,96031232,,2001-11-01 00:00:00,,ECT Int'l - Terminated this contract on 10/10/01 per Contract Audit Project.  This is a London contract and not necessary to be set up in Global system.  -gal 10/25/01
,,EGPTL,The Toronto-Dominion Bank,,92 ISDA - Multicurrency/Cross Border,96031039,,2001-11-01 00:00:00,,EGPTL:  Contract Audit - This is a London contract and S. Bailey in Legal said it was okay to terminate it. -gal 11/19/01
2001-11-02 00:00:00,Expiration,ENA,Michigan Consolidated Gas Company,,Parking,96086680,,2001-11-02 00:00:00,,ENA:  This contract expired on 11/02/2001.  
2001-11-05 00:00:00,Assignment,ENA,National Westminster Bank plc,The Royal Bank of Scotland plc,92 ISDA - Multicurrency/Cross Border,95000343,Same,2001-11-05 00:00:00,,"ENA:  Assignment Agreement effective 10/9/01 between National Westminster Bank plc, The Royal Bank of Scotland plc and ENA, whereby NWB assigned all its right, title & interests in the transactions under the ISDA Master dated 1/1/94 to RBS.  "
