,,,,,,,ENRON POW,ER TRADING &,TRANSMISSION,,,,,,Run Date,:       05/01,/01,,
Report Da,te:  04/30/01,,,,,,,Deal Summar,y,,,,,,Run Time,:       10:45,:57,,
Post ID:,10239,,,,,,,,,,,,,,,,,,
Desk: ALB,ERTA-HOURLY,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,Trade,Start,End,,,,,,,,,,Current,,,,Prior Day,Prior
Deal,Counter,Date,Date,Date,Anty,Delivery,PV'd,Swap Vol,PV'd,Option Vol,Notional,Deal Vol,,Deal,MTM P/L,,LTD,Hedge,Day
Number,Party,MM/DD/YY,MM/DD/YY,MM/DD/YY,Y/N,Point,Peak,Off Peak,Peak,Off Peak,Peak,Off Peak,Price Mid,Basis Mid,Total Mid,Prudent,Liquidations,Management,Liquidations
---------,------------------,--------,--------,--------,----,------------------------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,----------------,---------------,-------------
,,,,,,,,,,,,,,,,,,,
571863,AB TRANSFER,2001-04-05 00:00:00,2001-04-06 00:00:00,2001-04-06 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-235
571872,AB TRANSFER,2001-04-05 00:00:00,2001-04-06 00:00:00,2001-04-06 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-235
571875,AB TRANSFER,2001-04-05 00:00:00,2001-04-06 00:00:00,2001-04-06 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-235
571890,AB TRANSFER,2001-04-05 00:00:00,2001-04-06 00:00:00,2001-04-06 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-235
571894,AB TRANSFER,2001-04-05 00:00:00,2001-04-06 00:00:00,2001-04-06 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-175
571901,AB TRANSFER,2001-04-05 00:00:00,2001-04-06 00:00:00,2001-04-06 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-145
571914,AB TRANSFER,2001-04-05 00:00:00,2001-04-06 00:00:00,2001-04-06 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-145
571929,AB TRANSFER,2001-04-05 00:00:00,2001-04-06 00:00:00,2001-04-06 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-145
571937,AB TRANSFER,2001-04-05 00:00:00,2001-04-06 00:00:00,2001-04-06 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-145
573601,AB TRANSFER,2001-04-06 00:00:00,2001-04-06 00:00:00,2001-04-06 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,720
573603,AB TRANSFER,2001-04-06 00:00:00,2001-04-06 00:00:00,2001-04-06 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,720
573606,AB TRANSFER,2001-04-06 00:00:00,2001-04-06 00:00:00,2001-04-06 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,720
573607,AB TRANSFER,2001-04-06 00:00:00,2001-04-06 00:00:00,2001-04-06 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,720
576454,AB TRANSFER,2001-04-09 00:00:00,2001-04-09 00:00:00,2001-04-09 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-183
