Revised 6/14/01 ,First Quarter,,,Second Quarter,,,Third Quarter,,,Fourth Quarter,,,TOTAL,,
,,,,,,,,,,,,,,,
,3rd CE,2nd CE,Plan,3rd CE,2nd CE,Plan,3rd CE,2nd CE,Plan,3rd CE,2nd CE,Plan,3rd CE,2nd CE,Plan
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Net Margin, 300.0 , 299.9 , 287.5 , 214.1 , 213.9 , 198.3 , 211.9 , 216.7 , 205.0 , 262.7 , 265.0 , 279.6 , 988.7 , 995.5 , 970.4 
,,,,,,,,,,,,,,,
Expenses, (19.5), (19.5), (16.8), (12.0), (12.0), (16.3), (11.8), (14.5), (15.5), (17.6), (18.5), (18.8), (60.9), (64.5), (67.4)
,,,,,,,,,,,,,,,
Non-Recurring, (1.4), (1.4), -  , 2.8 , 2.8 , 9.9 , 3.0 , 3.2 , -  , 9.9 , 10.4 , 0.5 , 14.3 , 15.0 , 10.4 
,,,,,,,,,,,,,,,
   TOTAL ALL PIPES, 279.1 , 279.0 , 270.7 , 204.9 , 204.7 , 191.9 , 203.1 , 205.4 , 189.5 , 255.0 , 256.9 , 261.3 , 942.1 , 946.0 , 913.4 
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
'file:///danny_mccarty__4629__3rdCEPipesContribution.xlsx'#$All Pipes,,,,,,,,,,,,,,,
