ENRON position breakdown (12-04-01) BOD ,ENRON position breakdown (12-04-01) BOD ,ENRON position breakdown (12-04-01) BOD ,ENRON position breakdown (12-04-01) BOD ,ENRON position breakdown (12-04-01) BOD ,ENRON position breakdown (12-04-01) BOD ,ENRON position breakdown (12-04-01) BOD ,ENRON position breakdown (12-04-01) BOD ,ENRON position breakdown (12-04-01) BOD ,ENRON position breakdown (12-04-01) BOD ,ENRON position breakdown (12-04-01) BOD ,ENRON position breakdown (12-04-01) BOD ,ENRON position breakdown (12-04-01) BOD 
,Option Contracts,Option Contracts,Option Contracts,Futures Contracts,Futures Contracts,Futures Contracts,Options,Overall,,,,
Month,Bod,Activity,Eod,Bod,Activity,Eod,Delta , Delta,Gamma,Vega,Theta,Month
F02,11139,,,-2007,,,1933,-74,-5.7,-24315,45722,F02
G02,5829,,,770,,,-817,-47,6.5,70334,-57052,G02
H02,14241,,,-1101,,,1186,85,3.2,56115,-33396,H02
J02,4740,,,3087,,,-2436,651,9.5,139372,-35346,J02
K02,2835,,,-281,,,290,9,-8.7,-159484,32552,K02
M02,2302,,,217,,,-153,64,-1.7,-39065,6477,M02
N02,460,,,143,,,-2,141,-1.4,-37508,5099,N02
Q02,810,,,-331,,,-39,-370,-1.9,-62401,7341,Q02
U02,1815,,,-1154,,,143,-1011,-3.6,-125233,11975,U02
V02,0,,,76,,,0,76,,,,
X02,0,,,8,,,0,8,,,,
Z02,800,,,65,,,-63,2,-1.2,-74979,5237,Z02
H03,800,,,-101,,,15,-86,0.8,54614,-2663,H03
M03,400,,,508,,,-15,493,1,55218,-1751,M03
U03,50,,,-54,,,6,-48,0.11,7165,-183,U03
V03,0,,,60,,,0,60,0,,,V03
Z03,600,,,83,,,-86,-3,1,93248,-2046,Z03
G04,0,,,228,,,0,228,0,,,G04
H04,500,,,125,,,-128,-3,0.5,45724,-800,H04
,,,,,,,Overall:,175,-1.5899999999999994,-1195,-18834,
