Product Matrix for Exotic (Long Term) Options Trades,Product Matrix for Exotic (Long Term) Options Trades,Product Matrix for Exotic (Long Term) Options Trades,Product Matrix for Exotic (Long Term) Options Trades,Product Matrix for Exotic (Long Term) Options Trades,Product Matrix for Exotic (Long Term) Options Trades,Product Matrix for Exotic (Long Term) Options Trades,Product Matrix for Exotic (Long Term) Options Trades,Product Matrix for Exotic (Long Term) Options Trades,Product Matrix for Exotic (Long Term) Options Trades,Product Matrix for Exotic (Long Term) Options Trades,Product Matrix for Exotic (Long Term) Options Trades,Product Matrix for Exotic (Long Term) Options Trades,Product Matrix for Exotic (Long Term) Options Trades
Product Matrix for Exotic (Long Term) Options Trades,Product Matrix for Exotic (Long Term) Options Trades,Product Matrix for Exotic (Long Term) Options Trades,Product Matrix for Exotic (Long Term) Options Trades,Product Matrix for Exotic (Long Term) Options Trades,Product Matrix for Exotic (Long Term) Options Trades,Product Matrix for Exotic (Long Term) Options Trades,Product Matrix for Exotic (Long Term) Options Trades,Product Matrix for Exotic (Long Term) Options Trades,Product Matrix for Exotic (Long Term) Options Trades,Product Matrix for Exotic (Long Term) Options Trades,Product Matrix for Exotic (Long Term) Options Trades,Product Matrix for Exotic (Long Term) Options Trades,Product Matrix for Exotic (Long Term) Options Trades
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Note:  The options desk has access to various pricing libraries - Financial Engineering Associates, Exotica, Financial Recipes, etc. ",,,,,,,,,,,,,
           These pricing models may be used in the development of a variety of long term options trades.  ,,,,,,,,,,,,,
"           The following matrix displays a ""shopping list"" of derivatives pricing models that the trading desk may employ in the development of a variety of options trades.  ",,,,,,,,,,,,,
"           Depending upon the customers' needs, these trades may be customized, I.e., daily ahead, monthly, long-term, physical, or financial.  ",,,,,,,,,,,,,
"            Further, a combination of the following financial derivatives may be used in some customized structures.  ",,,,,,,,,,,,,
"            For example, we have structured a weather/power derivatives collar  to assist hydrogenerators in managing precipitation risks.",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Product ,Description,,,,,,,,,,,,
Call & Put Options,*  American options,Exotica,,,,,,,,,,,
,*  Asian options (average price and/or average strike),"Kaminski, pp. 83, 157, 158; Exotica ",,,,,,,,,,,
,"*  Average Rate Look Back Call (put) Option (functions similarly to a regular call (put) option, with the difference that it pays a cash settlement of the difference between its strike and the average rate for a pre-specified time period.)",EPMI Prodcut Descriptions,,,,,,,,,,,
,*  Barrier options (knock-in & knock-out options),Exotica,,,,,,,,,,,
,*  Basket options,,,,,,,,,,,,
,*  Bermuda options (types of nonstandard American options where early exercise is restricted to certain dates during the life of the option.),,,,,,,,,,,,
,*  Boston options (a type of deferred payment option - pay at maturity European options),Exotica,,,,,,,,,,,
,"*  Broken Cap (may be sold by generator to achieve an index plus price by selling a cap for only certain months, and spread earnings over other months to achieve better than index)",EPMI Prodcut Descriptions,,,,,,,,,,,
