Wellhead Sales Breakout for Oct.,,,,,,,
,,,,,,,
,Pipe,,Index,Gas Daily Firm,Daily Marketed Swing,,
Affiliated Sales,,,,,,,
Central Gulf,ANR,,28045,2309,,,
Mid Central,ANR,,,,6041,,
Gulf 2,CGLF,,43236,1452,,,
TP1,CGLF,,,541,,,
Gulf 1,Discovery,,20000,10000,,,
Gulf 4,FGT,,27349,3748,,,
Gulf 2,Gulf South,,7057,,,,
Central Gulf,NGPL,,7080,,9551,,
Mid Central,NGPL,,,,8884,,
Mid Central South,NNG,,,4275,,,
Mid Central South,ONG,,9300,10169,,,
Mid Central South,PEPL,,2556,,,,
Central Gulf,Reliant,,6810,1178,7000,,
Gulf 1,Sabine Hub,,,,10000,,
Gulf 1,Sabine Pipe,,180,,,,
Gulf 4,Sonat,,3000,936,,,
Gulf 1,Stingray,,20715,,6325,,
Gulf 3,Tenn,,40987,6848,3802,,
Gulf 3,Tetc,,24240,1060,39472,,
TP2,Tetc,,3300,,5589,,
Gulf 2,Tgt,,24697,770,,,
Gulf 1,Trco,,45555,332,3338,,
VNG,Trco,,,1906,,,
Central Gulf,Trkl,,12400,,,,
Gulf 2,Venice,,17500,7818,,,
,,,,,,,
,,,344007,53342,100002,,497351.0
,,,,,,,
,,,,,,,
,,,,,,,
Third Party Sales,,,,,,,
 ,ANR,,,25188,3909,,
 ,Blue Dolphin,,357,, ,,
,Coastal States,,320,,,,
,CGLF,,14303,12121,,,
,Discovery,,,,10994,,
,Hios,,,,49241,,
,NGPL,,,1986,15313,,
,Reliant,,5000,,,,
,Sonat,,,,30257,,
,Stingray,,,3700,,,
 ,Tejas,,,2162,,,
,Tenn,,59072,7400,11558,,
,Tetc,,24911,,6500,,
,Tgt,,,,10000,,
,Trco,,34449,22000,14000,,
,Trkl,,19000,11906,19798,,
,,,,,,,
,,,157412,86463,171570,,415445.0
,,,,,,,
,,,,,,,912796.0
