Overall Summary for All Cases Examined,,,,,,,,,,,,,,,,,,,,,,
Results in Mdth/d by Contract Category,,,,,,,,,,,,,,,,,,,,,,
,,,Study 2,Study 2,,Study 1,Study 1,,Study 1b,Study 1b,,Study 3,Study 3,,Study 3b,Study 3b,,Study 4a,Study 4a,,Study 4b,Study 4b
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Agmt,Shipper,,CURRENT CD/BD,Quantity Not Assigned Firm Receipt Rights,,1995 CD/NCP,Quantity Not Assigned Firm Receipt Rights,,1995 CD/CP,Quantity Not Assigned Firm Receipt Rights,,Last 12 Months CD/NCP,Quantity Not Assigned Firm Receipt Rights,,Last 12 Months CD/CP,Quantity Not Assigned Firm Receipt Rights,,CD / MAX EST.,Quantity Not Assigned Firm Receipt Rights,,CD / WINTER EST.,Quantity Not Assigned Firm Receipt Rights
,,,,,,,,,,,,,,,,,,,,,,
Enter an Agreement Number to Look Up,,,,,,,,,,,,,,,,,,,,,,
9KEE,OneOK Energy Marketing ,,10500,0,,10500,0,,10500,0,,10500,0,,10500,0,,10500,0,,10500,0
All Contracts,,,111650,0,,111650,0,,111650,0,,111650,3059,,111650,183,,111650,5480,,111650,4472
,,,,,,,,,,,,,,,,,,,,,,
CD Contracts Flowing to East End Delivery Points,,,,,,,,,,,,,,,,,,,,,,
9KEE,OneOK Energy Marketing ,,10500,0,,10500,0,,10500,0,,10500,0,,10500,0,,10500,0,,10500,0
9JPJ,Phillips Petroleum Company ,,5000,0,,5000,0,,5000,0,,5000,0,,5000,0,,5000,0,,5000,0
9LLE,Phillips Petroleum Company ,,25575,0,,25575,0,,25575,0,,25575,0,,25575,0,,25575,0,,25575,0
9LVC,Tenaska Marketing Ventures ,,51150,0,,51150,0,,51150,0,,51150,0,,51150,0,,51150,0,,51150,0
9MVR,Tenaska Marketing Ventures ,,10000,0,,10000,0,,10000,0,,10000,0,,10000,0,,10000,0,,10000,0
9L6T,West Texas Gas ,,35000,0,,35000,0,,35000,0,,35000,0,,35000,0,,35000,0,,35000,0
9L6Y,Odessa-Ector Power Partners ,,85000,0,,85000,0,,85000,0,,85000,0,,85000,0,,85000,0,,85000,0
,Sub-total,,222225,0,,222225,0,,222225,0,,222225,0,,222225,0,,222225,0,,222225,0
,,,,,,,,,,,,,,,,,,,,,,
CD Contracts Flowing to California Delivery Points,,,,,,,,,,,,,,,,,,,,,,
9MN4,"ABQ Energy Group, Ltd ",,2016,0,,2016,61,,2016,0,,2016,523,,2016,29,,2016,856,,2016,733
9MDU,AEP Energy Services ,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0
9M84,Aera Energy LLC ,,7664,0,,7664,0,,7664,0,,7664,0,,7664,0,,7664,0,,7664,0
9M85,Aera Energy LLC ,,12796,0,,12796,0,,12796,0,,12796,0,,12796,0,,12796,0,,12796,0
9MDM,Allegheney Energy ,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0,,11418,0
9MCA,"Allegheny Energy Supply Company, LLC ",,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0,,3975,0
