Shipper Name,TSA,Delivery Location,FT1/FT2,Receipt Location,Delv Dths
"ABQ Energy Group, Ltd ",9MN4,DPG&ETOP,FT1,Blanco,1135
"ABQ Energy Group, Ltd ",9MN4,DPG&ETOP,FT1,Bondad Mainline,0
"ABQ Energy Group, Ltd ",9MN4,DPG&ETOP,FT1,Bondad Station,0
"ABQ Energy Group, Ltd ",9MN4,DPG&ETOP,FT1,Puckett,114
"ABQ Energy Group, Ltd ",9MN4,DPG&ETOP,FT1,Rio Vista,0
"ABQ Energy Group, Ltd ",9MN4,DPG&ETOP,FT1,Waha,574
"ABQ Energy Group, Ltd ",9MN4,DPG&ETOP,FT1,Waha,132
,,DPG&ETOP Total,,,1955
,9MN4 Total,,,,1955
AEP Energy Services ,9MDU,DSCALEHR,FT1,Waha,11418
,,DSCALEHR Total,,,11418
,9MDU Total,,,,11418
Aera Energy LLC ,9M84,DSCALTOP,FT1,Blanco,0
Aera Energy LLC ,9M84,DSCALTOP,FT1,Bondad Mainline,0
Aera Energy LLC ,9M84,DSCALTOP,FT1,Bondad Station,4322
Aera Energy LLC ,9M84,DSCALTOP,FT1,Rio Vista,0
Aera Energy LLC ,9M84,DSCALTOP,FT1,Waha,3342
,,DSCALTOP Total,,,7664
,9M84 Total,,,,7664
Aera Energy LLC ,9M85,DMOJAVE,FT1,Blanco,0
Aera Energy LLC ,9M85,DMOJAVE,FT1,Bondad Mainline,0
Aera Energy LLC ,9M85,DMOJAVE,FT1,Bondad Station,7216
Aera Energy LLC ,9M85,DMOJAVE,FT1,Rio Vista,0
Aera Energy LLC ,9M85,DMOJAVE,FT1,Waha,5580
,,DMOJAVE Total,,,12796
,9M85 Total,,,,12796
Allegheney Energy ,9MDM,DSCALEHR,FT1,Keystone,11418
,,DSCALEHR Total,,,11418
,9MDM Total,,,,11418
"Allegheny Energy Supply Company, LLC ",9MCA,DSCALTOP,FT1,Keystone,3975
,,DSCALTOP Total,,,3975
,9MCA Total,,,,3975
"Allegheny Energy Supply Company, LLC ",9MCX,DSCALEHR,FT1,Keystone,11418
,,DSCALEHR Total,,,11418
,9MCX Total,,,,11418
"Allegheny Energy Supply Company, LLC ",9MEQ,DSCALTOP,FT1,Blanco,1925
"Allegheny Energy Supply Company, LLC ",9MEQ,DSCALTOP,FT1,Keystone,1488
,,DSCALTOP Total,,,3413
,9MEQ Total,,,,3413
"Apache Nitrogen Products, Inc. ",97VV,DAPOWWIL,FT2,Blanco,494
"Apache Nitrogen Products, Inc. ",97VV,DAPOWWIL,FT2,Bondad Mainline,1292
"Apache Nitrogen Products, Inc. ",97VV,DAPOWWIL,FT2,Keystone,137
"Apache Nitrogen Products, Inc. ",97VV,DAPOWWIL,FT2,Plains,3
"Apache Nitrogen Products, Inc. ",97VV,DAPOWWIL,FT2,Waha,25
,,DAPOWWIL Total,,,1951
,97VV Total,,,,1951
"Arizona Electric Power Cooperative, Inc. ",9838,DAEPCWIL,FT1,Blanco,12391
"Arizona Electric Power Cooperative, Inc. ",9838,DAEPCWIL,FT1,Bondad Mainline,0
"Arizona Electric Power Cooperative, Inc. ",9838,DAEPCWIL,FT1,Bondad Station,0
"Arizona Electric Power Cooperative, Inc. ",9838,DAEPCWIL,FT1,Puckett,1246
"Arizona Electric Power Cooperative, Inc. ",9838,DAEPCWIL,FT1,Rio Vista,0
"Arizona Electric Power Cooperative, Inc. ",9838,DAEPCWIL,FT1,Waha,6256
"Arizona Electric Power Cooperative, Inc. ",9838,DAEPCWIL,FT1,Waha,1433
,,DAEPCWIL Total,,,21326
,9838 Total,,,,21326
Arizona Public Service Company ,97ZC,DAPS PHX,FT1,Blanco,50634
Arizona Public Service Company ,97ZC,DAPS PHX,FT1,Bondad Mainline,0
Arizona Public Service Company ,97ZC,DAPS PHX,FT1,Bondad Station,0
Arizona Public Service Company ,97ZC,DAPS PHX,FT1,Puckett,5095
Arizona Public Service Company ,97ZC,DAPS PHX,FT1,Rio Vista,0
Arizona Public Service Company ,97ZC,DAPS PHX,FT1,Waha,25568
Arizona Public Service Company ,97ZC,DAPS PHX,FT1,Waha,5856
,,DAPS PHX Total,,,87153
Arizona Public Service Company ,97ZC,DAPS SAG,FT1,Blanco,18711
Arizona Public Service Company ,97ZC,DAPS SAG,FT1,Bondad Mainline,0
Arizona Public Service Company ,97ZC,DAPS SAG,FT1,Bondad Station,0
Arizona Public Service Company ,97ZC,DAPS SAG,FT1,Puckett,1882
Arizona Public Service Company ,97ZC,DAPS SAG,FT1,Rio Vista,0
Arizona Public Service Company ,97ZC,DAPS SAG,FT1,Waha,9448
Arizona Public Service Company ,97ZC,DAPS SAG,FT1,Waha,2164
,,DAPS SAG Total,,,32205
Arizona Public Service Company ,97ZC,DAPS YUM,FT1,Blanco,10618
Arizona Public Service Company ,97ZC,DAPS YUM,FT1,Bondad Mainline,0
Arizona Public Service Company ,97ZC,DAPS YUM,FT1,Bondad Station,0
Arizona Public Service Company ,97ZC,DAPS YUM,FT1,Puckett,1068
Arizona Public Service Company ,97ZC,DAPS YUM,FT1,Rio Vista,0
Arizona Public Service Company ,97ZC,DAPS YUM,FT1,Waha,5361
Arizona Public Service Company ,97ZC,DAPS YUM,FT1,Waha,1228
,,DAPS YUM Total,,,18275
,97ZC Total,,,,137633
ASARCO Incorporated,982A,DKENNS-H,FT1,Blanco,2963
ASARCO Incorporated,982A,DKENNS-H,FT1,Bondad Mainline,0
ASARCO Incorporated,982A,DKENNS-H,FT1,Bondad Station,0
ASARCO Incorporated,982A,DKENNS-H,FT1,Puckett,298
ASARCO Incorporated,982A,DKENNS-H,FT1,Rio Vista,0
ASARCO Incorporated,982A,DKENNS-H,FT1,Waha,1494
ASARCO Incorporated,982A,DKENNS-H,FT1,Waha,344
,,DKENNS-H Total,,,5099
,982A Total,,,,5099
ASARCO Incorporated,9834,DASARELP,FT1,Blanco,3886
ASARCO Incorporated,9834,DASARELP,FT1,Bondad Mainline,0
ASARCO Incorporated,9834,DASARELP,FT1,Bondad Station,0
ASARCO Incorporated,9834,DASARELP,FT1,Puckett,391
ASARCO Incorporated,9834,DASARELP,FT1,Rio Vista,0
ASARCO Incorporated,9834,DASARELP,FT1,Waha,1961
ASARCO Incorporated,9834,DASARELP,FT1,Waha,451
,,DASARELP Total,,,6689
,9834 Total,,,,6689
BHP Copper Inc. ,97ZU,DMAGMS-H,FT1,Blanco,12705
BHP Copper Inc. ,97ZU,DMAGMS-H,FT1,Bondad Mainline,0
BHP Copper Inc. ,97ZU,DMAGMS-H,FT1,Bondad Station,0
BHP Copper Inc. ,97ZU,DMAGMS-H,FT1,Puckett,1279
BHP Copper Inc. ,97ZU,DMAGMS-H,FT1,Rio Vista,0
BHP Copper Inc. ,97ZU,DMAGMS-H,FT1,Waha,6415
BHP Copper Inc. ,97ZU,DMAGMS-H,FT1,Waha,1470
,,DMAGMS-H Total,,,21869
,97ZU Total,,,,21869
Black Mountain Gas Company ,982D,DBMTNPHX,FT2,Blanco,74
Black Mountain Gas Company ,982D,DBMTNPHX,FT2,Bondad Mainline,1255
,,DBMTNPHX Total,,,1329
,982D Total,,,,1329
BP Energy ,9M24,DSCALTOP,FT1,Blanco,0
BP Energy ,9M24,DSCALTOP,FT1,Bondad Mainline,0
BP Energy ,9M24,DSCALTOP,FT1,Bondad Station,5402
BP Energy ,9M24,DSCALTOP,FT1,Rio Vista,0
BP Energy ,9M24,DSCALTOP,FT1,Sweetie Peck,1347
BP Energy ,9M24,DSCALTOP,FT1,Waha,1061
BP Energy ,9M24,DSCALTOP,FT1,Waha,1220
,,DSCALTOP Total,,,9030
,9M24 Total,,,,9030
BP Energy ,9M3B,DSCALEHR,FT1,Sweetie Peck,15995
,,DSCALEHR Total,,,15995
,9M3B Total,,,,15995
BP Energy ,9MEX,DSCALTOP,FT1,Blanco,0
BP Energy ,9MEX,DSCALTOP,FT1,Bondad Mainline,0
BP Energy ,9MEX,DSCALTOP,FT1,Bondad Station,1925
BP Energy ,9MEX,DSCALTOP,FT1,Rio Vista,0
BP Energy ,9MEX,DSCALTOP,FT1,Sweetie Peck,479
BP Energy ,9MEX,DSCALTOP,FT1,Waha,377
BP Energy ,9MEX,DSCALTOP,FT1,Waha,435
,,DSCALTOP Total,,,3216
,9MEX Total,,,,3216
BP Energy Company ,9MRB,ILONEWA,FT1,Blanco,0
BP Energy Company ,9MRB,ILONEWA,FT1,Bondad Mainline,0
BP Energy Company ,9MRB,ILONEWA,FT1,Bondad Station,8650
BP Energy Company ,9MRB,ILONEWA,FT1,Puckett,449
BP Energy Company ,9MRB,ILONEWA,FT1,Rio Vista,0
BP Energy Company ,9MRB,ILONEWA,FT1,Waha,5497
BP Energy Company ,9MRB,ILONEWA,FT1,Waha,750
,,ILONEWA Total,,,15346
BP Energy Company ,9MRB,IWESTARW,FT1,Blanco,0
BP Energy Company ,9MRB,IWESTARW,FT1,Bondad Mainline,0
BP Energy Company ,9MRB,IWESTARW,FT1,Bondad Station,5766
BP Energy Company ,9MRB,IWESTARW,FT1,Puckett,299
BP Energy Company ,9MRB,IWESTARW,FT1,Rio Vista,0
BP Energy Company ,9MRB,IWESTARW,FT1,Waha,3664
BP Energy Company ,9MRB,IWESTARW,FT1,Waha,500
,,IWESTARW Total,,,10229
,9MRB Total,,,,25575
