YEAR,MONTH,DAY,SumOfSum Of UTILIZED_CAPACITY_QTY,EFFECTIVE_DTM By Day
1998,10,1,81891,"Thursday, October 01, 1998"
1998,10,2,93308,"Friday, October 02, 1998"
1998,10,3,78801,"Saturday, October 03, 1998"
1998,10,4,79509,"Sunday, October 04, 1998"
1998,10,5,86008,"Monday, October 05, 1998"
1998,10,6,85958,"Tuesday, October 06, 1998"
1998,10,7,87065,"Wednesday, October 07, 1998"
1998,10,8,87982,"Thursday, October 08, 1998"
1998,10,9,90968,"Friday, October 09, 1998"
1998,10,10,88886,"Saturday, October 10, 1998"
1998,10,11,89105,"Sunday, October 11, 1998"
1998,10,12,93384,"Monday, October 12, 1998"
1998,10,13,88338,"Tuesday, October 13, 1998"
1998,10,14,84948,"Wednesday, October 14, 1998"
1998,10,15,80452,"Thursday, October 15, 1998"
1998,10,16,74635,"Friday, October 16, 1998"
1998,10,17,76303,"Saturday, October 17, 1998"
1998,10,18,75767,"Sunday, October 18, 1998"
1998,10,19,76558,"Monday, October 19, 1998"
1998,10,20,89712,"Tuesday, October 20, 1998"
1998,10,21,83473,"Wednesday, October 21, 1998"
1998,10,22,99194,"Thursday, October 22, 1998"
1998,10,23,106900,"Friday, October 23, 1998"
1998,10,24,99226,"Saturday, October 24, 1998"
1998,10,25,100777,"Sunday, October 25, 1998"
1998,10,26,105584,"Monday, October 26, 1998"
1998,10,27,117359,"Tuesday, October 27, 1998"
1998,10,28,113931,"Wednesday, October 28, 1998"
1998,10,29,114267,"Thursday, October 29, 1998"
1998,10,30,136679,"Friday, October 30, 1998"
1998,10,31,133403,"Saturday, October 31, 1998"
1998,11,1,111506,"Sunday, November 01, 1998"
1998,11,2,114555,"Monday, November 02, 1998"
1998,11,3,109074,"Tuesday, November 03, 1998"
1998,11,4,114048,"Wednesday, November 04, 1998"
1998,11,5,110168,"Thursday, November 05, 1998"
1998,11,6,110267,"Friday, November 06, 1998"
1998,11,7,105166,"Saturday, November 07, 1998"
1998,11,8,104774,"Sunday, November 08, 1998"
1998,11,9,106720,"Monday, November 09, 1998"
1998,11,10,112617,"Tuesday, November 10, 1998"
1998,11,11,117621,"Wednesday, November 11, 1998"
1998,11,12,129595,"Thursday, November 12, 1998"
1998,11,13,109556,"Friday, November 13, 1998"
1998,11,14,85006,"Saturday, November 14, 1998"
1998,11,15,88543,"Sunday, November 15, 1998"
1998,11,16,98873,"Monday, November 16, 1998"
1998,11,17,108014,"Tuesday, November 17, 1998"
1998,11,18,119161,"Wednesday, November 18, 1998"
1998,11,19,116744,"Thursday, November 19, 1998"
1998,11,20,116708,"Friday, November 20, 1998"
1998,11,21,113153,"Saturday, November 21, 1998"
1998,11,22,113208,"Sunday, November 22, 1998"
1998,11,23,114158,"Monday, November 23, 1998"
1998,11,24,114266,"Tuesday, November 24, 1998"
