Business Unit,Counterparty,Pipe,Zone,Trade Date,Meter,BeginFlow,EndFlow,Volume,Price,$
ENA - IM Denver,"Enserco Energy, Inc.",CIG,Mainline,2001-09-25 00:00:00,UNA-516938,2001-10-01 00:00:00,2001-11-01 00:00:00,10000,1.075,10750
ENA - IM Denver,"Western Gas Resources, Inc.",CIG,Mainline,2001-09-24 00:00:00,UNA-516938,2001-10-01 00:00:00,2001-11-01 00:00:00,4234,1.025,4339.849999999999
ENA - IM Denver,BP Energy Company,CIG,Mainline,2001-09-24 00:00:00,UNA-516938,2001-10-01 00:00:00,2001-11-01 00:00:00,5000,1.035,5175
ENA - IM Denver,"El Paso Merchant Energy, L.P.",CIG,Mainline,2001-09-24 00:00:00,UNA-516938,2001-10-01 00:00:00,2001-11-01 00:00:00,10000,1.015,10149.999999999998
ENA - IM Denver,Aquila Energy Marketing Corporation,CIG,Mainline,2001-09-24 00:00:00,UNA-516938,2001-10-01 00:00:00,2001-11-01 00:00:00,10000,1.0925,10925
ENA - IM Denver,BP Energy Company,CIG,Mainline,2001-09-24 00:00:00,UNA-516938,2001-10-01 00:00:00,2001-11-01 00:00:00,10000,1.015,10149.999999999998
ENA - IM Denver,Marathon Oil Company,CIG,Mainline,2001-09-24 00:00:00,UNA-516938,2001-10-01 00:00:00,2001-11-01 00:00:00,1500,1.045,1567.5
ENA - IM Denver,Kerr-McGee Energy Services Corporation,CIG,Mainline,2001-09-24 00:00:00,UNA-516938,2001-10-01 00:00:00,2001-11-01 00:00:00,2000,1.025,2050
ENA - IM Denver,Aquila Energy Marketing Corporation,CIG,Mainline,2001-09-25 00:00:00,UNA-516938,2001-10-01 00:00:00,2001-11-01 00:00:00,10000,1.015,10149.999999999998
ENA - IM Denver,"El Paso Merchant Energy, L.P.",CIG,Mainline,2001-09-26 00:00:00,UNA-516938,2001-10-01 00:00:00,2001-11-01 00:00:00,5000,1.165,5825
ENA - IM Denver,"Enserco Energy, Inc.",CIG,Mainline,2001-09-25 00:00:00,UNA-516938,2001-10-01 00:00:00,2001-11-01 00:00:00,10000,1.025,10250
ENA - IM Denver,"e prime, inc.",CIG,Mainline,2001-09-25 00:00:00,UNA-516938,2001-10-01 00:00:00,2001-11-01 00:00:00,5000,1.035,5175
ENA - IM Denver,Aquila Energy Marketing Corporation,CIG,Mainline,2001-09-25 00:00:00,UNA-516938,2001-10-01 00:00:00,2001-11-01 00:00:00,10000,1.045,10450
ENA - IM Denver,"El Paso Merchant Energy, L.P.",CIG,Mainline,2001-09-26 00:00:00,UNA-516938,2001-10-01 00:00:00,2001-11-01 00:00:00,5000,1.125,5625
ENA - IM Denver,"El Paso Merchant Energy, L.P.",CIG,Mainline,2001-09-25 00:00:00,UNA-516938,2001-10-01 00:00:00,2001-11-01 00:00:00,5000,1.02,5100
ENA - IM Denver,"El Paso Merchant Energy, L.P.",CIG,Mainline,2001-09-25 00:00:00,UNA-516938,2001-10-01 00:00:00,2001-11-01 00:00:00,5000,1.01,5050
ENA - IM Denver,"e prime, inc.",CIG,Mainline,2001-09-25 00:00:00,UNA-516938,2001-10-01 00:00:00,2001-11-01 00:00:00,5000,1.02,5100
ENA - IM Denver,Kerr-McGee Energy Services Corporation,CIG,Mainline,2001-09-25 00:00:00,UNA-516938,2001-10-01 00:00:00,2001-11-01 00:00:00,5000,1.03,5150
ENA - IM Denver,Aquila Energy Marketing Corporation,CIG,Mainline,2001-09-25 00:00:00,UNA-516938,2001-10-01 00:00:00,2001-11-01 00:00:00,5000,1.045,5225
ENA - IM Denver,Marathon Oil Company,CIG,Mainline,2001-09-25 00:00:00,UNA-516938,2001-10-01 00:00:00,2001-11-01 00:00:00,5000,1.055,5275
ENA - IM Denver,Marathon Oil Company,CIG,Mainline,2001-09-25 00:00:00,UNA-516938,2001-10-01 00:00:00,2001-11-01 00:00:00,5000,1.085,5425
ENA - IM Denver,"National Fuel Marketing Company, LLC",CIG,Mainline,2001-09-25 00:00:00,UNA-516938,2001-10-01 00:00:00,2001-11-01 00:00:00,5000,1.01,5050
ENA - IM Denver,Retex Inc.,CIG,Mainline,2001-09-25 00:00:00,UNA-516938,2001-10-01 00:00:00,2001-11-01 00:00:00,608,1.065,647.52
,,,WACOG,1.0452709227855603,,,,138342,,144604.87
,,,,,,,,,,
ENA - IM WC SJ,Aquila Energy Marketing Corporation,EPNG,Blanco,2001-09-26 00:00:00,AVG BLANCO,2001-10-01 00:00:00,2001-11-01 00:00:00,10000,1.36,13600.000000000002
ENA - IM WC SJ,"Mirant Americas Energy Marketing, L.P.",EPNG,Blanco,2001-09-25 00:00:00,AVG BLANCO,2001-10-01 00:00:00,2001-11-01 00:00:00,10000,1.39,13899.999999999998
ENA - IM WC SJ,"Mirant Americas Energy Marketing, L.P.",EPNG,Blanco,2001-09-25 00:00:00,AVG BLANCO,2001-10-01 00:00:00,2001-11-01 00:00:00,10000,1.3,13000
ENA - IM WC SJ,"Mirant Americas Energy Marketing, L.P.",EPNG,Blanco,2001-09-25 00:00:00,AVG BLANCO,2001-10-01 00:00:00,2001-11-01 00:00:00,10000,1.31,13100
ENA - IM WC SJ,"e prime, inc.",EPNG,Blanco,2001-09-25 00:00:00,AVG BLANCO,2001-10-01 00:00:00,2001-11-01 00:00:00,10000,1.36,13600.000000000002
ENA - IM WC SJ,"e prime, inc.",EPNG,Blanco,2001-09-24 00:00:00,AVG BLANCO,2001-10-01 00:00:00,2001-11-01 00:00:00,10000,1.32,13200
ENA - IM WC SJ,"e prime, inc.",EPNG,Blanco,2001-09-26 00:00:00,AVG BLANCO,2001-10-01 00:00:00,2001-11-01 00:00:00,10000,1.34,13400
ENA - IM WC SJ,"e prime, inc.",EPNG,Blanco,2001-09-25 00:00:00,AVG BLANCO,2001-10-01 00:00:00,2001-11-01 00:00:00,10000,1.39,13899.999999999998
ENA - IM WC SJ,"e prime, inc.",EPNG,Blanco,2001-09-24 00:00:00,AVG BLANCO,2001-10-01 00:00:00,2001-11-01 00:00:00,10000,1.31,13100
ENA - IM WC SJ,"Mirant Americas Energy Marketing, L.P.",EPNG,Blanco,2001-09-24 00:00:00,AVG BLANCO,2001-10-01 00:00:00,2001-11-01 00:00:00,10000,1.3,13000
ENA - IM WC SJ,"Cinergy Marketing & Trading, LLC",EPNG,Blanco,2001-09-25 00:00:00,AVG BLANCO,2001-10-01 00:00:00,2001-11-01 00:00:00,10000,1.3,13000
ENA - IM WC SJ,"e prime, inc.",EPNG,Blanco,2001-09-24 00:00:00,AVG BLANCO,2001-10-01 00:00:00,2001-11-01 00:00:00,10000,1.3,13000
ENA - IM WC SJ,"USGT/Aquila, L.P.",EPNG,Blanco,2001-09-24 00:00:00,AVG BLANCO,2001-10-01 00:00:00,2001-11-01 00:00:00,10000,1.33,13300
ENA - IM WC SJ,"Mirant Americas Energy Marketing, L.P.",EPNG,Blanco,2001-09-24 00:00:00,AVG BLANCO,2001-10-01 00:00:00,2001-11-01 00:00:00,10000,1.31,13100
ENA - IM WC SJ,"USGT/Aquila, L.P.",EPNG,Blanco,2001-09-24 00:00:00,AVG BLANCO,2001-10-01 00:00:00,2001-11-01 00:00:00,10000,1.31,13100
ENA - IM WC SJ,"Mirant Americas Energy Marketing, L.P.",EPNG,Blanco,2001-09-24 00:00:00,AVG BLANCO,2001-10-01 00:00:00,2001-11-01 00:00:00,10000,1.35,13500
ENA - IM WC SJ,"Mirant Americas Energy Marketing, L.P.",EPNG,Blanco,2001-09-24 00:00:00,AVG BLANCO,2001-10-01 00:00:00,2001-11-01 00:00:00,10000,1.35,13500
ENA - IM WC SJ,Dynegy Marketing and Trade,EPNG,Blanco,2001-09-24 00:00:00,AVG BLANCO,2001-10-01 00:00:00,2001-11-01 00:00:00,10000,1.3,13000
ENA - IM WC SJ,Dynegy Marketing and Trade,EPNG,Blanco,2001-09-24 00:00:00,AVG BLANCO,2001-10-01 00:00:00,2001-11-01 00:00:00,10000,1.3,13000
ENA - IM WC SJ,"e prime, inc.",EPNG,Blanco,2001-09-25 00:00:00,AVG BLANCO,2001-10-01 00:00:00,2001-11-01 00:00:00,10000,1.3,13000
ENA - IM WC SJ,Williams Energy Marketing & Trading Company,EPNG,Blanco,2001-09-25 00:00:00,AVG BLANCO,2001-10-01 00:00:00,2001-11-01 00:00:00,10000,1.38,13799.999999999998
ENA - IM WC SJ,"Mirant Americas Energy Marketing, L.P.",EPNG,Blanco,2001-09-25 00:00:00,AVG BLANCO,2001-10-01 00:00:00,2001-11-01 00:00:00,10000,1.31,13100
ENA - IM WC SJ,"e prime, inc.",EPNG,Blanco,2001-09-25 00:00:00,AVG BLANCO,2001-10-01 00:00:00,2001-11-01 00:00:00,10000,1.36,13600.000000000002
ENA - IM WC SJ,"Cinergy Marketing & Trading, LLC",EPNG,Blanco,2001-09-25 00:00:00,AVG BLANCO,2001-10-01 00:00:00,2001-11-01 00:00:00,10000,1.3,13000
ENA - IM WC SJ,"Cross Timbers Energy Services, Inc.",EPNG,Blanco,2001-09-25 00:00:00,AVG BLANCO,2001-10-01 00:00:00,2001-11-01 00:00:00,10000,1.31,13100
ENA - IM WC SJ,"e prime, inc.",EPNG,Blanco,2001-09-24 00:00:00,AVG BLANCO,2001-10-01 00:00:00,2001-11-01 00:00:00,10000,1.27,12700
ENA - IM WC SJ,"e prime, inc.",EPNG,Blanco,2001-09-24 00:00:00,AVG BLANCO,2001-10-01 00:00:00,2001-11-01 00:00:00,10000,1.27,12700
ENA - IM WC SJ,"e prime, inc.",EPNG,Blanco,2001-09-25 00:00:00,AVG BLANCO,2001-10-01 00:00:00,2001-11-01 00:00:00,5000,1.31,6550
