,,,,,,,,
,,M 2 M ,2550,,,,,
,,Premium,450,,,,,
,,,,,,,,
,,,Pos,Payout,Value,,,
,East,Dallas,0,2550,0,,East,Buffalo
,,Philadelphia,0,2550,30,,,Miami
,,New York Giants,Brazil,,0,,,New York Jets
,,Washington,Braz,,0,,,New England
,,Phoenix,,,30,,,Indianapolis
,,,,,,,,
,Central,Green Bay,,,0,,Central,Nashville
,,Minnesota,,,0,,,Baltimore
,,Chicago,,,0,,,Cincinati
,,Detroit,,,0,,,Pittsburgh
,,Tampa Bay,,,0,,,Jacksonville
,,,,,,,,
,West,San Francisco,,,0,,West,Kansas City
,,St. Louis,,,0,,,Oakland
,,New Orleans,,,0,,,San Diego
,,Atlanta,,,0,,,Seattle
,,Carolina,,,0,,,Denver
