North System,,,,,,,,,,,South System,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Date,,Deliveries (end users),,,Receipts (Producers),,,,,,Date,Deliveries (end users),,,Receipts (Producers),,,,,,Total Receipts,Total Deliveries,Net
,Days,Firm,Overruns,Total,Firm,Overruns,IT,Total,Del-Rec,,,Firm,Overruns,Total,Firm,Overruns,IT,Total,Del-Rec,,,,
1998-01-01 00:00:00,31,24782107,566872,25348979,13213912,1444139,670785,15328836,10020143,,,,,,,,,,0,,15328836,25348979,
1998-02-01 00:00:00,28,21102380,248482,21350862,12650647,1118411,561779,14330837,7020025,,,,,,,,,,0,,14330837,21350862,
1998-03-01 00:00:00,31,23635423,337505,23972928,13824804,1608490,595990,16029284,7943644,,,,,,,,,,0,,16029284,23972928,
1998-04-01 00:00:00,30,22486332,259002,22745334,13753612,1596850,710828,16061290,6684044,,,,,,,,,,0,,16061290,22745334,
1998-05-01 00:00:00,31,22173506,155755,22329261,14482401,1506600,814183,16803184,5526077,,,,,,,,,,0,,16803184,22329261,
1998-06-01 00:00:00,30,21815300,257993,22073293,13853936,1234866,1170802,16259604,5813689,,,,,,,,,,0,,16259604,22073293,
1998-07-01 00:00:00,31,22132621,202556,22335177,15260299,1516861,589339,17366499,4968678,,,,,,,,,,0,,17366499,22335177,
1998-08-01 00:00:00,31,23245455,140766,23386221,15584813,1534315,648275,17767403,5618818,,,,,,,,,,0,,17767403,23386221,
1998-09-01 00:00:00,30,22222749,380492,22603241,14934227,1413098,562022,16909347,5693894,,,,,,,,,,0,,16909347,22603241,
1998-10-01 00:00:00,31,24771251,328842,25100093,15425192,1442843,587944,17455979,7644114,,,,,,,,,,0,,17455979,25100093,
1998-11-01 00:00:00,30,22254278,96240,22350518,14827676,1378405,609422,16815503,5535015,,,,,,,,,,0,,16815503,22350518,
1998-12-01 00:00:00,31,22858538,116315,22974853,15660386,1680145,483037,17823568,5151285,,,,,,,,,,0,,17823568,22974853,
1999-01-01 00:00:00,31,25673372,305951,25979323,15544535,1565147,471504,17581186,8398137,,,,,,,,,,0,,17581186,25979323,
1999-02-01 00:00:00,28,22543468,172982,22716450,14053538,1593505,461517,16108560,6607890,,1999-02-01 00:00:00,2726484,0,2726484,9749132,802126,109012,10660270,-7933786,,26768830,25442934,-1325896
1999-03-01 00:00:00,31,24459917,109236,24569153,16198928,1778058,151327,18128313,6440840,,1999-03-01 00:00:00,2923676,0,2923676,11371411,566830,103613,12041854,-9118178,,30170167,27492829,-2677338
1999-04-01 00:00:00,30,22284523,87672,22372195,16200679,1400750,148833,17750262,4621933,,1999-04-01 00:00:00,2705003,0,2705003,10003417,1516180,63009,11582606,-8877603,,29332868,25077198,-4255670
1999-05-01 00:00:00,31,23517920,51158,23569078,16236040,1224556,154125,17614721,5954357,,1999-05-01 00:00:00,2731359,0,2731359,10583182,1538035,39925,12161142,-9429783,,29775863,26300437,-3475426
