LM 6000 Turbine Allocation,,,,
,,,,
#,Turbine Unit #,Delivery Date,Project Name,Change Orders
1,308898,2000-07-08 00:00:00,Enron South America,#3
2,308951,2000-07-26 00:00:00,Enron South America,#3
3,308972,2000-08-15 00:00:00,Enron South America,#3
4,308999,2000-07-09 00:00:00,Enron South America,#3
5,309020,2000-07-10 00:00:00,Enron South America,#3
6,309073,2000-07-21 00:00:00,Enron South America,#3
7,309101,2000-07-26 00:00:00,PSCO/Fountain Valley,#1 - Dual Fuel
8,309123,2000-08-15 00:00:00,PSCO/Fountain Valley,#1 - Dual Fuel
9,309266,2000-08-19 00:00:00,Austin,
10,309547,2000-09-01 00:00:00,Austin,
11,309575,2000-09-06 00:00:00,Austin,
12,309578,2000-09-14 00:00:00,Austin,
13,309420,2000-09-21 00:00:00,PSCO/Fountain Valley,#2
14,309505,2000-09-28 00:00:00,PSCO/Fountain Valley,#2
15,309573,2000-10-25 00:00:00,PSCO/Fountain Valley,#2
16,309601,2000-11-01 00:00:00,PSCO/Fountain Valley,#2
17,309604,2000-11-13 00:00:00,Coral Energy,#1 - Dual Fuel
18,309719,2000-11-20 00:00:00,Coral Energy,#1 - Dual Fuel
19,To be assigned,2000-07-21 00:00:00,Las Vegas,
20,To be assigned,2000-07-24 00:00:00,Las Vegas,
21,309898,2001-02-01 00:00:00,Enron South America,#3
22,309988,2001-01-27 00:00:00,Enron South America,#3
23,To be assigned,2000-07-30 00:00:00,Las Vegas,
24,To be assigned,2000-09-01 00:00:00,Las Vegas,
