,, ,,, ,,,,,, 
Counterparty,Product,Region,Priority,Commercial,Credit,Legal,"Master 
EEI",ISDA,"Master 
Gas","Complete 
Date","Status 
(C or I)"
"AEP Energy Services, Inc. (estimate)",POW,National,1,Thomas,,Elizabeth,,,,,
"Allegheny Energy Supply Company, LLC",POW,National,1,Calger,,David,,,,,
American National Power,POW,ERCOT,1,DGS,,Elizabeth,,,,,
Aquila Energy Marketing Corporation,POW,National,1,Robinson,,Carol,,,,,
Avista Energy,POW,NW  ,1,Thomas,,Christian,,,,,
Bonneville Power Administration,POW,NW  ,1,Thomas,,Steve,,,,,
BP Energy Company,POW,National,1,Curry,,David,,,,,
"Calpine Energy Services, L.P.",POW,National,1,Presto,,Steve,,,,,
"Cargill-Alliant, LLC",POW,MW,1,Valderrama,,Carol,,,,,
CERS,POW,CA  ,1,Mcdonald,,Steve,,,,,
"City of Santa Clara California, Silicon Valley Power",POW,CA  ,1,Mcdonald,,Christian,,,,,
"CMS Marketing, Services and Trading Company",POW,MW,1,Valderrama,,Carol,,,,,
"Consolidated Edison Energy, Inc.",POW,NE,1,Llodra,,Marcus,,,,,
"Constellation Power Source, Inc.",POW,National,1,Choi,,Elizabeth,,,,,
"Coral Power, LLC",POW,National,1,Rorschach,,Elizabeth,,,,,
"Detroit Edison Company, The",POW,MW,1,Valderrama,,David,,,,,
Dow Pipeline Company,POW,ERCOT,1,Curry,,David,,,,,
"DTE Energy Trading, Inc.",POW,MW,1,Valderrama,,Leslie,,,,,
"Duke Energy Trading and Marketing, L.L.C.",POW,National,1,Davis,,Christian,,,,,
"Dynegy Power Marketing, Inc.",POW,National,1,Suarez,,Carol,,,,,
Eastside Power Authority,POW,Services,1,Foster,,Christian,,,,,
El Paso Electric Company,POW,SW ,1,Choi,,Christian,,,,,
"El Paso Merchant Energy, L.P.",POW,National,1,Abler,,Leslie,,,,,
"Entergy-Koch Trading, LP",POW,National,1,Robinson,,David,,,,,
FirstEnergy Solutions Corp.,POW,MW,1,Valderrama,,David,,,,,
"FPL Energy Power Marketing, Inc.",POW,SE,1,Robinson,,Leslie,,,,,
Frontera Generation Limited Partnership,POW,ERCOT,1,Forney,,David,,,,,
Hanson Cement ,POW,Services,1,Foster,,Christian,,,,,
HQ Energy Services (U.S.) Inc.,POW,NE,1,Llodra,,Christian,,,,,
IDACORP Energy L.P.,POW,NW  ,1,Rosman,,Christian,,,,,
LG&E Energy Marketing Inc.,POW,MW,1,Valderrama,,Carol,,,,,
"Mirant Americas Energy Marketing, L.P.",POW,National,1,Thomas,,Marcus,,,,,
Modesto Irrigation District,POW,CA  ,1,Rosman,,Christian,,,,,
Morgan Stanley Capital Group Inc.,POW,National,1,DGS,,Carol,,,,,
Northern Indiana Public Service Company,POW,MW,1,Valderrama,,Elizabeth,,,,,
NRG Power Marketing Inc.,POW,MW,1,Abler,,David,,,,,
Pacificorp,POW,NW  ,1,Rosman,,Steve,,,,,
"PG&E Energy Trading - Power, L.P.",POW,National,1,Benson,,Christian,,,,,
Portland General Electric,POW,NW  ,1,Rosman,,Christian,,,,,
Powerex,POW,NW  ,1,Thomas,,Christian,,,,,
"PPL EnergyPlus, LLC",POW,SE,1,Wood,,Marcus,,,,,
PSEG Energy Resources & Trade LLC,POW,NE,1,Llodra,,Steve,,,,,
Public Service Company Of New Mexico,POW,SW ,1,Choi,,Christian,,,,,
Puget,POW,NW  ,1,Thomas,,Steve,,,,,
"Reliant Energy Services, Inc.",POW,National,1,Curry,,Leslie,,,,,
Salt River Project,POW,SW ,1,Choi,,Christian,,,,,
San Antonio PSB,POW,ERCOT,1,Curry,,Elizabeth,,,,,
"Select Energy, Inc.",POW,NE,1,Llodra,,Carol,,,,,
Sempra Energy Trading Corp.,POW,National,1,Thomas,,Marcus,,,,,
SMUD,POW,CA  ,1,Mcdonald,,Steve,,,,,
Snohomish PUD,POW,NW  ,1,Rosman,,Christian,,,,,
Texas Independent Energy,POW,ERCOT,1,Pacheco,,Elizabeth,,,,,
"Tractebel Energy Marketing, Inc.",POW,National,1,Robinson,,David,,,,,
TransAlta Energy,POW,NW  ,1,Thomas,,Steve,,,,,
TXU Energy Trading Company,POW,National,1,DGS,,David,,,,,
Virginia Electric and Power Company,POW,SE,1,Presto,,Leslie,,,,,
Willamette Industries,POW,NW  ,1,Foster,,Christian,,,,,
Williams Energy Marketing & Trading Company,POW,National,1,Belden,,Elizabeth,,,,,
"AES NewEnergy, Inc.",POW,SE,2,Donovan,,Carol,,,,,
Air Liquide America,POW,ERCOT,2,Curry,,Elizabeth,,,,,
ANP Marketing Company,POW,MW,2,Furrow,,Leslie,,,,,
Arizona Public Service Company,POW,SW ,2,Choi,,Christian,,,,,
Austin Energy,POW,ERCOT,2,Forney,,Elizabeth,,,,,
Avista Utilities (WWP),POW,NW  ,2,Thomas,,Christian,,,,,
Benton PUD,POW,NW  ,2,Rosman,,Christian,,,,,
Brazos Electric Power Coop,POW,ERCOT,2,Pacheco,,Elizabeth,,,,,
Brownsville PUB,POW,ERCOT,2,Pacheco,,Elizabeth,,,,,
Central Illinois Light Company,POW,MW,2,Furrow,,David,,,,,
Chelan PUD,POW,NW  ,2,Thomas,,Steve,,,,,
Cinergy Capital & Trading Inc.,POW,National,2,Robinson,,David,,,,,
City of Bryan,POW,ERCOT,2,Pacheco,,Elizabeth,,,,,
CNC Containers,POW,Services,2,Foster,,Christian,,,,,
Colorado River Commission,POW,SW ,2,Choi,,Christian,,,,,
Commonwealth Edison Company,POW,MW,2,Robinson,,David,,,,,
"Conectiv Energy Supply, Inc.",POW,NE,2,Wood,,Marcus,,,,,
Conexant,POW,Services,2,Foster,,Christian,,,,,
Connecticut Municipal Electric Energy Coop,POW,NE,2,Llodra,,Marcus,,,,,
Conoco Inc.,POW,CA  ,2,Foster,,Christian,,,,,
Davis Wire,POW,Services,2,Foster,,Christian,,,,,
"Dayton Power and Light Company, The",POW,MW,2,Valderrama,,David,,,,,
Deseret Generation & Transmission Coop.,POW,SW ,2,Choi,,Christian,,,,,
East Bay MUD,POW,Services,2,Foster,,Christian,,,,,
Engage Energy America LLC,POW,National,2,Valderrama,,Leslie,,,,,
Equilon,POW,NW  ,2,Woodland,,Christian,,,,,
Eugene Electric Water Board,POW,NW  ,2,Rosman,,Christian,,,,,
Exelon Generation Company,POW,National,2,Llodra,,Elizabeth,,,,,
Exxon Company USA,POW,ERCOT,2,Pacheco,,Elizabeth,,,,,
Franklin PUD,POW,NW  ,2,Rosman,,Steve,,,,,
Fresh Express,POW,Services,2,Foster,,Christian,,,,,
"Frontier Energy I, LLC",POW,CA  ,2,Foster,,Christian,,,,,
"Gas Recovery Systems, Inc.",POW,CA  ,2,Foster,,Christian,,,,,
GEN SYS Energy,POW,MW,2,Valderrama,,David,,,,,
Grant PUD,POW,NW  ,2,Thomas,,Christian,,,,,
Grays Harbor,POW,NW  ,2,Rosman,,Steve,,,,,
Great Bay Power Corporation,POW,MW,2,Valderrama,,David,,,,,
Holcim (Holnam Cement),POW,NW  ,2,Woodland,,Christian,,,,,
Intel,POW,Services,2,Foster,,Christian,,,,,
International Rectifier,POW,Services,2,Foster,,Christian,,,,,
Louisiana Pacific,POW,NW  ,2,Woodland,,Christian,,,,,
Lower Colorado River Authority,POW,ERCOT,2,Pacheco,,Elizabeth,,,,,
Luzenac,POW,NW  ,2,Woodland,,Christian,,,,,
LV Cogen,POW,Services,2,Foster,,Steve,,,,,
Mieco Inc.,POW,National,2,,,Carol,,,,,
Montana Power Company,POW,NW  ,2,Thomas,,Steve,,,,,
Morrow Power,POW,Services,2,Foster,,Steve,,,,,
NCPA,POW,CA  ,2,Mcdonald,,Christian,,,,,
Nove Investments,POW,Services,2,Foster,,Steve,,,,,
Occidental Chemical Corp.,POW,ERCOT,2,Curry,,Elizabeth,,,,,
Pacificorp Power Marketing,POW,NW  ,2,Thomas,,Steve,,,,,
PPL Montana,POW,NW  ,2,Rosman,,Steve,,,,,
Public Service Company Of Colorado,POW,SW ,2,Choi,,Marcus,,,,,
Rainbow Energy Marketing Corporation,POW,MW,2,Valderrama,,Leslie,,,,,
Redding,POW,CA  ,2,Mcdonald,,Steve,,,,,
Riverside,POW,CA  ,2,Mcdonald,,Steve,,,,,
Riverside Waste Management District,POW,Services,2,Foster,,Steve,,,,,
Saguaro,POW,Services,2,Foster,,Steve,,,,,
Seattle City Light,POW,NW  ,2,Rosman,,Christian,,,,,
Sierra Pacific ,POW,SW ,2,Choi,,Steve,,,,,
Sierra Pacific Industries,POW,Services,2,Foster,,Steve,,,,,
South Texas Electric Coop,POW,ERCOT,2,Forney,,Elizabeth,,,,,
Southern California Water Company,POW,Services,2,Foster,,Steve,,,,,
SP Newsprint,POW,NW  ,2,Woodland,,Christian,,,,,
