Company Name,City,State,Plant Name,Plant City,Plant State >,Prime Mover,Unit Status Short Desc,Planned Online Year,Planned Online Month,Summer Capacity,Primary Fuel Type,Alternate Fuel Type
"ABTco, Inc.",Troy,MI,Alpena Plant (ABTCO),Alpena,MI,STEAM,ACTIVE,1998,1,5.75,COAL,OTHER
"ADA Cogeneration, L.P.",Ada,MI,Ada Cogeneration Limited Partn,Ada,MI,COMB CYC,ACTIVE,1998,1,29.4,GAS,OTHER
"Alternative Power, L.P.",Chicopee,MA,Lyon Generating Facility,New Hudson,MI,COG,ACTIVE,1998,1,4.75,OTHER,OTHER
"Alternative Power, L.P.",New Hudson,MI,C & C Generating Facility,Marshall,MI,GAS TURB,ACTIVE,1998,1,2.85,OTHER,OTHER
BIO-Energy Partners,Oak Brook,IL,Venice Resources Gas Recovery,Lennon,MI,GAS TURB,ACTIVE,1998,1,0.1,OTHER,OTHER
Bay City Electric Light & Power,Bay City,MI,Henry Station,Bay City,MI,INT COMB,ACTIVE,1998,1,15.58,OIL-L,OTHER
Bay City Electric Light & Power,Bay City,MI,Saginaw Station,Bay City,MI,INT COMB,ACTIVE,1998,1,12.72,OIL-L,OTHER
"Beaverton, City of",Not Given,,Beaverton,Beaverton,MI,HYDRO,ACTIVE,1998,1,0.96,WATER,OTHER
Black River Power Co.,Cheboygan,MI,Alverno,Not Given,MI,HYDRO,ACTIVE,1998,1,0.98,WATER,OTHER
CMS Enterprises Co.,Dearborn,MI,Grayling Generating Station,Grayling,MI,STEAM,ACTIVE,1998,1,18.09,WOOD,OTHER
CMS Generation Co.,Dearborn,MI,Dearborn Industrial Generation LLC,Dearborn,MI,COMB CYC,ACTIVE,2000,3,550,GAS,OTHER
CMS Generation Co.,Dearborn,MI,Dearborn Industrial Generation LLC,Dearborn,MI,GAS TURB,ACTIVE,1999,7,160,GAS,OTHER
CMS Generation Co.,Dearborn,MI,Kalamazoo River Generating Station,Kalamazoo,MI,GAS TURB,ACTIVE,1999,6,63,GAS,OTHER
CMS Generation Co.,Dearborn,MI,Livingston Generating Station,Gaylord,MI,GAS TURB,ACTIVE,1999,6,136,GAS,OTHER
CMS Generation Co.,Dearborn,MI,Midland Cogeneration Venture (MCV),Midland,MI,COMB CYC,ACTIVE,1998,1,671.3,GAS,OTHER
CMS Generation Co.,Dearborn,MI,Moapa Energy Project,Dearborn,MI,COG,ACTIVE,1998,1,58.4,OTHER,OTHER
CMS Generation Co.,Dearborn,MI,TES Filer City Station,Filer City,MI,STEAM,ACTIVE,1998,1,25,COAL,WOOD
CMS Generation Genesee Co.,Dearborn,MI,Genesee Power Station - Limite,Flint,MI,STEAM,ACTIVE,1998,1,0.4,WOOD,OTHER
CMS Generation Holdings Co.,Dearborn,MI,Genesee Power Station - Limite,Flint,MI,STEAM,ACTIVE,1998,1,19.26,WOOD,OTHER
Cameron Gas & Electric Co.,Okemos,MI,Mix,Okemos,MI,HYDRO,ACTIVE,1998,1,0.14,WATER,OTHER
"Cargill Salt, Inc.",Minneapolis,MN,Cargill Salt Inc,Saint Clair,MI,UNKNOWN,ACTIVE,1998,1,2.75,OTHER,OTHER
Cascade Township,Grand Rapids,MI,Cascade Dam,Grand Rapids,MI,HYDRO,ACTIVE,1998,1,1.6,WATER,OTHER
"Central Wayne Energy Recovery, L.P.",Dearborn Heights,MI,Central Wayne Air Quality and,Dearborn,MI,COG,ACTIVE,1998,1,22,OTHER,OTHER
