LINE,Mile Point ,Description,Sample Date,Sample Type,Result (All results as Aroclor 1016 unless otherwise noted),Comments
300 A,116.48 A,Pisgah,,None,,Tap not inspected or sampled
300 A,130.37 A,PLS 2XA Insertion Meter,2000-02-16 00:00:00,Wipe,ND <0.7 ug/100cm2,
300 A,131.94 A,Newberry Springs Community Tap,2000-02-09 00:00:00,Wipe,ND <1ug/wipe,Removed primary regulator; opened it and obtained wipe sample - non quantitative
300 A,134.00 A,Southwest Gas (Martino),,None,,Tap not inspected or sampled
300 A,135.98 A,Southwest Gas (Masimini),,None,,Tap not inspected or sampled
300 A,137.00 A,Southwest Gas,,None,,Tap not inspected or sampled
300 A,137.50 A,Southwest Gas,,None,,Tap not inspected or sampled
300 A,141.03 A,Lucerne Valley - Main #313 XA,2000-02-11 00:00:00,None,,Sample taps located immediately upstream and downstream of orifice plate. Both taps were dry.
300 A,147.91 A,Barstow B Meter,2000-02-11 00:00:00,Liquid,11 ppm,
300 A,147.91 A,Barstow B Meter,2000-02-28 00:00:00,Liquid,,Insufficient Sample
300 A,147.91 A,Barstow B Meter,2000-03-10 00:00:00,Liquid,16 ppm,
300 A,147.91 A,Barstow B Meter,2000-03-21 00:00:00,Liquid,13 ppm,
300 A,147.91 A,Barstow B Meter,2000-04-05 00:00:00,Liquid,18 ppm,
300 A,147.91 A,Barstow B Meter,2000-04-19 00:00:00,Liquid,10 ppm,
300 A,147.91 A,Barstow B Meter,2000-05-01 00:00:00,Liquid,11 ppm,
300 A,147.91 A,Barstow B Meter,2000-05-14 00:00:00,Liquid,18 ppm,
300 A,147.91 A,Barstow B Meter,2000-05-30 00:00:00,Liquid,11 ppm,
300 A,147.91 A,Barstow B Meter,2000-06-14 00:00:00,Liquid,24 ppm ,
300 A,147.91 A,Barstow B Meter,2000-06-30 00:00:00,Liquid,25 ppm,
300 A,147.91 A,Barstow B Meter,2000-07-29 00:00:00,Liquid,8 ppm,
300 A,147.91 A,Barstow B Meter,2000-08-18 00:00:00,Liquid,10 ppm,
300 A,147.91 A,Barstow B Meter,2000-09-05 00:00:00,Liquid,14 ppm,<10 mls
300 A,147.91 A,Barstow B Meter,2000-09-19 00:00:00,Liquid,15 ppm,<10 mls (trace)
300 A,147.91 A,Barstow B Meter,2000-12-18 00:00:00,Liquid,18 ppm,~10 mls (trace)
300 A,151.05 A,"Barstow ""A"" Filter",2000-02-17 00:00:00,Liquid ,6 ppm,
300 A,151.05 A,"Barstow ""A"" Filter",2000-02-28 00:00:00,Liquid ,13 ppm,
300 A,151.06 A,"Barstow ""A"" Filter",2000-03-10 00:00:00,Liquid,15 ppm,
300 A,151.06 A,"Barstow ""A"" Filter",2000-03-21 00:00:00,Liquid,15 ppm,
300 A,151.06 A,"Barstow ""A"" Filter",2000-04-05 00:00:00,Liquid,22 ppm,
300 A,151.06 A,"Barstow ""A"" Filter",2000-04-18 00:00:00,Liquid,11 ppm,
300 A,151.06 A,"Barstow ""A"" Filter",2000-05-01 00:00:00,Liquid,7 ppm,
300 A,151.06 A,"Barstow ""A"" Filter",2000-05-14 00:00:00,Liquid,26 ppm,
300 A,151.06 A,"Barstow ""A"" Filter",2000-05-30 00:00:00,Liquid,10 ppm,
300 A,151.06 A,"Barstow ""A"" Filter",2000-06-14 00:00:00,Liquid,18 ppm,
300 A,151.06 A,"Barstow ""A"" Filter",2000-11-20 00:00:00,Liquid,23 ppm,~ 45 mls
300 A,151.06 A,"Barstow ""A"" Filter",2000-12-18 00:00:00,Liquid,18 ppm,~ 260 mls
300 A,151.06 A,"Barstow ""A"" Meter",2000-02-17 00:00:00,Liquid,9 ppm,
300 A,151.06 A,"Barstow ""A"" Meter",2000-02-28 00:00:00,Liquid,20 ppm,
300 A,151.06 A,"Barstow ""A"" Meter",2000-03-10 00:00:00,Liquid,16 ppm,
300 A,151.06 A,"Barstow ""A"" Meter",2000-03-21 00:00:00,Liquid,15 ppm,
300 A,151.06 A,"Barstow ""A"" Meter",2000-04-05 00:00:00,Liquid,18 ppm,
300 A,151.06 A,"Barstow ""A"" Meter",2000-04-18 00:00:00,Liquid,8 ppm,
300 A,151.06 A,"Barstow ""A"" Meter",2000-05-01 00:00:00,Liquid,17 ppm,
300 A,151.06 A,"Barstow ""A"" Meter",2000-05-14 00:00:00,Liquid,33 ppm,
300 A,151.06 A,"Barstow ""A"" Meter",2000-05-30 00:00:00,Liquid,5 ppm,
300 A,151.06 A,"Barstow ""A"" Meter",2000-06-14 00:00:00,Liquid,17 ppm,
300 A,151.06 A,"Barstow ""A"" Meter",2000-06-30 00:00:00,Liquid,15 ppm,
300 A,151.06 A,"Barstow ""A"" Meter",2000-07-29 00:00:00,Liquid,16 ppm,
300 A,151.06 A,"Barstow ""A"" Meter",2000-08-10 00:00:00,Liquid,1 ppm,
300 A,151.06 A,"Barstow ""A"" Meter",2000-08-16 00:00:00,Liquid,2 ppm,
300 A,151.06 A,"Barstow ""A"" Meter",2000-08-18 00:00:00,Liquid,9 ppm,
300 A,151.06 A,"Barstow ""A"" Meter",2000-08-24 00:00:00,Liquid,3 ppm,
300 A,151.06 A,"Barstow ""A"" Meter",2000-08-30 00:00:00,Liquid,4 ppm,
300 A,151.06 A,"Barstow ""A"" Meter",2000-09-05 00:00:00,Liquid,15 ppm,< 10 mls
