,,,,,,,,,,,,,,,,,,
,,,,,,,,Dollars,Dollars,Dollars,,MWHs,MWHs,,,,,
MARCH,MARCH,Position to fill,Position to fill,Position to fill,Position to fill,,,,,,,,,,,,,
Zone,,Peak,,,Off-Peak,,,Peak,Off-Peak,Total,,Peak,Off-Peak,,,,,
SP,,700,26.5,Allegheney,475,26.5,Allegheney,4128700,11845500,15974200,,,,,,,,
,,,,,,,,,,,,,,,,,,
NP,,525,27.5,Avista,425,21.5,Avista,2997100,9003100,12000200,,,,,,,,
,,,,,,,,,,27974400,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,Dollars,Dollars,Dollars,,MWHs,MWHs,,,,,
APRIL,APRIL,Position to fill,Position to fill,Position to fill,Position to fill,,,,,,,,,,,,,
Zone,,Peak,,,Off-Peak,,,Peak,Off-Peak,Total,,Peak,Off-Peak,,,,,
NP 15,,400,40.0,Allegheny,325,31.3,Allegheny,6656000,3082267.5,9738267.5,,166400,98475,,,,,
,,150,37.5,Avista,100,30.0,Avista,2340000,909000,3249000,,62400,30300,,,,,
,,,,,,,,,,,,,,,,,,
SP15,,550,40.0,Allegheny,200,31.3,Allegheny,9152000,1896780,11048780,,228800,60600,,,,,
,,150,38.0,Avista,100,30.0,Avista,2371200,909000,3280200,,62400,30300,,,,,
,,,,,175,30.75,AEP,,1630518.75,1630518.75,,0,53025,,,,,
,,,,,,,,,,28946766.25,,520000,272700,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,Dollars,Dollars,Dollars,,MWHs,MWHs,,,,,
MAY,MAY,Position to fill,Position to fill,Position to fill,Position to fill,,,,,,,416,328,,,,,
Zone,,Peak,,,Off-Peak,,,Peak,Off-Peak,Total,,Peak,Off-Peak,,,,,
NP 15,,150,34.65,Allegheny,100,21.75,Allegheny,2162160,713400,2875560,,62400,32800,,,,,
,,150,35.0,Sempra,,,,2184000,0,2184000,,62400,0,,,,,
,,50,35.0,AEP,100,22.0,AEP,728000,721600,1449600,,20800,32800,,,,,
,,50,38.0,Allegheny,50,24.25,Allegheny,790400,397700,1188100,,20800,16400,,,,,
,,50,38.0,Sempra,,,,790400,0,790400,,20800,0,,,,,
,,50,36.25,Sempra,50,24.0,Sempra,754000,393600,1147600,,20800,16400,,,,,
,,,,,75,24.0,Avista,0,590400,590400,,0,24600,,,,,
,,,,,25,24.0,Allegheny,0,196800,196800,,0,8200,,,,,
,,,,,,,,,,,,,0,,,,,
SP15,,150,36.85,Allegheny,100,21.55,Allegheny,2299440,706840,3006280,,62400,32800,,,,,
,,,,,50,21.0,Allegheny,0,344400,344400,,0,16400,,,,,
,,150,37.25,Sempra,,,,2324400,0,2324400,,62400,0,,,,,
,,,,,50,21.5,AEP,0,352600,352600,,0,16400,,,,,
,,100,39.35,Allegheny,50,23.5,Allegheny,1636960,385400,2022360,,41600,16400,,,,,
,,50,39.25,Sempra,50,23.5,Sempra,816400,385400,1201800,,20800,16400,,,,,
,,50,37.25,Avista,,,,774800,0,774800,,20800,0,,,,,
,,50,37.25,Sempra,50,23.0,Sempra,774800,377200,1152000,,20800,16400,,,,,
,,50,37.75,Sempra,50,23.5,Sempra,785200,385400,1170600,,20800,16400,,,,,
,,,,,,,,,,22771700,,,,,,,457600.0,262400.0
