Participant Name,Short Name,Global ID,Short Name,Customer,Full Name,Tie Point,Tie Point,Type,,,,,From Date,To Date
ENRON,EPMI,PX_EPMI_1079,CFEDA_B,CFE,EPMI EXPORT AT TJ,21,TJUANA_2_23040,Export,Economic,0.0,9999.0,0.0,2000-02-24 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,EPMI_PX_2057,CFEDA_S,CFE,EPMI IMPORT AT TJ,21,TJUANA_2_23040,Import,Economic,0.0,9999.0,0.0,2000-02-24 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,PX_EPMI_1080,CFERT_B,CFE,EPMI EXPORT AT TJ 2,21,TJUANA_2_23040,Export,Economic,0.0,9999.0,0.0,2000-02-24 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,EPMI_PX_2058,CFERT_S,CFE,EPMI IMPORT AT TJ 2,21,TJUANA_2_23040,Import,Economic,0.0,9999.0,0.0,2000-02-24 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,PX_EPMI_1081,CRCDAMD_B,CRC,ENRON BUY MEAD 1,10,MEAD_2_WALC,Export,Economic,0.0,9999.0,0.0,2000-04-27 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,EPMI_PX_2060,CRCDAMD_S,CRC,ENRON SALE MEAD 1,10,MEAD_2_WALC,Import,Economic,0.0,9999.0,0.0,2000-04-27 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,PX_EPMI_1083,CRCRTMD_B,CRC,ENRON BUY MEAD 3,10,MEAD_2_WALC,Export,Economic,0.0,9999.0,0.0,2000-04-27 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,EPMI_PX_2062,CRCRTMD_S,CRC,ENRON SALE MEAD 3,10,MEAD_2_WALC,Import,Economic,0.0,9999.0,0.0,2000-04-27 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,PX_EPMI_1002,E_4CORNER,ECT,FOUR CORNERS - EPMI EXPORT010,8,FCORNR_5_PSUEDO,Export,Economic,0.0,9999.0,0.0,1997-11-30 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,PX_EPMI_1085,E_4CORNERB,,EPMI FOUR CORNERS EXPORT,,FCORNR_5_PSUEDO,Export,Economic,0.0,9999.0,0.0,2000-11-09 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,PX_EPMI_1013,E_BLYTHE,ECT,BLYTHE - EPMI EXPORT053,5,BLYTHE_1_WALC,Export,Economic,0.0,9999.0,0.0,1997-11-30 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,PX_EPMI_1022,E_CAPTJAK,ECT,CAPTJACK - EPMI EXPORT086,1,CAPJAK_5_OLINDA,Export,Economic,0.0,9999.0,0.0,1997-11-30 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,PX_EPMI_1086,E_CAPTJAKB,,EPMI CAPT JACK EXPORT,,CAPJAK_5_OLINDA,Export,Economic,0.0,9999.0,0.0,2000-11-09 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,PX_EPMI_1087,E_CAPTJAKC,,EPMI CAPT JACK EXPORT C,,CAPJAK_5_OLINDA,Export,Economic,0.0,9999.0,0.0,2000-11-09 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,PX_EPMI_1021,E_CASCADE,ECT,CASCADE - EPMI EXPORT079,2,CASCAD_1_CRAGVW,Export,Economic,0.0,9999.0,0.0,1997-11-30 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,PX_EPMI_1006,E_COACHEL,ECT,COACHELLA - EPMI EXPORT030,6,DEVERS_2_COCHLA,Export,Economic,0.0,9999.0,0.0,1997-11-30 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,PX_EPMI_1001,E_ELDORADO,ECT,ELDORADO - EPMI EXPORT003,7,ELDORD_5_PSUEDO,Export,Economic,0.0,9999.0,0.0,1997-11-30 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,PX_EPMI_1024,E_GOODRICH,ECT,GOODRICH - EPMI EXPORT096,9,GOODRH_2_PASA,Export,Economic,0.0,9999.0,0.0,1997-11-30 00:00:00,1999-07-21 00:00:00
ENRON,EPMI,PX_EPMI_1009,E_INYO,ECT,INYO - EPMI EXPORT039,23,INYOS_2_LDWP,Export,Economic,0.0,9999.0,0.0,1997-11-30 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,PX_EPMI_1017,E_IV_CFE,ECT,IV (CFE) - EPMI EXPORT067,17,IVALLY_2_23050,Export,Economic,0.0,9999.0,0.0,1997-11-30 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,PX_EPMI_1008,E_IV_IID,ECT,IMPVAL/IID - EPMI EXPORT036,18,IVALLY_2_230S,Export,Economic,0.0,9999.0,0.0,1997-11-30 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,PX_EPMI_1019,E_LAUG500,ECT,LAUGHLIN 500 - EPMI EXPORT073,13,MOHAVE_5_500KV,Export,Economic,0.0,9999.0,0.0,1997-11-30 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,PX_EPMI_1020,E_LAUGH69,ECT,LAUGHLIN 69 - EPMI EXPORT076,12,MOHAVE_6_69KV,Export,Economic,0.0,9999.0,0.0,1997-11-30 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,PX_EPMI_1023,E_MALIN,ECT,MALIN - EPMI EXPORT093,3,MALIN_5_RNDMTN,Export,Economic,0.0,9999.0,0.0,1997-11-30 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,PX_EPMI_1027,E_MALINB,ECT,MALIN - EPMI EXPORT-01,3,MALIN_5_RNDMTN,Export,Economic,0.0,999.0,9.0,1998-03-20 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,PX_EPMI_1028,E_MALINC,ECT,MALIN - EPMI EXPORT-02,3,MALIN_5_RNDMTN,Export,Economic,0.0,999.0,9.0,1998-03-20 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,PX_EPMI_1029,E_MALIND,ECT,MALIN - EPMI EXPORT-03,3,MALIN_5_RNDMTN,Export,Economic,0.0,999.0,9.0,1998-03-20 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,PX_EPMI_1030,E_MALINE,ECT,MALIN - EPMI EXPORT-04,3,MALIN_5_RNDMTN,Export,Economic,0.0,999.0,9.0,1998-03-20 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,PX_EPMI_1011,E_MCCULLH,ECT,MCCULLOUGH - EPMI EXPORT045,24,ELDORD_5_MCLLGH,Export,Economic,0.0,9999.0,0.0,1997-11-30 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,PX_EPMI_1016,E_MEAD,ECT,MEAD - EPMI EXPORT064,10,MEAD_2_WALC,Export,Economic,0.0,9999.0,0.0,1997-11-30 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,PX_EPMI_1014,E_MEAD287,ECT,MEAD 287 - EPMI EXPORT056,22,LUGO_5_VICTVL,Export,Economic,0.0,9999.0,0.0,1997-11-30 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,PX_EPMI_1088,E_MEADB,,EPMI MEAD EXPORT B,,MEAD_2_WALC,Export,Economic,0.0,9999.0,0.0,2000-11-09 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,PX_EPMI_1007,E_MIRAGE,ECT,MIRAGE - EPMI EXPORT033,11,MIRAGE_2_COCHLA,Export,Economic,0.0,9999.0,0.0,1997-11-30 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,PX_EPMI_1005,E_NGILABK,ECT,N.GILA (BK 4) - EPMI EXPORT027,19,NGILA_5_NG4,Export,Economic,0.0,9999.0,0.0,1997-11-30 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,PX_EPMI_1004,E_NGILAPV,ECT,NGILA(PV) - EPMI EXPORT024,20,PVERDE_5_NG-PLV,Export,Economic,0.0,9999.0,0.0,1997-11-30 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,PX_EPMI_1089,E_NGILAPVB,,EPMI EXPORT PV N. GILA B,,PVERDE_5_NG-PLV,Export,Economic,0.0,9999.0,0.0,2000-11-09 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,PX_EPMI_1003,E_PALOVRD,ECT,PALOVERDE - EPMI EXPORT017,15,PVERDE_5_DEVERS,Export,Economic,0.0,9999.0,0.0,1997-11-30 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,PX_EPMI_1035,E_PALOVRDB,ECT,PALOVERDE - EPMI EXPORT-01,15,PVERDE_5_DEVERS,Export,Economic,0.0,999.0,9.0,1998-03-20 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,PX_EPMI_1036,E_PALOVRDC,ECT,PALOVERDE - EPMI EXPORT-02,15,PVERDE_5_DEVERS,Export,Economic,0.0,999.0,9.0,1998-03-20 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,PX_EPMI_1037,E_PALOVRDD,ECT,PALOVERDE - EPMI EXPORT-03,15,PVERDE_5_DEVERS,Export,Economic,0.0,999.0,9.0,1998-03-20 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,PX_EPMI_1038,E_PALOVRDE,ECT,PALOVERDE - EPMI EXPORT-04,15,PVERDE_5_DEVERS,Export,Economic,0.0,999.0,9.0,1998-03-20 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,PX_EPMI_1015,E_PARKER,ECT,PARKER - EPMI EXPORT059,14,PARKR_2_GENE,Export,Economic,0.0,9999.0,0.0,1997-11-30 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,PX_EPMI_1026,E_SILVPK,ECT,SILVER PK - EPMI EXPORT102,16,SLVRPK_7_SPP,Export,Economic,0.0,9999.0,0.0,1997-11-30 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,PX_EPMI_1025,E_SUMMIT,ECT,SUMMIT - EPMI EXPORT099,4,SUMITM_1_SPP,Export,Economic,0.0,9999.0,0.0,1997-11-30 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,PX_EPMI_1039,E_SYLMAC,ECT,SYLMAR - AC TIE - EXPORT,25,SYLMAR_2_LDWP,Export,Economic,0.0,9999.0,0.0,1998-04-15 00:01:00,9999-01-01 00:00:00
ENRON,EPMI,PX_EPMI_1040,E_SYLMACA,ECT,SYLMAR - AC TIE - EXPORT 1,25,SYLMAR_2_LDWP,Export,Economic,0.0,9999.0,0.0,1998-04-15 00:01:00,9999-01-01 00:00:00
ENRON,EPMI,PX_EPMI_1041,E_SYLMACB,ECT,SYLMAR - AC TIE - EXPORT 2,25,SYLMAR_2_LDWP,Export,Economic,0.0,9999.0,0.0,1998-04-15 00:01:00,9999-01-01 00:00:00
ENRON,EPMI,PX_EPMI_1042,E_SYLMACC,ECT,SYLMAR - AC TIE - EXPORT 3,25,SYLMAR_2_LDWP,Export,Economic,0.0,9999.0,0.0,1998-04-15 00:01:00,9999-01-01 00:00:00
ENRON,EPMI,PX_EPMI_1043,E_SYLMACD,ECT,SYLMAR - AC TIE - EXPORT 4,25,SYLMAR_2_LDWP,Export,Economic,0.0,9999.0,0.0,1998-04-15 00:01:00,9999-01-01 00:00:00
ENRON,EPMI,PX_EPMI_1012,E_SYLMAR,ECT,SYLMAR - EPMI EXPORT050,26,SYLMAR_2_NOB,Export,Economic,0.0,9999.0,0.0,1997-11-30 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,PX_EPMI_1031,E_SYLMARB,ECT,SYLMAR - EPMI EXPORT-01,26,SYLMAR_2_NOB,Export,Economic,0.0,999.0,9.0,1998-03-20 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,PX_EPMI_1032,E_SYLMARC,ECT,SYLMAR - EPMI EXPORT-02,26,SYLMAR_2_NOB,Export,Economic,0.0,999.0,9.0,1998-03-20 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,PX_EPMI_1033,E_SYLMARD,ECT,SYLMAR - EPMI EXPORT-03,26,SYLMAR_2_NOB,Export,Economic,0.0,999.0,9.0,1998-03-20 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,PX_EPMI_1034,E_SYLMARE,ECT,SYLMAR - EPMI EXPORT-04,26,SYLMAR_2_NOB,Export,Economic,0.0,999.0,9.0,1998-03-20 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,PX_EPMI_1047,E_TIJAUNB,CFE,EPMI 2ND EXPORT @ TIJAUNA,21,TJUANA_2_23040,Export,Economic,0.0,9999.0,0.0,1999-02-11 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,PX_EPMI_1018,E_TIJUANA,CFE,TIJUANNA - EPMI EXPORT070,21,TJUANA_2_23040,Export,Economic,0.0,9999.0,0.0,1997-11-30 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,PX_EPMI_1044,E_TIJUANC,CFE,EPMI 3RD EXPORT @ TIJUANA,21,TJUANA_2_23040,Export,Economic,0.0,9999.0,0.0,1999-02-11 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,PX_EPMI_1045,E_TIJUAND,CFE,EMPI 4TH EXPORT @ TIJUANA,21,TJUANA_2_23040,Export,Economic,0.0,9999.0,0.0,1999-02-11 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,PX_EPMI_1046,E_TIJUANE,CFE,EPMI 5TH EXPORT @ TIJUANA,21,TJUANA_2_23040,Export,Economic,0.0,9999.0,0.0,1999-02-11 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,PX_EPMI_1010,E_VVILLE,ECT,VICTORVILLE - EPMI EXPORT042,22,LUGO_5_VICTVL,Export,Economic,0.0,9999.0,0.0,1997-11-30 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,PX_EPMI_1059,ENADACPJ_B,ECT,EPMI EXPORT AT CAP JACK,1,CAPJAK_5_OLINDA,Export,Economic,0.0,9999.0,0.0,2000-02-24 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,EPMI_PX_2036,ENADACPJ_S,ECT,EPMI IMPORT AT CAP JACK,1,CAPJAK_5_OLINDA,Import,Economic,0.0,9999.0,0.0,2000-02-24 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,PX_EPMI_1053,ENADAMAL_B,ECT,EPMI EXPORT MALIN,3,MALIN_5_RNDMTN,Export,Economic,0.0,9999.0,0.0,2000-02-24 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,EPMI_PX_2031,ENADAMAL_S,ECT,EPMI IMPORT AT MALIN,3,MALIN_5_RNDMTN,Import,Economic,0.0,9999.0,0.0,2000-02-24 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,PX_EPMI_1062,ENARTCPJ_B,ECTRT,EPMI EXPORT AT CAP JK4,1,CAPJAK_5_OLINDA,Export,Economic,0.0,9999.0,0.0,2000-02-24 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,EPMI_PX_2039,ENARTCPJ_S,ECTRT,EPMI IMPORT AT CAP JACK 4,1,CAPJAK_5_OLINDA,Import,Economic,0.0,9999.0,0.0,2000-02-24 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,PX_EPMI_1056,ENARTMAL_B,ECTRT,EPMI EXPORT AT MALIN 4,3,MALIN_5_RNDMTN,Export,Economic,0.0,9999.0,0.0,2000-02-24 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,EPMI_PX_2033,ENARTMAL_S,ECTRT,EPMI IMPORT  AT MALIN 4,3,MALIN_5_RNDMTN,Import,Economic,0.0,9999.0,0.0,2000-02-24 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,PX_EPMI_1070,EPEDA4C_B,EPE,EPMI EXPORT AT 4C 2,8,FCORNR_5_PSUEDO,Export,Economic,0.0,9999.0,0.0,2000-02-24 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,EPMI_PX_2047,EPEDA4C_S,EPE,EPMI IMPORT AT 4C 2,8,FCORNR_5_PSUEDO,Import,Economic,0.0,9999.0,0.0,2000-02-24 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,PX_EPMI_1049,EPEPV_B,EPE,EPMI EXPORT AT PV DEVERS 2,15,PVERDE_5_DEVERS,Export,Economic,0.0,9999.0,0.0,2000-02-24 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,EPMI_PX_2028,EPEPV_S,EPE,EPMI IMPORT AT PV DEVERS 2,15,PVERDE_5_DEVERS,Import,Economic,0.0,9999.0,0.0,2000-02-24 00:00:00,9999-01-01 00:00:00
ENRON,EPMI,PX_EPMI_1051,EPERT_B,EPE,EPMI EXPORT AT PV DEVERS 4,15,PVERDE_5_DEVERS,Export,Economic,0.0,9999.0,0.0,2000-02-24 00:00:00,9999-01-01 00:00:00
