WSCC Point of Delivery Long Names and Acronyms,WSCC Point of Delivery Long Names and Acronyms,WSCC Point of Delivery Long Names and Acronyms,WSCC Point of Delivery Long Names and Acronyms,WSCC Point of Delivery Long Names and Acronyms,
,,,,,
Point of Delivery Name,System Reporting,TP NERC Acronym, E-Tag Acronym,Registered TSIN Name,Description
,,,,,
,,,,,
,,,,,
Avista Power System,Avista,AVA,AVA,AVA.System,
Interface between BPAT and Avista,BPA Transmission,BPAT,AVA,AVA.BPAT,
"Bernalillo, Algodones 115",Public Service Company of NM,PSNM,BA,BA115,
BC - Alberta Border (PATH 1),Power Pool of Alberta,PPOA,BCAB,BC.AB.BORDER,
BC.AB.Border,B.C. Hydro & Power Authority,BCHA,BCAB,BC.AB.Border,
Benton County PUD,BPA Transmission,BPAT,BCPD,BCPD,
BC.US.Border,B.C. Hydro & Power Authority,BCHA,BCUS,BC.US.Border,
BC-US Border - Westside,Puget Sound Energy,PSEI,BCUS,  BC.US.BORDER,
Interface between BC Hydro and NW US,BPA Transmission,BPAT,BCUS,BC.US.Border,
Big Eddy,BPA Transmission,BPAT,BIGEDDY,BigEddy,
Blythe 161,WAPA-DSW,WALC,BLY1,BLYTHE161,
IPCO,PACIFICORP,PPW,BOBR,Interface with IPCO @ Borah/Brady,
PACE-IPCO INTERFACE (BORAHBRADY),IDAHO POWER COMPANY,IPCO,BOBR,,
Bonneville Power Adminstration - Transmission,Puget Sound Energy,PSEI,BPAT,  BPAT.PSEI,
BPAT,PACIFICORP,PPW,BPAT,Interface with BPA at multiple.,
PGE-BPAT INTERFACE,Portland General Electric,PGE,BPAT,PGE-BPAT,
Boardman Generation,BPA Transmission,BPAT,BRDMAN,Boardman,
Centralia Generation,BPA Transmission,BPAT,CENT,Centrailia,
Cholla 345,Arizona Public Service Co.,AZPS,CH3,CHOLLA345,
Cholla 500,Arizona Public Service Co.,AZPS,CH5,CHOLLA500,
Chelan Co. PUD Control Area,Chelan County PUD,CHPD,CHPD,,
Columbia,Grant County PUD,GCPD,CLBS,,
COB,PACIFICORP,PPW,COBH,Interface with BPA at multiple.,
Colstrip,Avista,AVA,COLS,Colstrip,
Colstrip,Montana Power,MPCO,COLS,COLSTRIP,
3rd AC Intertie - Captain Jack,BPA Transmission,BPAT,CPTJACK,,Reserved as COB
Eugene Water and Electric Board,BPA Transmission,BPAT,EWEB,EWEB,
Four Corners 230,Arizona Public Service Co.,AZPS,FC2,FOURCORNE230,
AZPS-PACE INTERFACE (FOUR CORNERS 345),PACIFICORP,PPW,FC3,Interface with APS at 4C.,
Four Corners 345,Arizona Public Service Co.,AZPS,FC3,FOURCORNE345,
Garrison MPCO Connection for Colstrip,BPA Transmission,BPAT,GARR,Garrison,
Interface between BPAT and Grant Co. PUD,BPA Transmission,BPAT,GCPD,BPAT.GCPD,
Hill Top 230,WAPA-DSW,WALC,HLT2,HILLTOP230,
AVA-MPCO Interface (Hot Springs),Avista,AVA,HTSP,Hot Springs,
Hot Springs,Montana Power,MPCO,HTSP,HotSprings,
Interface between BPAT and Montana,BPA Transmission,BPAT,HTSP,HotSprings,
IPCO TO MPCO INTERFACE (HOTSPRINGS) (AMPS LINE),IDAHO POWER COMPANY,IPCO,HTSP,,
