ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,ENRON NORTH AMERICA,,
O&M REPORTING,O&M REPORTING,O&M REPORTING,O&M REPORTING,O&M REPORTING,O&M REPORTING,O&M REPORTING,O&M REPORTING,O&M REPORTING,O&M REPORTING,O&M REPORTING,O&M REPORTING,,O&M REPORTING,O&M REPORTING,O&M REPORTING,O&M REPORTING,O&M REPORTING,O&M REPORTING,O&M REPORTING,O&M REPORTING,O&M REPORTING,O&M REPORTING,O&M REPORTING,O&M REPORTING,O&M REPORTING,O&M REPORTING,O&M REPORTING,O&M REPORTING,O&M REPORTING,O&M REPORTING,O&M REPORTING,O&M REPORTING,O&M REPORTING,O&M REPORTING,O&M REPORTING,O&M REPORTING,O&M REPORTING,O&M REPORTING,O&M REPORTING,O&M REPORTING,,
ENA Financial Trading - Mark Taylor (105657),ENA Financial Trading - Mark Taylor (105657),ENA Financial Trading - Mark Taylor (105657),ENA Financial Trading - Mark Taylor (105657),ENA Financial Trading - Mark Taylor (105657),ENA Financial Trading - Mark Taylor (105657),ENA Financial Trading - Mark Taylor (105657),ENA Financial Trading - Mark Taylor (105657),ENA Financial Trading - Mark Taylor (105657),ENA Financial Trading - Mark Taylor (105657),ENA Financial Trading - Mark Taylor (105657),ENA Financial Trading - Mark Taylor (105657),,ENA Financial Trading - Mark Taylor (105657),ENA Financial Trading - Mark Taylor (105657),ENA Financial Trading - Mark Taylor (105657),ENA Financial Trading - Mark Taylor (105657),ENA Financial Trading - Mark Taylor (105657),ENA Financial Trading - Mark Taylor (105657),ENA Financial Trading - Mark Taylor (105657),ENA Financial Trading - Mark Taylor (105657),ENA Financial Trading - Mark Taylor (105657),ENA Financial Trading - Mark Taylor (105657),ENA Financial Trading - Mark Taylor (105657),ENA Financial Trading - Mark Taylor (105657),ENA Financial Trading - Mark Taylor (105657),ENA Financial Trading - Mark Taylor (105657),ENA Financial Trading - Mark Taylor (105657),ENA Financial Trading - Mark Taylor (105657),ENA Financial Trading - Mark Taylor (105657),ENA Financial Trading - Mark Taylor (105657),ENA Financial Trading - Mark Taylor (105657),ENA Financial Trading - Mark Taylor (105657),ENA Financial Trading - Mark Taylor (105657),ENA Financial Trading - Mark Taylor (105657),ENA Financial Trading - Mark Taylor (105657),ENA Financial Trading - Mark Taylor (105657),ENA Financial Trading - Mark Taylor (105657),ENA Financial Trading - Mark Taylor (105657),ENA Financial Trading - Mark Taylor (105657),ENA Financial Trading - Mark Taylor (105657),,
April 2001 Actual vs Plan,April 2001 Actual vs Plan,April 2001 Actual vs Plan,April 2001 Actual vs Plan,April 2001 Actual vs Plan,April 2001 Actual vs Plan,April 2001 Actual vs Plan,April 2001 Actual vs Plan,April 2001 Actual vs Plan,April 2001 Actual vs Plan,April 2001 Actual vs Plan,April 2001 Actual vs Plan,,April 2001 Actual vs Plan,April 2001 Actual vs Plan,April 2001 Actual vs Plan,April 2001 Actual vs Plan,April 2001 Actual vs Plan,April 2001 Actual vs Plan,April 2001 Actual vs Plan,April 2001 Actual vs Plan,April 2001 Actual vs Plan,April 2001 Actual vs Plan,April 2001 Actual vs Plan,April 2001 Actual vs Plan,April 2001 Actual vs Plan,April 2001 Actual vs Plan,April 2001 Actual vs Plan,April 2001 Actual vs Plan,April 2001 Actual vs Plan,April 2001 Actual vs Plan,April 2001 Actual vs Plan,April 2001 Actual vs Plan,April 2001 Actual vs Plan,April 2001 Actual vs Plan,April 2001 Actual vs Plan,April 2001 Actual vs Plan,April 2001 Actual vs Plan,April 2001 Actual vs Plan,April 2001 Actual vs Plan,April 2001 Actual vs Plan,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr-01,,Apr-01,,Monthly,,Apr-01,,Apr-01,,YTD,,,Jan-01,,Feb-01,,Mar-01,,Apr-01,,May-01,,Jun-01,,Jul-01,,Aug-01,,Sep-01,,Oct-01,,Nov-01,,Dec-01,,Total Yr,,Total Yr,,Total Yr
,Actual,,Plan,,Variance,,Actual YTD,,Plan YTD,,Variance,,,Actual,,Actual,,Actual,,Actual,,Plan,,Plan,,Plan,,Plan,,Plan,,Plan,,Plan,,Plan,,Projection,,Orig. Plan,,Variance
Direct Expense:,,,,,,,,,,,,,Direct Expense:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaries and Wages,168320.73,,146238,,-22082.73,1.0,656961.9,,584952,,-72009.9,,Salaries and Wages,149560.27,,171177.84,,167903.06,,168320.73,,146238,,146238,,146238,,146238,,146238,,146238,,146238,,146238,,1826865.9,,1754856,,-72009.8999999999
Benefits,25339.38,,19927,,-5412.38,1.0,93522.93,,79708,,-13814.93,,Benefits,19625.97,,17092.33,,31465.25,,25339.38,,19927,,19927,,19927,,19927,,19927,,19927,,19927,,19927,,252938.93,,239124,,-13814.93
Payroll Taxes,10231.77,,10037,,-194.76999999999862,1.0,60892.67,,40148,,-20744.67,,Payroll Taxes,22161.85,,39440.13,,-10941.08,,10231.77,,10037,,10037,,10037,,10037,,10037,,10037,,10037,,10037,,141188.67,,120444,,-20744.67
