Accrued but Unpaid Wages,,,,,,,,
,,,,,,,,
,,,,,,,,
,,Tax Company,11/27/2001 Accrued but Unpaid,11/28/2001 Accrued but Unpaid,11/29/2001 Accrued but Unpaid,11/30/2001 Accrued but Unpaid,11/29/01 Biweekly,Overtime Estimate for 11/16 - 11/30
,,,,,,,,
Wages,,,,,,,,
,Enron Corp,0011,6976406.799999999,7848457.649999999,8720508.5,75000,0,75000
,ENA,0364,3554123.92,3998389.41,4442654.9,35000,0,35000
,EPM,0600,0,0,0,0,0,0
,,,,,,,,
,Subtotal,,10530530.719999999,11846847.059999999,13163163.4,110000,0,110000
,,,,,,,,
,,,,,,,,
,Total All Companies,,36094226.85090909,40454536.07727273,38315990.663636364,5155918,4185873.28,750000
,,,,,,,,
Unemployment Taxes,,,,,,,,
,Enron Corp,0011,41557.8165,42286.901000000005,43015.9855,43745.07,0,
,ENA,0364,15522.43,15794.753333333332,16067.076666666666,16339.4,0,
,EPM,0600,0,0,0,0,0,
,,,,,,,,
,Subtotal,,57080.2465,58081.65433333334,59083.06216666667,60084.47,0,
,,,,,,,,
,,,,,,,,
,Total All Companies,,696230.5793644068,708445.1509322033,720659.7224999999,120550.05,602118.84,
,,,,,,,,
Employee Taxes,,,,,,,,
,Enron Corp,0011,1744267.7672727273,1962301.2381818183,2180334.709090909,0,0,
,ENA,0364,807335.12,908252.01,1009168.9,0,0,
,EPM,0600,0,0,0,0,0,
,,,,,,,,
,Subtotal,,2551602.887272727,2870553.248181818,3189503.609090909,0,,
,,,,,,,,
,,,,,,,,
,Total All Companies,,8134820.296363637,9110997.350909092,8788321.845454546,811207.25,975290.62,
,,,,,,,,
Employer Taxes (excluding Unemployment),,,,,,,,
,Enron Corp,0011,340952.72,383571.80999999994,426190.89999999997,0,0,
,ENA,0364,144787.76,162886.23,180984.7,0,0,
,EPM,0600,0,0,0,0,0,
,,,,,,,,
,Subtotal,,485740.48,546458.0399999999,607175.6,0,0,
,,,,,,,,
,,,,,,,,
,Total All Companies,,1949336.377090909,2185735.689727273,2052777.9923636366,259345.945,220022.13,
