COUNTERPARTY,Trade Date,Flow Date,Location,Daily QTY,TOTAL QTY,Fixed Price,,VOLUME,Price,Total $
"Duke Energy Trading and Marketing, L.L.C.",2000-12-22 09:51:24,2000-01-01 00:00:00,MALIN,-5000,-155000,15.18,,155000,15.18,2352900
"Reliant Energy Services, Inc.",2000-12-22 10:46:26,2000-01-01 00:00:00,MALIN,-5000,-155000,15.55,,155000,15.55,2410250
BP Energy Company,2000-12-26 11:24:32,2000-01-01 00:00:00,MALIN,-5000,-155000,15.1,,155000,15.1,2340500
WACOG,15.276666666666667,,,,-465000,,,465000,,7103650
,,,,,,,,,,
Cook Inlet,2000-12-22 09:51:24,2000-01-01 00:00:00,PERMIAN,-10404,-322524,10.04,,322524,10.04,3238140.96
"USGT/Aquila, L.P.",2000-12-26 08:24:17,2000-01-01 00:00:00,PERMIAN,5000,155000,10.145,,155000,10.145,1572475
Arizona Public Service Company,2000-12-26 08:39:05,2000-01-01 00:00:00,PERMIAN,5000,155000,10.055,,155000,10.055,1558525
WACOG,10.069405998823758,,,,-12524,,,632524,,6369140.959999999
,,,,,,,,,,
"Cinergy Marketing & Trading, LLC",2000-12-22 08:39:46,2000-01-01 00:00:00,ROCKIES,-5000,-155000,9.185,,155000,9.185,1423675
"Coral Energy Resources, L.P.",2000-12-22 10:16:24,2000-01-01 00:00:00,ROCKIES,-5000,-155000,8.985,,155000,8.985,1392675
"Cinergy Marketing & Trading, LLC",2000-12-22 11:26:36,2000-01-01 00:00:00,ROCKIES,-5000,-155000,8.94,,155000,8.94,1385700
"Cinergy Marketing & Trading, LLC",2000-12-22 11:30:14,2000-01-01 00:00:00,ROCKIES,-5000,-155000,8.925,,155000,8.925,1383375
"Cinergy Marketing & Trading, LLC",2000-12-22 11:32:23,2000-01-01 00:00:00,ROCKIES,-5000,-155000,8.91,,155000,8.91,1381050
"Southern Company Energy Marketing, L.P.",2000-12-26 08:50:27,2000-01-01 00:00:00,ROCKIES,-5000,-155000,8.895,,155000,8.895,1378725
"Enserco Energy, Inc.",2000-12-26 11:52:51,2000-01-01 00:00:00,ROCKIES,-5000,-155000,8.735,,155000,8.735,1353925
"Avista Energy, Inc.",2000-12-26 13:40:37,2000-01-01 00:00:00,ROCKIES,-5000,-155000,8.74,,155000,8.74,1354700
WACOG,8.914375,,,,-1240000,,,1240000,,11053825
,,,,,,,,,,
Giant Refining,2000-12-22 11:46:26,2000-01-01 00:00:00,SAN JUAN,-410,-12710,9.01,,12710,9.01,114517.1
"Southern Company Energy Marketing, L.P.",2000-12-26 09:17:27,2000-01-01 00:00:00,SAN JUAN,-5000,-155000,8.8,,155000,8.8,1364000
"e prime, inc.",2000-12-26 10:22:12,2000-01-01 00:00:00,SAN JUAN,-5000,-155000,8.82,,155000,8.82,1367100
"e prime, inc.",2000-12-26 10:22:30,2000-01-01 00:00:00,SAN JUAN,-5000,-155000,8.82,,155000,8.82,1367100
WACOG,8.81856586632057,,,,-477710,,,477710,,4212717.1
,,,,,,,,,,
Aquila Energy Marketing Corporation,2000-12-22 08:33:41,2000-01-01 00:00:00,SOCAL,-5000,-155000,17.48,,155000,17.48,2709400
Aquila Energy Marketing Corporation,2000-12-22 09:51:13,2000-01-01 00:00:00,SOCAL,-5000,-155000,17.73,,155000,17.73,2748150
Aquila Energy Marketing Corporation,2000-12-26 08:26:39,2000-01-01 00:00:00,SOCAL,-5000,-155000,17.7,,155000,17.7,2743500
Aquila Energy Marketing Corporation,2000-12-26 11:23:47,2000-01-01 00:00:00,SOCAL,-5000,-155000,17.02,,155000,17.02,2638100
WACOG,17.4825,,,,-620000,,,620000,,10839150
