Date,2001-12-12 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brokerage house,APB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broker ,Pierangelino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BOM,2001-12-01 00:00:00,2002-01-01 00:00:00,2002-02-01 00:00:00,2002-03-01 00:00:00,Q1-02,2002-04-01 00:00:00,2002-05-01 00:00:00,2002-06-01 00:00:00,Q2-02,2002-07-01 00:00:00,2002-08-01 00:00:00,2002-09-01 00:00:00,Q3-02,2002-10-01,2002-11-01,2002-12-01,Q4-02,,Q1-03,Q2-03,Q3-03,Q4-03,Cal-04,Cal-05,Cal-06,Cal-07,Cal-08,Cal-09,Cal-10,Cal-11,Cal-12,Cal-13,Cal-14,Cal-15
ON PEAK,Mid Columbia,,30,29.25,27,24.25,26,22,20,22,22,34,41,36,37.5,,,,32,,26.5,22,40,32,32.5,33,33.5,33.75,34,34.25,34.5,34.75,35,35.25,35.5,35.75
,COB,,30.75,30.25,28,26,27.5,24,22,24.5,24,36,47,39,41,,,,32.5,,27.5,23.5,44,34,33.25,33.75,34.25,34.5,34.75,35,35.25,35.5,35.75,36,36.25,36.5
,NP15,,32.25,31,28.5,26,29.5,26,27,28,27,42,47,43,44.75,,,,33.75,,35,32,49,36,39,39.5,40,40.25,40.5,40.75,41,41.25,41.5,41.75,42,42.25
,SP15,,31.75,30.5,27,25.75,29.5,27,28,30.5,30,44,48,43,45,,,,33,,33,34,49.5,36,38.75,39.25,39.75,40,40.25,40.5,40.75,41,41.25,41.5,41.75,42
,Palo Verde,,30.5,29.5,25.5,24,27.75,27.5,29,31.5,30.5,48,54,44,48.75,,,,31,,30,32,49.5,34,37,37.5,38,38.25,38.5,38.75,39,39.25,39.5,39.75,40,40.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OFF PEAK,Mid Columbia,,21.75,22,20.5,18,21.5,,,,14,,,,26,,,,24,,23.5,16.5,26.5,23.5,23.5,23.75,24,24.25,24.5,24.75,25,25.25,25.5,25.75,26,26.25
,COB,,21.25,23,21,19,22.5,,,,14.75,,,,26.5,,,,24.5,,23.5,17.5,27,24.5,24,24.25,24.5,24.75,25,25.25,25.5,25.75,26,26.25,26.5,26.75
,NP15,,22,22.5,21.5,21,22.5,,,,18,,,,26.5,,,,24.5,,23.5,19.5,27,25,24.25,24.5,24.75,25,25.25,25.5,25.75,26,26.25,26.5,26.75,27
,SP15,,18.5,20,20,21,21.25,,,,19.5,,,,27,,,,23.5,,20.5,20.5,27.5,23.5,23.75,24,24.25,24.5,24.75,25,25.25,25.5,25.75,26,26.25,26.5
,Palo Verde,,17.25,18.5,18.5,19,19.75,,,,18.5,,,,27.5,,,,22,,20.75,20.5,26.75,21.5,22.75,23,23.25,23.5,23.75,24,24.25,24.5,24.75,25,25.25,25.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BASIS POINTS,,BOM,2001-12-01 00:00:00,2002-01-01 00:00:00,2002-02-01 00:00:00,2002-03-01 00:00:00,Q1-02,2002-04-01 00:00:00,2002-05-01 00:00:00,2002-06-01 00:00:00,Q2-02,2002-07-01 00:00:00,2002-08-01 00:00:00,2002-09-01 00:00:00,Q3-02,2002-10-01,2002-11-01,2002-12-01,Q4-02,,Q1-03,Q2-03,Q3-03,Q4-03,Cal-04,Cal-05,Cal-06,Cal-07,Cal-08,Cal-09,Cal-10,Cal-11,Cal-12,Cal-13,Cal-14,Cal-15
ON PEAK,Montana (midc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NW Delivered (midc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Busbar (midc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NOB (cob),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZP26 (sp15),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MEAD 230 (pv),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pinnacle Peak (pv),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
