,Last Revised: 6/04/01,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
E-rating,Call Credit for approval,E-rating,Call Credit for approval (cont.),E-rating,NO TRADES,,
11,Abraxas Petroleum Corporation,11,Louisiana Municipal Natural Gas Purchasing and Dist.,11,Adonis Energy Corporation ,,
11,"ACN Energy, Inc.",9,Magnum Hunter Resources Inc.,11,"Advanced Aromatics, Inc.",,
10,"Adams Resources Marketing, Ltd.",10,"Mainline Energy, LLC",12,"AGF, Inc.",,
11,Agave Energy Company,11,"Makoil Inc,.",12,AGF Direct Gas Sales Sales Inc.,,
9,AK Steel Corporation,11,Mallon Oil Company,12,Alma Energy Corp.,,
3,Allegheny Ludlum Corporation,9,"Mariner Energy, Inc.",12,"Armstrong World Industries, Inc. (and affilitates)",,
11,Altman Energy Inc.,7,"MarkWest Hydrocarbon, Inc.",11,"Aurora Natural Gas, LLC",,
9,"Altrade Transaction, LLC",11,"Metromedia Energy, Inc.",11,Barrington Petroleum Ltd.,,
11,"American Central Energy, LLC",11,MG Natural Gas Corp,10,Beaumont Methanol Limited Partnership,,
10,"American Atlas #1, Ltd. LLC",8,Miami Valley Resources,12,Borden Chemicals and Plastics (& Operating) LP,,
9,Aries Resources LLC,11,"Micah-Tech Industries, Inc -WMBE.",11,Brigham Exploration Company,,
9,Aspect Resources,9,"Midwest United Energy, LLC",12,Bristol Resources Corporation,,
6,Barrett Resources Corporation,11,"Millenium Gas Marketing, LLC",11,"C & L Petroleum, Inc.",,
11,Belden & Blake Corporation,11,Mississippi Chemical Corporation,12,Cage Gas Services,,
10,Bellwether Exploration Company,9,Mystic River Energy Corporation,11,"CEG Energy Options, Inc.",,
11,"Berco Resources, Inc.",11,"National Energy & Trade, LLC",11,Coho Energy Inc.,,
8,Bethlehem Steel Corporation,11,"National Fuel Marketing Company, L.L.C.",11,Contour Energy Co.,, 
9,BHP Copper Inc.,11,Natural Gas Trading Corporation- WMBE,12,Costilla Energy Inc.,,
9,Bonavista Petroleum Ltd.,10,"NGTS, LLC",12,"Denbury Energy Services, Inc.",,
11,BP Capital Energy Fund LP,10,"Niagara Mohawk Energy Marketing, Inc.  fka",11,"Eagle Gas Marketing, LLC",,
11,"Bravo Natural Resources, Inc.",11,"Nine Energy Services, LLC - WMBE",11,Edison Mission Marketing & Trading Inc.,,
9,Breitburn Energy Comapny LLC,11,Northeast Utilities Service Company,12,Equinox Oil Company,,
11,"BWAB, LLC",10,"**North Texas Gas Partners, Ltd.",6,"Elizabethtown Gas Company, a division….",,
8,Cabot Oil & Gas Corporation,6,NUI Energy Brokers,12,"Elysium Energy, LLC",,
8,Cabot Oil & Gas Marketing Corporation,11,"Onyx Gas Marketing Company, L.C. (ENA Purchases Only)",11,Empire Pipeline Corp.,,
9,Callon Petroleum Company,10,"Oxy Vinyls, LP",11,"Euell Energy Resources, Inc. - WMBE",,
11,CanEnerco Energy Services Limited,11,"Panaco, Inc.",11,"Exploration Partners, Inc.",,
10,CanWest Gas Supply (USA) Inc.,11,"Panther Pipeline, Inc.",11,"Gas Services, Inc.",,
8,"Carrera Gas Company, LLC",11,"**Paralan Company, The",12,"Gasco, Inc.",,
11,Carrizo Oil & Gas Inc.,11,"Patten Energy Enterprises, Inc. - WMBE",11,Golden Prarie Resources LLC,,
9,Castle Power LLC,11,"Petrous, LLC",11,Gothic Energy Corp,,
11,Castle Texas Production Limited Partnership,11,Petrocom Energy Group Limited,9,"Hallwood Petroleum, Inc.",,
7,"Central Soya Company, Inc.",8,"Petroglyph Energy, Inc.",11,Hampshire Chemical Corporation,,
11,Cerrito Gas Marketing Company,6,PG&E Energy Trading-Canada Corp.,11,"Heartland Steel, Inc.",,
9,"CF Industries, Inc.",6,PG&E Energy Trading-Gas Corp.,11,Henry Petroleum,,
9,Cgas Inc,5,Philadelphia Gas Works,11,"Heritage Gas Services, L.L.C.",,
9,CIG Resources Company,9,Plains Gas Farmers Cooperative Society of He,12,Holly Sugar Corporation,,
11,CIMA Energy LLC,11,Plains Resources Co,12,"Houston Hydrocarbons, Inc.",,
11,"Chesapeake Energy Marketing, Inc.",11,"Premiere Eneterprises, L.L.C. - WMBE",12,Imperial Sugar Company,,
11,Clarke-Mobile Counties Gas District,11,"ProLiance Energy, LLC",11,Inland Production Company,,
7,"Clayton Williams Energy, Inc.",8,Public Service Company of New Hampshire,11,"Inland Resources Inc,",,
10,Cody Energy LLC,5,Public Service Company of New Mexico,12,"J.C. Energy Resources, Inc. ",,
10,Cokinos Natural Gas Company,9,"Quicksilver Resources, Inc.",10,Kimball Energy Corporation,,
6,"Columbia Natural Resources, Inc.",9,Quintana Minerals Canada,11,"KNG Energy, Inc.",,
9,"Comstock Oil & Gas, Inc.",11,Quintana Petroleum Corp,11,"Laclede Energy Resources, Inc.",,
7,"Connecticut Light and Power Company, The",11,R. Byron Roach,10,"Laroche Industries, Inc.",,
10,**Continental Gas Inc.,11,Rainbow Gas Company,11,Linder Energy Company,,
10,**Continental Resources Inc.,8,Redan Futures Ltd.,11,Louisiana General Oil Company,,
8,Cook Inlet Energy Supply,11,Ritchie Gas Company,11,"Linder Oil Company, A Partnership",,
8,"Cornerstone Propane, L.P.",11,"Rio Vista Energy, Ltd.",11,"LTV Steel Company, Inc.",,
11,"Cox & Perkins Exploration, Inc.",9,RMS Monte Christo LLC,12,Lyco Energy Corp,,
10,Cross Oil Refining & Marketing,9,Royster-Clark Inc.,11,M & B Industrial Gas Development Corp.,,
10,"Crosstex Energy Services, Ltd.",11,Samson Investment Company,12,Michael Petroleum Corporation,,
