,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,NATURAL GAS BASIS POSITIONS,,,,,,,,,,,,
,,,,,, ,,BASIS BY TRADER,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"As of December 08, 2000",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Intra-Month,,Prompt Month,,Winter 2000-2001,,Summer 2001,,Winter 2001-02,,Remainder,,Total,,Change,
,,Dec-00,,Jan-01,,Feb-01/Mar-01,,Apr-01/Oct-01,,Nov-01/Mar-02,,Apr-02/May-28,,,,,
,West Region Basis Notional,,,,,,,,,,,,,,,,
,NW/CIG,,,,,,,,,,,,,,,,
,MAY,135,,-58,,-299,,-360,,-277,,-201,,"-1,061",,-93,
,HENDRICKSON,0,,0,,0,,0,,0,,0,,0,,0,
,ERMIS,110,,"-1,172",,"-1,663",,"-4,250",,186,,"-2,019",,"-8,808",,44,
,HOLST,0,,29,,87,,"-4,814",,-464,,-41,,"-5,202",,-0,
,SOUTH,-10,,-123,,-291,,-481,,0,,0,,-906,,1,
,GRIGSBY,-521,,-8,,0,,"-10,048",,0,,0,,"-10,577",,73,
,STURM,0,,0,,0,,0,,0,,0,,0,,0,
,ALLEN,0,,-11,,-21,,"-7,786",,-42,,"-2,069",,"-9,929",,0,
,EES,0,,-1,,-2,,-5,,-4,,-6,,-18,,0,
,JOHN MCKAY,0,,19,,64,,"1,855",,0,,669,,"2,606",,103,
,LAMBIE,0,,0,,0,,0,,0,,0,,0,,0,
,DISTURNAL,0,,0,,0,,0,,0,,0,,0,,0,
,CLARK,0,,0,,0,,0,,0,,0,,0,,0,
,LUCCI,-56,,-75,,-57,,-537,,-7,,"-2,485",,"-3,217",,9,
,KUYKENDAHL,0,,0,,0,,-206,,0,,0,,-206,,-0,
,THOLT,0,,-139,,-291,,"-1,213",,0,,-389,,"-2,032",,0,
,LENHART,0,,-15,,0,,0,,0,,0,,-15,,-0,
,METZ,0,,0,,0,,0,,0,,0,,0,,0,
,LAVORATO,0,,0,,0,,0,,0,,0,,0,,0,
,LEWIS,0,,0,,0,,0,,0,,0,,0,,0,
,ARNOLD,0,,0,,0,,0,,0,,0,,0,,0,
,KEAVEY,0,,0,,0,,0,,0,,0,,0,,0,
,SANCHEZ,0,,-15,,-29,,-206,,0,,0,,-251,,-0,
,TOTAL,-342,,"-1,570",,"-2,504",,"-28,052",,-608,,"-6,541",,"-39,617",,138,
,PERMIAN,,,,,,,,,,,,,,,,
,MAY,42,,114,,42,,4,,121,,24,,346,,-4,
,ERMIS,10,,216,,408,,516,,-42,,-124,,984,,-272,
,HOLST,0,,2,,-1,,"1,202",,-12,,798,,"1,989",,-1,
,SOUTH,0,,31,,0,,413,,0,,0,,444,,0,
,GRIGSBY,713,,-2,,0,,0,,0,,0,,711,,-107,
,SANCHEZ,0,,31,,0,,0,,0,,0,,31,,0,
,STURM,0,,0,,0,,0,,0,,0,,0,,0,
,ALLEN,0,,57,,0,,"2,374",,17,,50,,"2,497",,0,
,LENHART,0,,0,,0,,0,,0,,0,,0,,0,
,ARNOLD,0,,6,,12,,41,,12,,0,,71,,0,
