North American Gas and Power ,,,,,,,,,,,,,,,,,,
Global Contract Report,,,,,,,,,,,,,,,,,,
,,,,,Commodity-Type and Associated Contract Numbers,,,,,,RANK,,,,Notional Value,,,
,,,,,,,,,,,,,,,,,,
CP Legal Name,GLOBAL ID,Headroom,Contract Name/Type,Enron Entity,US Gas and Pwr Financial,US Gas Physical,US Power Physical,CAN Gas and Pwr Financial,CAN Gas Physical,CAN Power Physical,US GAS Rankings,US PWR Rankings,CAN GAS Rankings,CAN PWR Rankings,US GAS,US PWR,CAN GAS,CAN PWR
Aquila Risk Management Corporation,11135,7441861,92 ISDA - Multicurrency/Cross Border,Enron North America Corp.,96041878,,,96041878,,,1,28,78,,2929901921,4727347,185000,
Aquila Risk Management Corporation,11135,7441861,GTC Purchase Spot,Enron North America Corp.,,96036589,,,,,1,28,78,,2929901921,4727347,185000,
Aquila Risk Management Corporation,11135,7441861,GTC Sale Spot,Enron North America Corp.,,96059405,,,,,1,28,78,,2929901921,4727347,185000,
Aquila Risk Management Corporation,11135,7441861,OnLine GTC Gas Short-Term Firm with Collateral,Enron North America Corp.,,96031603,,,,,1,28,78,,2929901921,4727347,185000,
"AEP Energy Services, Inc.",57399,10000000,92 ISDA - Multicurrency/Cross Border,Enron North America Corp.,96021110,,,96021110,,,2,,4,,2828761851,,110632452,
"AEP Energy Services, Inc.",57399,10000000,General Terms and Conditions Purchase Firm,Enron North America Corp.,,96063585,,,,,2,,4,,2828761851,,110632452,
"AEP Energy Services, Inc.",57399,10000000,General Terms and Conditions Sale Firm,Enron North America Corp.,,96063961,,,,,2,,4,,2828761851,,110632452,
"AEP Energy Services, Inc.",57399,10000000,GISB Base Contract 6.3.1,Enron North America Corp.,,96028815,,,,,2,,4,,2828761851,,110632452,
"AEP Energy Services, Inc.",57399,10000000,GTC Purchase Spot,ENA Upstream Company LLC,,96062807,,,,,2,,4,,2828761851,,110632452,
"AEP Energy Services, Inc.",57399,10000000,GTC Sale Spot,ENA Upstream Company LLC,,96063301,,,,,2,,4,,2828761851,,110632452,
"AEP Energy Services, Inc.",57399,10000000,Henry Hub Contract,Enron North America Corp.,,96005429,,,,,2,,4,,2828761851,,110632452,
"AEP Energy Services, Inc.",57399,10000000,Netting Agreement,Enron North America Corp.,,96018717,,,,,2,,4,,2828761851,,110632452,
"AEP Energy Services, Inc.",57399,10000000,Online Canadian Firm Gas GTC,Enron Canada Corp.,,,,,96046411,,2,,4,,2828761851,,110632452,
"AEP Energy Services, Inc.",57399,10000000,OnLine GTC Gas Long-Term Firm,Enron North America Corp.,,96042598,,,,,2,,4,,2828761851,,110632452,
Sempra Energy Trading Corp.,57508,58777870,Henry Hub Contract,Enron North America Corp.,,96005429,,,,,3,22,3,,2163582331,6096120,142703392,
