Deal ID,Counterparty,Deal Date,Deal Start Date,Deal End Date,Contract Document No.,Buy/Sell,Portfolio,Fixed Price,From Delivery Point,Volume
199641.1,Merced Irrigation District,1999-04-21 17:39:00,1999-10-01 00:00:00,2001-12-31 00:00:00,96018459,S,WEST,26.75,COB N/S,3.75
199641.11,Merced Irrigation District,1999-04-21 17:42:00,1999-10-01 00:00:00,2001-12-31 00:00:00,96018459,S,WEST,26.75,PALO VERDE,1.25
199641.12,Merced Irrigation District,1999-04-21 17:43:00,1999-10-01 00:00:00,2001-12-31 00:00:00,96018459,S,WEST,26.75,PALO VERDE,1.25
199641.15,Merced Irrigation District,1999-04-21 15:43:00,1999-10-01 00:00:00,2001-12-31 00:00:00,,S,WEST,26.75,COB N/S,3.75
199641.9,Merced Irrigation District,1999-04-21 17:37:00,1999-10-01 00:00:00,2001-12-31 00:00:00,96018459,S,WEST,26.75,COB N/S,3.75
512726.1,Merced Irrigation District,2001-02-02 12:02:39,2001-02-01 00:00:00,2003-08-31 00:00:00,96018459,S,WEST,64.65,Financial Deal - R10,6
512726.1,Merced Irrigation District,2001-02-02 12:02:39,2001-02-01 00:00:00,2003-08-31 00:00:00,96018459,S,WEST,64.65,Financial Deal - R10,9
512726.1,Merced Irrigation District,2001-02-02 12:02:39,2001-02-01 00:00:00,2003-08-31 00:00:00,96018459,S,WEST,64.65,Financial Deal - R10,11
512726.1,Merced Irrigation District,2001-02-02 12:02:39,2001-02-01 00:00:00,2003-08-31 00:00:00,96018459,S,WEST,64.65,Financial Deal - R10,13
512726.1,Merced Irrigation District,2001-02-02 12:02:39,2001-02-01 00:00:00,2003-08-31 00:00:00,96018459,S,WEST,64.65,Financial Deal - R10,16
512726.1,Merced Irrigation District,2001-02-02 12:02:39,2001-02-01 00:00:00,2003-08-31 00:00:00,96018459,S,WEST,64.65,Financial Deal - R10,23
512743.1,Merced Irrigation District,2001-02-02 12:04:32,2001-02-01 00:00:00,2003-08-31 00:00:00,96018459,S,WEST,64.65,Financial Deal - R10,6
512743.1,Merced Irrigation District,2001-02-02 12:04:32,2001-02-01 00:00:00,2003-08-31 00:00:00,96018459,S,WEST,64.65,Financial Deal - R10,9
512743.1,Merced Irrigation District,2001-02-02 12:04:32,2001-02-01 00:00:00,2003-08-31 00:00:00,96018459,S,WEST,64.65,Financial Deal - R10,11
512743.1,Merced Irrigation District,2001-02-02 12:04:32,2001-02-01 00:00:00,2003-08-31 00:00:00,96018459,S,WEST,64.65,Financial Deal - R10,13
512743.1,Merced Irrigation District,2001-02-02 12:04:32,2001-02-01 00:00:00,2003-08-31 00:00:00,96018459,S,WEST,64.65,Financial Deal - R10,16
512743.1,Merced Irrigation District,2001-02-02 12:04:32,2001-02-01 00:00:00,2003-08-31 00:00:00,96018459,S,WEST,64.65,Financial Deal - R10,23
556646.1,Merced Irrigation District,2001-03-21 13:05:00,2001-04-01 00:00:00,2001-12-31 00:00:00,96018459,B,WEST,180,Financial Deal - R10,11
556646.1,Merced Irrigation District,2001-03-21 13:05:00,2001-04-01 00:00:00,2001-12-31 00:00:00,96018459,B,WEST,195,Financial Deal - R10,11
556646.1,Merced Irrigation District,2001-03-21 13:05:00,2001-04-01 00:00:00,2001-12-31 00:00:00,96018459,B,WEST,260,Financial Deal - R10,9
