in,,Bill To:  ,,,Remit To:,
,,,,,North Finn LLC,Verification Date: 
,,Enron North America Corp.,,,Hilltop National Bank,2001-12-06 00:00:00
,,,,,Routing #10230119,
,,,,,Account #021674,Due Date:
,,,,,Country Club Rd.,2001-12-26 00:00:00
,,,,,"Casper, WY  82609",
,,,,,,Payment Method:
,,Contact:  Theresa Staab ,,,Attn:  Larry Linn,Wire
,,Tel:  (303) 575-6485,,,Phone:  (307) 237-7854,Terms:
Enron North America Corp.,,Fax: (303) 534-0552,,,E-mail:  sunshin@trib.com,On or before 25th of month
2001-12-06 14:50:31.580000,,,,,,
Delivery Period: ,Contract #,Meter # / Meter Name,,,,
2001-11-01 00:00:00,North Finn,0814042-Palomino #3 Discharge Mtr,,,,
,,,,,,
,,,,,,
,,,,,,
,Index,Discount / Premium,Price/MMBtu,Mcf Quantity,MMBtu Quantity,Amount Due
11/01/01 - 11/30/01,CIG GD,-0.646,1.1427982464733544,21764.39878288885,20416,23331.369000000002
11/01/01 - 11/30/01,,Fuel Loss,$             0.00,2059.6012171111506,1932,$                                        0.00
,,,,24077.191244631944,22348,23331.369000000002
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,TOTAL PAYMENT,,,23331.369000000002
