Customer,Primary Lead,Facility Type
Coastal Power,Brazaitis,IPP
Cobisa,Brazaitis,IPP
Florida Power & Light,Brazaitis,IPP
Skygen,Brazaitis,IPP
AEP,Brazaitis/Higgins,IPP
American National Power,Brazaitis/Higgins,IPP
Calpine,Brazaitis/Higgins,IPP
Constellation Power,Brazaitis/Higgins,IPP
Duke,Brazaitis/Higgins,IPP
Dynegy,Brazaitis/Higgins,IPP
Gregory Power Partners/Columbia PP,Brazaitis/Higgins,IPP
HI/Air Liquide,Brazaitis/Higgins,IPP
Intergen,Brazaitis/Higgins,IPP
KN Energy,Brazaitis/Higgins,IPP
LG&E,Brazaitis/Higgins,IPP
Panda,Brazaitis/Higgins,IPP
Tenaska,Brazaitis/Higgins,IPP
Texas Independent Energy,Brazaitis/Higgins,IPP
Tractabel,Brazaitis/Higgins,IPP
Akzo Chemicals ,Lamphier,Industrial & Generation
Albemarle,Lamphier,Industrial & Generation
Alcoa,Lamphier,Industrial & Generation
Amerada Hess,Lamphier,Industrial & Generation
Ameripol Synpol,Lamphier,Industrial & Generation
Amoco - Refinery & Chemical,Lamphier,Industrial & Generation
Baroid Technology,Lamphier,Industrial & Generation
BP Chemical,Lamphier,Industrial & Generation
Calgon,Lamphier,Industrial & Generation
Cerrito,Lamphier,Industrial & Generation
Chusei,Lamphier,Industrial & Generation
Crown Central,Lamphier,Industrial & Generation
Destec,Lamphier,Industrial & Generation
Diamond Shamrock,Lamphier,Industrial & Generation
Dixie Chemical,Lamphier,Industrial & Generation
Donohue Industries Inc.,Lamphier,Industrial & Generation
Dow,Lamphier,Industrial & Generation
Enterprise,Lamphier,Industrial & Generation
Eurecat,Lamphier,Industrial & Generation
Exxon,Lamphier,Industrial & Generation
Formosa,Lamphier,Industrial & Generation
Georgia Gulf Utilities,Lamphier,Industrial & Generation
Griffin,Lamphier,Industrial & Generation
Gulf Gas Util-Nalco,Lamphier,Industrial & Generation
Haldor-Topsoe,Lamphier,Industrial & Generation
Huntsman,Lamphier,Industrial & Generation
Kaneka Texas,Lamphier,Industrial & Generation
KMCO,Lamphier,Industrial & Generation
Lyondell - Bayport,Lamphier,Industrial & Generation
Lyondell - Citgo,Lamphier,Industrial & Generation
Marathon Oil,Lamphier,Industrial & Generation
McNic,Lamphier,Industrial & Generation
Mercado Gas Services,Lamphier,Industrial & Generation
Nisseki,Lamphier,Industrial & Generation
Nova Molecular,Lamphier,Industrial & Generation
Petrolite,Lamphier,Industrial & Generation
Phillips Gas Marketing,Lamphier,Industrial & Generation
Rhodia Inc.,Lamphier,Industrial & Generation
Rohm & Haas,Lamphier,Industrial & Generation
Schenectady,Lamphier,Industrial & Generation
Seminole Pipeline,Lamphier,Industrial & Generation
Shell ,Lamphier,Industrial & Generation
Shintech,Lamphier,Industrial & Generation
Solvay Polymers,Lamphier,Industrial & Generation
Southern Ionic,Lamphier,Industrial & Generation
Sterling Chemicals,Lamphier,Industrial & Generation
Temple-Inland,Lamphier,Industrial & Generation
United Salt,Lamphier,Industrial & Generation
Valero Refining,Lamphier,Industrial & Generation
Velsicol,Lamphier,Industrial & Generation
Zeneca,Lamphier,Industrial & Generation
BASF - Fina j.v.,Brazaitis/Papayoti,Industrial & Generation
Advanced Aromatics,Papayoti,Industrial & Generation
Air Liquide,Papayoti,Industrial & Generation
Air Products,Papayoti,Industrial & Generation
Aristech,Papayoti,Industrial & Generation
BASF,Papayoti,Industrial & Generation
Bayer,Papayoti,Industrial & Generation
Beaumont Methanol,Papayoti,Industrial & Generation
Catalyst Resources,Papayoti,Industrial & Generation
"Chemicals, Inc.",Papayoti,Industrial & Generation
Chevron Chemical,Papayoti,Industrial & Generation
Clark Refining,Papayoti,Industrial & Generation
Coastal Refining,Papayoti,Industrial & Generation
Dianal Americas,Papayoti,Industrial & Generation
DuPont/Brandywine,Papayoti,Industrial & Generation
