People QuickFacts,Madison County,North Carolina
"Population, 2013 estimate    ","21,022","9,848,060"
"Population, 2010 (April 1) estimates base    ","20,774","9,535,471"
"Population, percent change, April 1, 2010 to July 1, 2013    ",1.2%,3.3%
"Population, 2010    ","20,764","9,535,483"
"Persons under 5 years, percent, 2013    ",4.7%,6.2%
"Persons under 18 years, percent, 2013    ",19.2%,23.2%
"Persons 65 years and over, percent, 2013    ",19.3%,14.3%
"Female persons, percent, 2013    ",50.5%,51.3%
,,
"White alone, percent, 2013 (a)    ",96.1%,71.7%
"Black or African American alone, percent, 2013 (a)    ",1.6%,22.0%
"American Indian and Alaska Native alone, percent, 2013 (a)    ",0.4%,1.6%
"Asian alone, percent, 2013 (a)    ",0.5%,2.6%
"Native Hawaiian and Other Pacific Islander alone, percent, 2013 (a)    ",Z,0.1%
"Two or More Races, percent, 2013    ",1.4%,2.0%
"Hispanic or Latino, percent, 2013 (b)    ",2.5%,8.9%
"White alone, not Hispanic or Latino, percent, 2013    ",94.0%,64.4%
,,
"Living in same house 1 year & over, percent, 2008-2012    ",88.8%,84.4%
"Foreign born persons, percent, 2008-2012    ",2.1%,7.5%
"Language other than English spoken at home, pct age 5+, 2008-2012    ",3.0%,10.8%
"High school graduate or higher, percent of persons age 25+, 2008-2012    ",80.2%,84.5%
"Bachelor's degree or higher, percent of persons age 25+, 2008-2012    ",18.2%,26.8%
"Veterans, 2008-2012    ","1,660","738,926"
"Mean travel time to work (minutes), workers age 16+, 2008-2012    ",29.8,23.5
,,
"Housing units, 2013    ","10,587","4,394,261"
"Homeownership rate, 2008-2012    ",75.5%,67.1%
"Housing units in multi-unit structures, percent, 2008-2012    ",5.2%,17.1%
"Median value of owner-occupied housing units, 2008-2012    ","$159,400","$153,600"
"Households, 2008-2012    ","8,228","3,693,221"
"Persons per household, 2008-2012    ",2.39,2.51
"Per capita money income in past 12 months (2012 dollars), 2008-2012    ","$19,953","$25,285"
"Median household income, 2008-2012    ","$38,658","$46,450"
"Persons below poverty level, percent, 2008-2012    ",17.4%,16.8%
,,
Business QuickFacts,Madison County,North Carolina
"Private nonfarm establishments, 2012    ",314,"217,404"
"Private nonfarm employment, 2012    ","3,027","3,352,151"
"Private nonfarm employment, percent change, 2011-2012    ",4.1%,2.1%
"Nonemployer establishments, 2012    ","1,792","669,501"
,,
"Total number of firms, 2007    ","2,214","798,791"
"Black-owned firms, percent, 2007    ",F,10.5%
"American Indian- and Alaska Native-owned firms, percent, 2007    ",F,1.0%
"Asian-owned firms, percent, 2007    ",F,2.5%
"Native Hawaiian and Other Pacific Islander-owned firms, percent, 2007    ",F,0.1%
"Hispanic-owned firms, percent, 2007    ",F,2.7%
"Women-owned firms, percent, 2007    ",S,28.2%
,,
"Manufacturers shipments, 2007 ($1000)    ",0,"205,867,299"
"Merchant wholesaler sales, 2007 ($1000)    ","26,489","88,795,885"
"Retail sales, 2007 ($1000)    ","76,045","114,578,173"
"Retail sales per capita, 2007    ","$3,757","$12,641"
"Accommodation and food services sales, 2007 ($1000)    ","12,110","16,126,939"
"Building permits, 2012    ",61,"48,692"
,,
Geography QuickFacts,Madison County,North Carolina
"Land area in square miles, 2010    ",449.57,"48,617.91"
"Persons per square mile, 2010    ",46.2,196.1
FIPS Code    ,115,37
Metropolitan or Micropolitan Statistical Area    ,"Asheville, NC Metro Area", 
,,
(a) Includes persons reporting only one race.,,
"(b) Hispanics may be of any race, so also are included in applicable race categories.",,
FN: Footnote on this item for this area in place of data,,
NA: Not available,,
D: Suppressed to avoid disclosure of confidential information,,
X: Not applicable,,
S: Suppressed; does not meet publication standards,,
Z: Value greater than zero but less than half unit of measure shown,,
F: Fewer than 100 firms,,
Source: US Census Bureau State & County QuickFacts,,
