 Season Schedule,,,,,,,
Date,Game Number,Visiting Team,Visiting Score,Home Team,Home Score,Game Time/Status,Venue
2012-10-12,2,Bridgeport,6,Connecticut,4,Final ,"XL Center Hartford, CT"
2012-10-14,23,St. John's,3,Connecticut,2,Final ,"XL Center Hartford, CT"
2012-10-19,37,Connecticut,4,Norfolk,5,Final OT ,"Norfolk Scope Norfolk, VA"
2012-10-20,48,Connecticut,3,Norfolk,6,Final ,"Norfolk Scope Norfolk, VA"
2012-10-24,68,Connecticut,5,Albany,2,Final ,"Times Union Center Albany, NY"
2012-10-26,73,Hershey,1,Connecticut,3,Final ,"XL Center Hartford, CT"
2012-10-27,84,Providence,3,Connecticut,6,Final ,"XL Center Hartford, CT"
2012-11-02,111,Connecticut,2,Albany,1,Final SO ,"Times Union Center Albany, NY"
2012-11-04,133,Springfield,10,Connecticut,2,Final ,"XL Center Hartford, CT"
2012-11-09,156,Connecticut,0,Springfield,2,Final ,"MassMutual Center Springfield, MA"
2012-11-10,171,Connecticut,6,Worcester,2,Final ,"DCU Center Worcester, MA"
2012-11-11,172,Connecticut,3,Bridgeport,4,Final ,"Webster Bank Arena Bridgeport, CT"
2012-11-16,189,Portland,2,Connecticut,1,Final ,"XL Center Hartford, CT"
2012-11-17,213,Connecticut,2,Worcester,1,Final ,"DCU Center Worcester, MA"
2012-11-23,230,Connecticut,7,Bridgeport,5,Final ,"Webster Bank Arena Bridgeport, CT"
2012-11-24,245,Norfolk,2,Connecticut,5,Final ,"XL Center Hartford, CT"
2012-11-25,261,Connecticut,3,Springfield,2,Final ,"MassMutual Center Springfield, MA"
2012-11-30,280,Connecticut,2,Providence,4,Final ,"Dunkin' Donuts Center Providence, RI"
2012-12-01,288,Syracuse,4,Connecticut,3,Final OT ,"XL Center Hartford, CT"
2012-12-02,299,Springfield,5,Connecticut,0,Final ,"XL Center Hartford, CT"
2012-12-05,306,Bridgeport,2,Connecticut,4,Final ,"XL Center Hartford, CT"
2012-12-08,325,Connecticut,2,Manchester,9,Final ,"Verizon Wireless Arena Manchester, NH"
2012-12-09,335,Albany,1,Connecticut,0,Final ,"XL Center Hartford, CT"
2012-12-12,350,Worcester,1,Connecticut,2,Final ,"XL Center Hartford, CT"
2012-12-14,358,Albany,4,Connecticut,3,Final ,"XL Center Hartford, CT"
2012-12-15,370,Portland,1,Connecticut,0,Final ,"XL Center Hartford, CT"
2012-12-21,403,Connecticut,5,Manchester,2,Final ,"Verizon Wireless Arena Manchester, NH"
2012-12-22,413,Providence,3,Connecticut,1,Final ,"XL Center Hartford, CT"
2012-12-26,425,Connecticut,2,Bridgeport,5,Final ,"Webster Bank Arena Bridgeport, CT"
2012-12-27,431,Bridgeport,3,Connecticut,0,Final ,"XL Center Hartford, CT"
2012-12-29,456,Connecticut,4,Springfield,2,Final ,"MassMutual Center Springfield, MA"
2012-12-31,471,Connecticut,3,Portland,4,Final ,"Cumberland County Civic Center Portland, ME"
2013-01-04,480,Adirondack,0,Connecticut,3,Final ,"XL Center Hartford, CT"
