People QuickFacts,Goshen,New York
"Population, 2013 estimate    ","5,392","19,651,127"
"Population, 2012 estimate    ","5,404","19,576,125"
"Population, 2010 (April 1) estimates base    ","5,454","19,378,105"
"Population, percent change, April 1, 2010 to July 1, 2013    ",-1.1%,1.4%
"Population, percent change, April 1, 2010 to July 1, 2012    ",-0.9%,1.0%
"Population, 2010    ","5,454","19,378,102"
"Persons under 5 years, percent, 2010    ",5.5%,6.0%
"Persons under 18 years, percent, 2010    ",23.7%,22.3%
"Persons 65 years and over, percent,  2010    ",19.0%,13.5%
"Female persons, percent, 2010    ",53.3%,51.6%
,,
"White alone, percent, 2010 (a)    ",84.5%,65.7%
"Black or African American alone, percent, 2010 (a)    ",3.7%,15.9%
"American Indian and Alaska Native alone, percent, 2010 (a)    ",0.4%,0.6%
"Asian alone, percent, 2010 (a)    ",2.3%,7.3%
"Native Hawaiian and Other Pacific Islander alone, percent, 2010 (a)    ",0.1%,0.0%
"Two or More Races, percent, 2010    ",2.6%,3.0%
"Hispanic or Latino, percent, 2010 (b)    ",15.3%,17.6%
"White alone, not Hispanic or Latino, percent, 2010    ",77.2%,58.3%
,,
"Living in same house 1 year & over, percent, 2008-2012    ",87.9%,88.7%
"Foreign born persons, percent, 2008-2012    ",11.6%,22.0%
"Language other than English spoken at home, pct age 5+, 2008-2012    ",19.5%,29.8%
"High school graduate or higher, percent of persons age 25+, 2008-2012    ",90.1%,84.9%
"Bachelor's degree or higher, percent of persons age 25+, 2008-2012    ",38.6%,32.8%
"Veterans, 2008-2012    ",319,"957,004"
"Mean travel time to work (minutes), workers age 16+, 2008-2012    ",33.7,31.5
"Housing units, 2010    ","2,437","8,108,103"
"Homeownership rate, 2008-2012    ",50.8%,54.5%
"Housing units in multi-unit structures, percent, 2008-2012    ",46.2%,50.5%
"Median value of owner-occupied housing units, 2008-2012    ","$338,500","$295,300"
"Households, 2008-2012    ","2,093","7,230,896"
"Persons per household, 2008-2012    ",2.39,2.6
"Per capita money income in past 12 months (2012 dollars), 2008-2012    ","$31,601","$32,104"
"Median household income, 2008-2012    ","$69,712","$57,683"
"Persons below poverty level, percent, 2008-2012    ",4.7%,14.9%
,,
Business QuickFacts,Goshen,New York
"Total number of firms, 2007    ",636,"1,956,733"
"Black-owned firms, percent, 2007    ",F,10.4%
"American Indian- and Alaska Native-owned firms, percent, 2007    ",F,0.7%
"Asian-owned firms, percent, 2007    ",F,10.1%
"Native Hawaiian and Other Pacific Islander-owned firms, percent, 2007    ",F,0.1%
"Hispanic-owned firms, percent, 2007    ",F,9.9%
"Women-owned firms, percent, 2007    ",S,30.4%
,,
"Manufacturers shipments, 2007 ($1000)    ",0,"162,720,173"
"Merchant wholesaler sales, 2007 ($1000)    ","241,225","313,461,904"
"Retail sales, 2007 ($1000)    ","125,586","230,718,065"
"Retail sales per capita, 2007    ","$22,669","$11,879"
"Accommodation and food services sales, 2007 ($1000)    ","10,886","39,813,499"
,,
Geography QuickFacts,Goshen,New York
"Land area in square miles, 2010    ",3.33,"47,126.40"
"Persons per square mile, 2010    ","1,637.8",411.2
FIPS Code    ,29542,36
Counties    ,"Orange County
 ",
,,
(a) Includes persons reporting only one race.,,
"(b) Hispanics may be of any race, so also are included in applicable race categories.",,
FN: Footnote on this item for this area in place of data,,
NA: Not available,,
D: Suppressed to avoid disclosure of confidential information,,
X: Not applicable,,
S: Suppressed; does not meet publication standards,,
Z: Value greater than zero but less than half unit of measure shown,,
F: Fewer than 100 firms,,
Source: US Census Bureau State & County QuickFacts,,
