Strategic Focus,Principle,Approach,Key Players,MC Assignment,Timeline,Progress to Date
Innovation,Model innovation,,,,,
,Innovative partnerships ,,,,,
,Planning and innovation,,,,,
,Data and innovation metrics,Create a research / trends team to review and communicate innovations within strategic focus areas,,,,
,Innovation and marketing,,,,,
,Innovation and technology,,,,,
,Innovation and hiring,,,,,
,,InnovaHIT: not for profit contract research company that provides students with current industry experience in offering companies new technologies and development of new technologies while providing hands on experience,,,,
,,See Technology,,,,
,,"Create learning communities that include high school, community college, and four year universities",,,,
,,Create a resource allocation for innovative programs,,,,
,,Provide grants and fund raising for innovative programs/ideas,,,,
,,Create opportunities for innovative curriculum development and program development,,,,
