People QuickFacts,River Grove,Illinois
"Population, 2013 estimate    ","10,279","12,882,135"
"Population, 2012 estimate    ","10,268","12,868,192"
"Population, 2010 (April 1) estimates base    ","10,227","12,830,632"
"Population, percent change, April 1, 2010 to July 1, 2013    ",0.5%,0.4%
"Population, percent change, April 1, 2010 to July 1, 2012    ",0.4%,0.3%
"Population, 2010    ","10,227","12,830,632"
"Persons under 5 years, percent, 2010    ",5.8%,6.5%
"Persons under 18 years, percent, 2010    ",19.7%,24.4%
"Persons 65 years and over, percent,  2010    ",12.2%,12.5%
"Female persons, percent, 2010    ",51.1%,51.0%
,,
"White alone, percent, 2010 (a)    ",87.5%,71.5%
"Black or African American alone, percent, 2010 (a)    ",1.5%,14.5%
"American Indian and Alaska Native alone, percent, 2010 (a)    ",0.4%,0.3%
"Asian alone, percent, 2010 (a)    ",2.2%,4.6%
"Native Hawaiian and Other Pacific Islander alone, percent, 2010 (a)    ",Z,0.0%
"Two or More Races, percent, 2010    ",1.9%,2.3%
"Hispanic or Latino, percent, 2010 (b)    ",18.6%,15.8%
"White alone, not Hispanic or Latino, percent, 2010    ",76.7%,63.7%
,,
"Living in same house 1 year & over, percent, 2008-2012    ",92.3%,86.8%
"Foreign born persons, percent, 2008-2012    ",35.5%,13.8%
"Language other than English spoken at home, pct age 5+, 2008-2012    ",52.7%,22.2%
"High school graduate or higher, percent of persons age 25+, 2008-2012    ",85.4%,87.0%
"Bachelor's degree or higher, percent of persons age 25+, 2008-2012    ",22.8%,31.1%
"Veterans, 2008-2012    ",508,"755,256"
"Mean travel time to work (minutes), workers age 16+, 2008-2012    ",32.1,28.1
"Housing units, 2010    ","4,427","5,296,715"
"Homeownership rate, 2008-2012    ",61.5%,68.0%
"Housing units in multi-unit structures, percent, 2008-2012    ",50.4%,32.9%
"Median value of owner-occupied housing units, 2008-2012    ","$205,300","$190,800"
"Households, 2008-2012    ","4,097","4,774,275"
"Persons per household, 2008-2012    ",2.49,2.62
"Per capita money income in past 12 months (2012 dollars), 2008-2012    ","$23,423","$29,519"
"Median household income, 2008-2012    ","$47,584","$56,853"
"Persons below poverty level, percent, 2008-2012    ",11.2%,13.7%
,,
Business QuickFacts,River Grove,Illinois
"Total number of firms, 2007    ","1,474","1,123,817"
"Black-owned firms, percent, 2007    ",F,9.5%
"American Indian- and Alaska Native-owned firms, percent, 2007    ",F,0.5%
"Asian-owned firms, percent, 2007    ",S,5.3%
"Native Hawaiian and Other Pacific Islander-owned firms, percent, 2007    ",F,0.1%
"Hispanic-owned firms, percent, 2007    ",F,5.0%
"Women-owned firms, percent, 2007    ",23.8%,30.5%
,,
"Manufacturers shipments, 2007 ($1000)    ",0,"257,760,713"
"Merchant wholesaler sales, 2007 ($1000)    ","383,777","231,082,768"
"Retail sales, 2007 ($1000)    ","91,122","165,450,520"
"Retail sales per capita, 2007    ","$9,173","$12,947"
"Accommodation and food services sales, 2007 ($1000)    ","10,371","25,469,026"
,,
Geography QuickFacts,River Grove,Illinois
"Land area in square miles, 2010    ",2.39,"55,518.93"
"Persons per square mile, 2010    ","4,275.5",231.1
FIPS Code    ,64343,17
Counties    ,"Cook County
 ",
,,
(a) Includes persons reporting only one race.,,
"(b) Hispanics may be of any race, so also are included in applicable race categories.",,
FN: Footnote on this item for this area in place of data,,
NA: Not available,,
D: Suppressed to avoid disclosure of confidential information,,
X: Not applicable,,
S: Suppressed; does not meet publication standards,,
Z: Value greater than zero but less than half unit of measure shown,,
F: Fewer than 100 firms,,
Source: US Census Bureau State & County QuickFacts,,
