График за отчитане на договорните партньори СИМП в РЗОК София град за месец юли 2014г.,,,,,,
,,,,,,
№,Име на практика,РЦЗ,РЗОК/Офис,Екип,"Работен ден
от месеца /или дата",Час
1,"МЦ ""ОЧЕН ЛАЗЕРЕН ЦЕНТЪР ВИЖЪН"" ООД",2202131522,СЗОК / 1,1,2014-07-01 00:00:00,09:00:00
2,"""АИПСИКМП - Д-Р ТАТЯНА ИВАНОВА"" ЕООД",2202121120,СЗОК / 1,1,2014-07-01 00:00:00,09:15:00
3,"ЕТ ""Д-Р ВАЛЕНТИН ПЕТРОВ - АИПИСМП ПО КАРДИОЛОГИЯ И ВЪТРЕШНИ БОЛЕСТИ""",2210121647,СЗОК / 1,1,2014-07-01 00:00:00,09:30:00
4,АСМП-ИПСМП - ВЪТРЕШНИ БОЛЕСТИ И ЕНДОКРИНОЛОГИЯ - Д-Р НАТАЛИЯ ДЖЕРМАНОВА,2210121527,СЗОК / 1,1,2014-07-01 00:00:00,09:45:00
5,АСМП-ИПСМП-ОЧНИ БОЛЕСТИ - д-р Малина Малинкова,2202121720,СЗОК / 1,1,2014-07-01 00:00:00,10:00:00
6,"""Д-Р РАДОСТИНА СТАНЕВА - АИПСМП ПО КОЖНИ И ВЕНЕРИЧЕСКИ БОЛЕСТИ"" ЕООД",2202121717,СЗОК / 1,1,2014-07-01 00:00:00,10:10:00
7,"""Д-Р КАТЯ КУРТЕВА АИПСМП ПО ЕНДОКРИНОЛОГИЯ, БОЛЕСТИ НА ОБМЯНАТА И ВЪТРЕШНИ БОЛЕСТИ"" ЕООД",2202121718,СЗОК / 1,1,2014-07-01 00:00:00,10:20:00
8,"МЦ ""Н. И. ПИРОГОВ"" ЕООД",2202131545,СЗОК / 1,1,2014-07-01 00:00:00,10:30:00
9,"ЕТ ""Д-Р АЛБЕНА АРАКЧИЕВА - АСМП-ИПСМП - УНГ""",2202121606,СЗОК / 1,1,2014-07-01 00:00:00,11:00:00
10,"ЕТ ""ИПСМП - Д-Р ХАЛАЧЕВА - НЕДЯЛКА КИРОВА""",2216121509,СЗОК / 1,1,2014-07-01 00:00:00,11:15:00
11,"ЕТ ""АСИМП ПО АКУШЕРСТВО И ГИНЕКОЛОГИЯ - ИП - Д-Р КАТЯ ВЕНКОВА""",2210121749,СЗОК / 1,1,2014-07-01 00:00:00,11:30:00
