ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SWIM,T1,BIKE,T2,RUN,POSITION,TOTAL TIME,PROGRAM
Simon,Whitfield,CAN,,00:17:45,,00:57:46,,00:32:12,1,01:48:52,Elite Men
Hunter,Kemper,USA,,00:17:51,,00:57:40,,00:32:17,2,01:48:55,Elite Men
Stephane,Poulat,FRA,,00:17:38,,00:57:49,,00:32:22,3,01:49:05,Elite Men
Frederic,Belaubre,FRA,,00:17:39,,00:57:54,,00:32:45,4,01:49:29,Elite Men
Matthew,Reed,USA,,00:17:47,,00:57:40,,00:33:16,5,01:49:55,Elite Men
Mark,Lees,AUS,,00:17:52,,00:57:40,,00:33:23,6,01:50:02,Elite Men
Rasmus,Henning,DEN,,00:17:42,,00:57:45,,00:33:32,7,01:50:14,Elite Men
Frank,Bignet,FRA,,00:17:38,,00:57:53,,00:33:42,8,01:50:28,Elite Men
Andriy,Glushchenko,UKR,,00:17:40,,00:57:45,,00:35:06,9,01:51:41,Elite Men
Nathan,Richmond,NZL,,00:00:00,,00:00:00,,00:00:00,10,01:51:50,Elite Men
Richard,Allen,GBR,,00:18:38,,00:59:01,,00:32:59,11,01:51:58,Elite Men
Gilberto,Gonzalez,VEN,,00:18:33,,00:59:01,,00:33:10,12,01:52:04,Elite Men
Javier,Rosas,MEX,,00:18:36,,00:59:00,,00:33:16,13,01:52:08,Elite Men
Doug,Friman,USA,,00:17:45,,00:57:49,,00:35:33,14,01:52:17,Elite Men
Jose Luis,Zepeda,MEX,,00:17:43,,00:57:46,,00:35:36,15,01:52:24,Elite Men
Maik,Petzold,GER,,00:17:57,,00:59:45,,00:33:43,16,01:52:36,Elite Men
Eligio,Cervantes,MEX,,00:18:36,,00:59:01,,00:34:01,17,01:52:52,Elite Men
Joe,Umphenour,USA,,00:17:53,,00:59:43,,00:34:08,18,01:52:58,Elite Men
Uzziel,Valderrabano,MEX,,00:18:40,,00:59:03,,00:34:05,19,01:53:03,Elite Men
Conrad,Stoltz,RSA,,00:18:27,,00:58:19,,00:35:22,20,01:53:19,Elite Men
Richard,Stannard,GBR,,00:17:43,,00:59:55,,00:34:32,21,01:53:31,Elite Men
Alessandro,Bottoni,ITA,,00:18:41,,00:58:55,,00:34:46,22,01:53:44,Elite Men
Andy,Kelsey,USA,,00:18:33,,00:59:08,,00:34:53,23,01:53:52,Elite Men
Michael,Smedley,USA,,00:17:55,,00:59:45,,00:35:33,24,01:54:31,Elite Men
Paulo,Miyashiro,BRA,,00:00:00,,00:00:00,,00:00:00,25,01:54:59,Elite Men
Brent,Mcmahon,CAN,,00:18:25,,00:59:14,,00:36:15,26,01:55:04,Elite Men
Andreas,Raelert,GER,,00:17:50,,00:59:49,,00:36:56,27,01:55:50,Elite Men
Victor,Plata,USA,,00:18:37,,00:58:08,,00:38:15,28,01:56:12,Elite Men
Sebastien,Laflamme,CAN,,00:18:42,,00:58:01,,00:38:23,29,01:56:17,Elite Men
Abe,Rogers,USA,,00:18:30,,01:01:20,,00:35:42,30,01:56:47,Elite Men
Chris,Moffatt,GBR,,00:17:53,,00:59:36,,00:38:27,31,01:57:22,Elite Men
Arturo,Garza,MEX,,00:18:46,,01:01:46,,00:36:04,32,01:57:47,Elite Men
Allan,Villanueva,MEX,,00:18:48,,01:01:49,,00:36:31,33,01:58:24,Elite Men
Carlos,Probert,MEX,,00:18:31,,01:01:47,,00:36:47,34,01:58:31,Elite Men
Phillippe,Leduff,CAN,,00:18:44,,01:01:53,,00:36:45,35,01:58:40,Elite Men
Brent,Perdrizet,USA,,00:19:55,,01:02:38,,00:35:18,36,01:59:09,Elite Men
Leonardo,Chacon,CRC,,00:18:42,,01:01:48,,00:37:25,37,01:59:22,Elite Men
Brian,Fleischmann,USA,,00:18:52,,01:03:39,,00:36:02,38,01:59:51,Elite Men
Paul,Fritzsche,USA,,00:19:27,,01:03:02,,00:36:42,39,02:00:34,Elite Men
Raul,Cordoba,ESP,,00:17:42,,00:59:58,,00:41:41,40,02:00:46,Elite Men
Jean-Sebastien,Rioux,CAN,,00:18:42,,01:01:50,,00:38:55,41,02:00:54,Elite Men
Christian,Weimer,GER,,00:17:55,,00:59:46,,00:43:12,42,02:02:04,Elite Men
Carol,Montgomery,CAN,,00:20:21,,01:06:15,,00:34:01,1,02:01:57,Elite Women
Joanna,Zeiger,USA,,00:19:06,,01:04:23,,00:37:29,2,02:02:17,Elite Women
Michellie,Jones,AUS,,00:19:26,,01:05:44,,00:36:35,3,02:02:59,Elite Women
Becky,Gibbs,USA,,00:19:09,,01:04:21,,00:38:57,4,02:03:45,Elite Women
Christiane,Pilz,GER,,00:19:34,,01:05:38,,00:37:36,5,02:04:00,Elite Women
Laura,Bennett,USA,,00:19:01,,01:04:21,,00:39:23,6,02:04:08,Elite Women
Jennifer,Gutierrez,USA,,00:19:27,,01:05:44,,00:37:58,7,02:04:26,Elite Women
Sharon,Donnelly,CAN,,00:19:08,,01:04:22,,00:39:48,8,02:04:37,Elite Women
Mariana,Ohata,BRA,,00:19:27,,01:06:42,,00:37:50,9,02:05:39,Elite Women
Joelle,Franzmann,GER,,00:19:19,,01:05:49,,00:39:43,10,02:06:08,Elite Women
Sandra,Soldan,BRA,,00:19:09,,01:07:25,,00:38:20,11,02:06:16,Elite Women
Silvia,Gemignani,ITA,,00:19:22,,01:07:11,,00:38:32,12,02:06:30,Elite Women
Cornelia,Bourgadel,FRA,,00:19:33,,01:05:40,,00:40:16,13,02:06:52,Elite Women
Jessi,Stensland,USA,,00:20:42,,01:05:52,,00:39:24,14,02:07:23,Elite Women
Gina,Derks-Gardner,USA,,00:19:23,,01:05:44,,00:42:36,15,02:09:11,Elite Women
Donna,Phelan,CAN,,00:20:32,,01:06:05,,00:41:22,16,02:09:23,Elite Women
Delphine,Pelletier,FRA,,00:20:42,,01:05:57,,00:42:25,17,02:10:27,Elite Women
Alicia,Kaye,USA,,00:19:37,,01:06:56,,00:42:59,18,02:10:56,Elite Women
Laurie,Hug,USA,,00:19:06,,01:06:03,,00:44:22,19,02:10:59,Elite Women
Nadia,Cortassa,ITA,,00:20:49,,01:10:11,,00:38:29,20,02:11:09,Elite Women
Gail,Laurence,USA,,00:20:38,,01:05:50,,00:43:50,21,02:11:44,Elite Women
Alison,Hayden,USA,,00:20:49,,01:10:00,,00:42:44,22,02:15:19,Elite Women
