ATHLETE FIRST,ATHLETE LAST,NATIONALITY,TEAM,LEG,SWIM,T1,BIKE,T2,RUN,TOTAL TIME
Elena Maria,Petrini,ITA,Team I Italy,,00:04:40,00:00:00,00:17:52,00:00:00,00:06:29,00:29:01
Andrea,De Ponti,ITA,Team I Italy,,00:04:21,00:00:00,00:16:16,00:00:00,00:05:36,00:26:13
Giorgia,Priarone,ITA,Team I Italy,,00:04:58,00:00:00,00:17:26,00:00:00,00:06:21,00:28:45
Davide,Uccellari,ITA,Team I Italy,,00:04:27,00:00:00,00:15:40,00:00:00,00:05:29,00:25:36
Alexandra,Razarenova,RUS,Team I Russia,,00:04:36,00:00:00,00:17:30,00:00:00,00:06:21,00:28:27
Andrey,Bryukhankov,RUS,Team I Russia,,00:04:08,00:00:00,00:16:13,00:00:00,00:05:44,00:26:05
Elena,Danilova,RUS,Team I Russia,,00:04:54,00:00:00,00:18:11,00:00:00,00:06:19,00:29:24
Denis,Vasiliev,RUS,Team I Russia,,00:04:04,00:00:00,00:15:58,00:00:00,00:05:50,00:25:52
Lois,Rosindale,GBR,Team I Great Britain,,00:04:43,00:00:00,00:17:54,00:00:00,00:06:14,00:28:51
David ,Bishop,GBR,Team I Great Britain,,00:04:24,00:00:00,00:16:29,00:00:00,00:05:43,00:26:36
Non,Stanford,GBR,Team I Great Britain,,00:04:39,00:00:00,00:17:58,00:00:00,00:06:09,00:28:46
Thomas,Bishop,GBR,Team I Great Britain,,00:04:18,00:00:00,00:15:46,00:00:00,00:05:37,00:25:41
Carolina,Routier,ESP,Team I Spain,,00:04:22,00:00:00,00:18:16,00:00:00,00:06:51,00:29:29
Fernando,Alarza,ESP,Team I Spain,,00:04:13,00:00:00,00:15:56,00:00:00,00:05:15,00:25:24
Anna,Godoy Contreras,ESP,Team I Spain,,00:04:34,00:00:00,00:18:17,00:00:00,00:06:51,00:29:42
Mario,Mola,ESP,Team I Spain,,00:04:21,00:00:00,00:16:07,00:00:00,00:05:29,00:25:57
Magdalena,Mielnik,POL,Team I Poland,,00:04:36,00:00:00,00:17:55,00:00:00,00:06:38,00:29:09
Mateusz,Rak,POL,Team I Poland,,00:04:12,00:00:00,00:16:29,00:00:00,00:05:52,00:26:33
Malgorzata,Otworowska,POL,Team I Poland,,00:04:40,00:00:00,00:17:48,00:00:00,00:06:25,00:28:53
Mateusz,Kazmierczak,POL,Team I Poland,,00:04:23,00:00:00,00:16:10,00:00:00,00:06:03,00:26:36
Kseniia,Levkovska,AZE,Team I Ukraine,,00:04:38,00:00:00,00:00:00,00:00:00,00:00:00,00:29:02
Ivan,Ivanov,UKR,Team I Ukraine,,00:04:18,00:00:00,00:16:25,00:00:00,00:05:11,00:25:54
Anastasiya,Chernenko,UKR,Team I Ukraine,,00:04:40,00:00:00,00:18:31,00:00:00,00:07:00,00:30:11
Iurii,Zablotskyi,UKR,Team I Ukraine,,00:04:32,00:00:00,00:17:05,00:00:00,00:06:01,00:27:38
Eszter,Dudas,HUN,Team I Hungary,,00:04:42,00:00:00,00:17:54,00:00:00,00:06:46,00:28:13
Tamas,Toth,HUN,Team I Hungary,,00:04:22,00:00:00,00:16:00,00:00:00,00:06:09,00:27:10
Eszter,Pap,HUN,Team I Hungary,,00:05:20,00:00:00,00:20:31,00:00:00,00:06:45,00:26:20
Daniel,Borsanyi,HUN,Team I Hungary,,00:04:52,00:00:00,00:18:15,00:00:00,00:06:36,00:26:43
Ana Maria,Ortega Pascual,ESP,Team II Spain,,00:04:47,00:00:00,00:19:26,00:00:00,00:06:51,00:31:04
Vicente,Hernandez,ESP,Team II Spain,,00:04:21,00:00:00,00:16:56,00:00:00,00:05:39,00:26:56
Miriam,Casillas García,ESP,Team II Spain,,00:05:22,00:00:00,00:18:19,00:00:00,00:06:44,00:30:25
Uxio,Abuin Ares,ESP,Team II Spain,,00:04:18,00:00:00,00:16:42,00:00:00,00:05:36,00:26:36
Liubov,Polyanskaya,RUS,Team II Russia,,00:04:46,00:00:00,00:19:06,00:00:00,00:06:46,00:30:38
Igor,Polyanskiy,RUS,Team II Russia,,00:04:17,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
Mariya,Shorets,RUS,Team II Russia,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
Anton,Kozlov,RUS,Team II Russia,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
