ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,RUN,T1,SWIM,T2,RUN,POSITION,TOTAL TIME
Kevin,Goodwin,AUS,5385,00:00:00,00:00:00,00:13:33,00:01:42,00:19:09,1,00:34:25
Cor,Story,NZL,5374,00:00:00,00:00:00,00:15:13,00:01:51,00:19:29,2,00:36:35
Greg,Salter,AUS,5391,00:00:00,00:00:00,00:16:18,00:01:44,00:19:13,3,00:37:16
John,Graham,AUS,5386,00:00:00,00:00:00,00:16:09,00:02:07,00:19:25,4,00:37:41
Iskandar,Shakhov,RUS,5375,00:00:00,00:00:00,00:16:24,00:02:08,00:20:01,5,00:38:35
Alan,Woodcock,GBR,5406,00:00:00,00:00:00,00:18:08,00:01:58,00:20:16,6,00:40:24
Fergus,Oliver,NZL,5372,00:00:00,00:00:00,00:17:59,00:02:11,00:20:28,7,00:40:39
Paul,Haffenden,CAN,5396,00:00:00,00:00:00,00:15:07,00:02:19,00:23:13,8,00:40:41
Herve,Osmont,MON,5405,00:00:00,00:00:00,00:16:40,00:02:29,00:22:10,9,00:41:19
Michael,Skivington,GBR,5404,00:00:00,00:00:00,00:18:55,00:02:01,00:20:33,10,00:41:29
Michael,Stockdale,AUS,5392,00:00:00,00:00:00,00:17:15,00:02:12,00:23:20,11,00:42:50
Mike,Cooper,CAN,5394,00:00:00,00:00:00,00:18:59,00:02:13,00:21:46,12,00:42:59
Grant,Jeffreys,NZL,5370,00:00:00,00:00:00,00:18:52,00:01:58,00:22:35,13,00:43:27
Peter,Brown,AUS,5383,00:00:00,00:00:00,00:18:45,00:02:41,00:22:16,14,00:43:43
Gregory,Jones,AUS,5388,00:00:00,00:00:00,00:19:04,00:02:29,00:22:41,15,00:44:16
Michael,Morris,USA,5379,00:00:00,00:00:00,00:18:05,00:02:13,00:24:01,16,00:44:20
Richard,Vinsen,COK,5402,00:00:00,00:00:00,00:22:05,00:02:04,00:20:17,17,00:44:27
Tony,Hoft,CAN,5397,00:00:00,00:00:00,00:18:54,00:02:45,00:23:10,18,00:44:51
Neil,Cameron,NZL,5368,00:00:00,00:00:00,00:20:32,00:02:49,00:21:30,19,00:44:53
Keith,Bradshaw,GBR,5403,00:00:00,00:00:00,00:20:53,00:02:11,00:22:19,20,00:45:25
William,Gunn,AUS,5387,00:00:00,00:00:00,00:20:48,00:02:32,00:22:07,21,00:45:28
Peter,Landon-Lane,NZL,5371,00:00:00,00:00:00,00:21:55,00:01:55,00:21:52,22,00:45:43
Chris,Powell,NZL,5373,00:00:00,00:00:00,00:18:51,00:02:30,00:24:25,23,00:45:47
Duncan,Dark,AUS,5384,00:00:00,00:00:00,00:19:13,00:02:59,00:23:43,24,00:45:56
Scott,Endsley,USA,5376,00:00:00,00:00:00,00:18:23,00:02:33,00:26:21,25,00:47:18
Arama,Tom,COK,5401,00:00:00,00:00:00,00:19:55,00:04:40,00:23:48,26,00:48:25
Mark,Oakley Browne,AUS,5390,00:00:00,00:00:00,00:21:01,00:02:39,00:25:11,27,00:48:52
Jonathan,Sasser,USA,5380,00:00:00,00:00:00,00:24:00,00:03:48,00:27:16,28,00:55:05
Michael,Krisa,CAN,5398,00:00:00,00:00:00,00:20:00,00:02:52,00:32:49,29,00:55:42
Graham,Mcconnell,AUS,5389,00:00:00,00:00:00,00:28:57,00:03:39,00:23:41,30,00:56:18
Dick,Moore,USA,5378,00:00:00,00:00:00,00:19:53,00:03:37,00:34:23,31,00:57:54
Stephen,Saunders,CAN,5399,00:00:00,00:00:00,00:29:37,00:03:57,00:28:18,32,01:01:53
Ian,Christensen,NZL,5369,00:00:00,00:00:00,00:17:17,00:02:05,00:00:00,DNS,00:00:00
Geoff,Stoddart,COK,5400,00:00:00,00:00:00,00:17:23,00:04:09,00:00:00,DNS,00:00:00
