People QuickFacts,Lake County,Montana
"Population, 2013 estimate    ",,"1,015,165"
"Population, 2012 estimate    ","28,986","1,005,494"
"Population, 2010 (April 1) estimates base    ","28,746","989,417"
"Population, percent change, April 1, 2010 to July 1, 2013    ",,2.6%
"Population, percent change, April 1, 2010 to July 1, 2012    ",0.8%,1.6%
"Population, 2010    ","28,746","989,415"
"Persons under 5 years, percent, 2012    ",6.8%,6.1%
"Persons under 18 years, percent, 2012    ",25.0%,22.1%
"Persons 65 years and over, percent, 2012    ",18.4%,15.7%
"Female persons, percent, 2012    ",50.8%,49.8%
,,
"White alone, percent, 2012 (a)    ",68.9%,89.7%
"Black or African American alone, percent, 2012 (a)    ",0.4%,0.6%
"American Indian and Alaska Native alone, percent, 2012 (a)    ",23.0%,6.5%
"Asian alone, percent, 2012 (a)    ",0.5%,0.7%
"Native Hawaiian and Other Pacific Islander alone, percent, 2012 (a)    ",0.1%,0.1%
"Two or More Races, percent, 2012    ",7.1%,2.5%
"Hispanic or Latino, percent, 2012 (b)    ",3.7%,3.1%
"White alone, not Hispanic or Latino, percent, 2012    ",67.0%,87.2%
,,
"Living in same house 1 year & over, percent, 2008-2012    ",82.7%,83.6%
"Foreign born persons, percent, 2008-2012    ",1.4%,2.0%
"Language other than English spoken at home, pct age 5+, 2008-2012    ",7.4%,4.6%
"High school graduate or higher, percent of persons age 25+, 2008-2012    ",89.9%,91.9%
"Bachelor's degree or higher, percent of persons age 25+, 2008-2012    ",25.9%,28.5%
"Veterans, 2008-2012    ","2,955","97,991"
"Mean travel time to work (minutes), workers age 16+, 2008-2012    ",20.5,18
"Housing units, 2012    ","16,625","486,141"
"Homeownership rate, 2008-2012    ",68.5%,68.5%
"Housing units in multi-unit structures, percent, 2008-2012    ",9.0%,16.6%
"Median value of owner-occupied housing units, 2008-2012    ","$216,200","$183,000"
"Households, 2008-2012    ","12,023","405,508"
"Persons per household, 2008-2012    ",2.33,2.37
"Per capita money income in past 12 months (2012 dollars), 2008-2012    ","$20,604","$25,002"
"Median household income, 2008-2012    ","$37,211","$45,456"
"Persons below poverty level, percent, 2008-2012    ",23.2%,14.8%
,,
Business QuickFacts,Lake County,Montana
"Private nonfarm establishments, 2011    ",773,"35,687"
"Private nonfarm employment, 2011    ","5,038","336,110"
"Private nonfarm employment, percent change, 2010-2011    ",-3.7%,-0.7%
"Nonemployer establishments, 2011    ","2,323","84,070"
,,
"Total number of firms, 2007    ","2,630","114,398"
"Black-owned firms, percent, 2007    ",F,0.2%
"American Indian- and Alaska Native-owned firms, percent, 2007    ",S,2.0%
"Asian-owned firms, percent, 2007    ",F,0.6%
"Native Hawaiian and Other Pacific Islander-owned firms, percent, 2007    ",F,S
"Hispanic-owned firms, percent, 2007    ",F,1.0%
"Women-owned firms, percent, 2007    ",S,24.6%
,,
"Manufacturers shipments, 2007 ($1000)    ","119,815","10,638,145"
"Merchant wholesaler sales, 2007 ($1000)    ","8,713","8,202,782"
"Retail sales, 2007 ($1000)    ","276,964","14,686,854"
"Retail sales per capita, 2007    ","$9,855","$15,343"
"Accommodation and food services sales, 2007 ($1000)    ","34,712","2,079,426"
"Building permits, 2012    ",26,"2,736"
,,
Geography QuickFacts,Lake County,Montana
"Land area in square miles, 2010    ","1,490.15","145,545.80"
"Persons per square mile, 2010    ",19.3,6.8
FIPS Code    ,47,30
Metropolitan or Micropolitan Statistical Area    ,None, 
,,
(a) Includes persons reporting only one race.,,
"(b) Hispanics may be of any race, so also are included in applicable race categories.",,
FN: Footnote on this item for this area in place of data,,
NA: Not available,,
D: Suppressed to avoid disclosure of confidential information,,
X: Not applicable,,
S: Suppressed; does not meet publication standards,,
Z: Value greater than zero but less than half unit of measure shown,,
F: Fewer than 100 firms,,
Source: US Census Bureau State & County QuickFacts,,
