People QuickFacts,Yuma,Arizona
"Population, 2013 estimate    ","91,923","6,626,624"
"Population, 2010 (April 1) estimates base    ","90,702","6,392,015"
"Population, percent change, April 1, 2010 to July 1, 2013    ",1.3%,3.7%
"Population, 2010    ","93,064","6,392,017"
"Persons under 5 years, percent, 2010    ",7.9%,7.1%
"Persons under 18 years, percent, 2010    ",28.2%,25.5%
"Persons 65 years and over, percent,  2010    ",12.7%,13.8%
"Female persons, percent, 2010    ",49.2%,50.3%
,,
"White alone, percent, 2010 (a)    ",68.8%,73.0%
"Black or African American alone, percent, 2010 (a)    ",3.2%,4.1%
"American Indian and Alaska Native alone, percent, 2010 (a)    ",1.8%,4.6%
"Asian alone, percent, 2010 (a)    ",1.9%,2.8%
"Native Hawaiian and Other Pacific Islander alone, percent, 2010 (a)    ",0.2%,0.2%
"Two or More Races, percent, 2010    ",4.5%,3.4%
"Hispanic or Latino, percent, 2010 (b)    ",54.8%,29.6%
"White alone, not Hispanic or Latino, percent, 2010    ",37.9%,57.8%
,,
"Living in same house 1 year & over, percent, 2009-2013    ",76.5%,80.4%
"Foreign born persons, percent, 2009-2013    ",20.1%,13.4%
"Language other than English spoken at home, pct age 5+, 2009-2013    ",44.1%,26.8%
"High school graduate or higher, percent of persons age 25+, 2009-2013    ",78.3%,85.7%
"Bachelor's degree or higher, percent of persons age 25+, 2009-2013    ",16.4%,26.9%
"Veterans, 2009-2013    ","7,090","522,382"
"Mean travel time to work (minutes), workers age 16+, 2009-2013    ",16,24.6
"Housing units, 2010    ","38,626","2,844,526"
"Homeownership rate, 2009-2013    ",59.7%,64.4%
"Housing units in multi-unit structures, percent, 2009-2013    ",20.0%,20.7%
"Median value of owner-occupied housing units, 2009-2013    ","$129,600","$165,100"
"Households, 2009-2013    ","32,668","2,370,289"
"Persons per household, 2009-2013    ",2.68,2.67
"Per capita money income in past 12 months (2013 dollars), 2009-2013    ","$20,617","$25,358"
"Median household income, 2009-2013    ","$44,220","$49,774"
"Persons below poverty level, percent, 2009-2013    ",16.6%,17.9%
,,
Business QuickFacts,Yuma,Arizona
"Total number of firms, 2007    ","6,306","491,529"
"Black-owned firms, percent, 2007    ",S,2.0%
"American Indian- and Alaska Native-owned firms, percent, 2007    ",1.8%,1.9%
"Asian-owned firms, percent, 2007    ",3.3%,3.3%
"Native Hawaiian and Other Pacific Islander-owned firms, percent, 2007    ",F,S
"Hispanic-owned firms, percent, 2007    ",28.8%,10.7%
"Women-owned firms, percent, 2007    ",30.3%,28.1%
,,
"Manufacturers shipments, 2007 ($1000)    ","830,372","57,977,827"
"Merchant wholesaler sales, 2007 ($1000)    ","817,903","57,573,459"
"Retail sales, 2007 ($1000)    ","1,683,561","86,758,801"
"Retail sales per capita, 2007    ","$18,988","$13,637"
"Accommodation and food services sales, 2007 ($1000)    ","230,005","13,268,514"
,,
Geography QuickFacts,Yuma,Arizona
"Land area in square miles, 2010    ",120.28,"113,594.08"
"Persons per square mile, 2010    ",773.7,56.3
FIPS Code    ,85540,4
Counties    ,"Yuma County
 ",
,,
(a) Includes persons reporting only one race.,,
"(b) Hispanics may be of any race, so also are included in applicable race categories.",,
FN: Footnote on this item for this area in place of data,,
NA: Not available,,
D: Suppressed to avoid disclosure of confidential information,,
X: Not applicable,,
S: Suppressed; does not meet publication standards,,
Z: Value greater than zero but less than half unit of measure shown,,
F: Fewer than 100 firms,,
Source: US Census Bureau State & County QuickFacts,,
