ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SNOWSHOE,T1,SKATE,T2,SKI,POSITION,TOTAL TIME,PROGRAM
Yulia,Gudalova,RUS,0,00:22:13,00:00:00,00:45:32,00:00:00,00:36:44,1,01:44:50,16-19 Female AG
Natalia,Skuratovich,RUS,103,00:27:13,00:00:00,00:36:05,00:00:00,00:45:14,1,01:48:32,20-24 Female AG
Davide,Ambrosini ,ITA,122,00:21:23,00:00:00,00:26:15,00:00:00,00:32:02,1,01:19:41,20-24 Male AG
Matej,Hrasko,SVK,184,00:20:54,00:00:00,00:25:33,00:00:00,00:32:08,1,01:18:35,25-29 Male AG
Richard,Gentry,GBR,123,00:22:11,00:00:00,00:29:46,00:00:00,00:32:17,2,01:24:14,25-29 Male AG
Alberto,Mosconi,ITA,125,00:20:33,00:00:00,00:25:12,00:00:00,00:29:21,1,01:15:07,30-34 Male AG
Jimmi,Pellegrini,ITA,126,00:20:30,00:00:00,00:25:11,00:00:00,00:33:35,2,01:19:17,30-34 Male AG
Fabrizio,Iozzi,ITA,124,00:23:32,00:00:00,00:28:26,00:00:00,00:38:18,3,01:30:16,30-34 Male AG
Marco,Riboni ,ITA,127,00:24:02,00:00:00,00:32:58,00:00:00,00:40:30,4,01:37:31,30-34 Male AG
Kelly,Haniver ,GBR,105,00:23:42,00:00:00,00:34:48,00:00:00,00:35:27,1,01:33:58,35-39 Female AG
Sarah,Thomas,GBR,106,00:23:57,00:00:00,00:34:21,00:00:00,00:43:23,2,01:41:40,35-39 Female AG
Marta,Poretti,ITA,104,00:26:33,00:00:00,00:39:09,00:00:00,00:47:17,3,01:53:00,35-39 Female AG
Francesco,Tanara ,ITA,133,00:20:32,00:00:00,00:25:19,00:00:00,00:25:36,1,01:11:27,35-39 Male AG
Evgeny,Chagin,RUS,134,00:20:49,00:00:00,00:24:02,00:00:00,00:26:47,2,01:11:39,35-39 Male AG
