People QuickFacts,Ferguson,Missouri
"Population, 2013 estimate    ","21,111","6,044,171"
"Population, 2010 (April 1) estimates base    ","21,203","5,988,923"
"Population, percent change, April 1, 2010 to July 1, 2013    ",-0.4%,0.9%
"Population, 2010    ","21,203","5,988,927"
"Persons under 5 years, percent, 2010    ",8.2%,6.5%
"Persons under 18 years, percent, 2010    ",28.7%,23.8%
"Persons 65 years and over, percent,  2010    ",10.3%,14.0%
"Female persons, percent, 2010    ",55.2%,51.0%
,,
"White alone, percent, 2010 (a)    ",29.3%,82.8%
"Black or African American alone, percent, 2010 (a)    ",67.4%,11.6%
"American Indian and Alaska Native alone, percent, 2010 (a)    ",0.4%,0.5%
"Asian alone, percent, 2010 (a)    ",0.5%,1.6%
"Native Hawaiian and Other Pacific Islander alone, percent, 2010 (a)    ",Z,0.1%
"Two or More Races, percent, 2010    ",2.0%,2.1%
"Hispanic or Latino, percent, 2010 (b)    ",1.2%,3.5%
"White alone, not Hispanic or Latino, percent, 2010    ",28.7%,81.0%
,,
"Living in same house 1 year & over, percent, 2009-2013    ",87.6%,83.8%
"Foreign born persons, percent, 2009-2013    ",1.5%,3.9%
"Language other than English spoken at home, pct age 5+, 2009-2013    ",2.6%,6.1%
"High school graduate or higher, percent of persons age 25+, 2009-2013    ",88.6%,87.6%
"Bachelor's degree or higher, percent of persons age 25+, 2009-2013    ",22.7%,26.2%
"Veterans, 2009-2013    ","1,385","479,828"
"Mean travel time to work (minutes), workers age 16+, 2009-2013    ",27.7,23.1
"Housing units, 2010    ","9,105","2,712,729"
"Homeownership rate, 2009-2013    ",58.7%,68.4%
"Housing units in multi-unit structures, percent, 2009-2013    ",23.8%,19.7%
"Median value of owner-occupied housing units, 2009-2013    ","$93,700","$137,000"
"Households, 2009-2013    ","8,600","2,360,131"
"Persons per household, 2009-2013    ",2.43,2.4699999999999998
"Per capita money income in past 12 months (2013 dollars), 2009-2013    ","$20,472","$25,649"
"Median household income, 2009-2013    ","$38,685","$47,380"
"Persons below poverty level, percent, 2009-2013    ",24.9%,15.5%
,,
Business QuickFacts,Ferguson,Missouri
"Total number of firms, 2007    ","1,460","501,064"
"Black-owned firms, percent, 2007    ",S,4.9%
"American Indian- and Alaska Native-owned firms, percent, 2007    ",F,0.6%
"Asian-owned firms, percent, 2007    ",S,1.9%
"Native Hawaiian and Other Pacific Islander-owned firms, percent, 2007    ",F,0.1%
"Hispanic-owned firms, percent, 2007    ",F,1.2%
"Women-owned firms, percent, 2007    ",33.8%,26.1%
,,
"Manufacturers shipments, 2007 ($1000)    ",0,"110,907,604"
"Merchant wholesaler sales, 2007 ($1000)    ","294,475","81,032,913"
"Retail sales, 2007 ($1000)    ","391,824","76,575,216"
"Retail sales per capita, 2007    ","$18,574","$12,957"
"Accommodation and food services sales, 2007 ($1000)    ","29,273","11,070,634"
,,
Geography QuickFacts,Ferguson,Missouri
"Land area in square miles, 2010    ",6.19,"68,741.52"
"Persons per square mile, 2010    ","3,423.2",87.1
FIPS Code    ,23986,29
Counties    ,"St. Louis County
 ",
,,
(a) Includes persons reporting only one race.,,
"(b) Hispanics may be of any race, so also are included in applicable race categories.",,
FN: Footnote on this item for this area in place of data,,
NA: Not available,,
D: Suppressed to avoid disclosure of confidential information,,
X: Not applicable,,
S: Suppressed; does not meet publication standards,,
Z: Value greater than zero but less than half unit of measure shown,,
F: Fewer than 100 firms,,
Source: US Census Bureau State & County QuickFacts,,
