ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,RUN,T1,BIKE,T2,RUN,POSITION,TOTAL TIME
Oliver,Freeman,GBR,0,00:15:39,00:00:16,00:35:58,00:00:19,00:08:57,1,01:01:10
William,Clarke,GBR,0,00:15:40,00:00:16,00:35:51,00:00:19,00:09:21,2,01:01:28
Martin,Urbanovsky,SVK,0,00:15:41,00:00:17,00:36:39,00:00:26,00:08:45,3,01:01:48
Tamas,Nogradi,HUN,0,00:15:41,00:00:19,00:36:40,00:00:22,00:08:50,4,01:01:53
Bojan,Cebin,SLO,0,00:15:41,00:00:17,00:36:43,00:00:22,00:08:50,5,01:01:56
Steve,Duplinsky,USA,0,00:16:06,00:00:22,00:36:13,00:00:22,00:08:54,6,01:02:00
Attila,Fecskovics,HUN,0,00:16:03,00:00:24,00:36:19,00:00:26,00:08:53,7,01:02:07
Dries,Torfs,BEL,0,00:16:06,00:00:17,00:36:13,00:00:26,00:09:05,8,01:02:08
Marijn,Geurken,NED,0,00:16:17,00:00:16,00:36:00,00:00:24,00:09:12,9,01:02:09
Gregor,Buchholz,GER,0,00:15:41,00:00:16,00:36:40,00:00:22,00:09:10,10,01:02:11
Taylor,Tolleson,USA,0,00:16:41,00:00:19,00:35:35,00:00:29,00:09:05,11,01:02:14
Marc,Geerts,BEL,0,00:16:04,00:00:17,00:36:13,00:00:22,00:09:17,12,01:02:16
Michal,Gondek,CZE,0,00:15:41,00:00:17,00:37:02,00:00:10,00:09:06,13,01:02:18
David,Tovar,ESP,0,00:16:04,00:00:17,00:36:37,00:00:14,00:09:04,14,01:02:18
Manuel,Pineiro,ESP,0,00:16:52,00:00:17,00:35:29,00:00:24,00:09:17,15,01:02:19
Stuart,Brown,GBR,0,00:16:07,00:00:17,00:36:22,00:00:17,00:09:21,16,01:02:25
Bruce,Hunter,NZL,0,00:16:46,00:00:17,00:35:33,00:00:22,00:09:32,17,01:02:30
Jochen,Neyrinck,BEL,0,00:16:44,00:00:19,00:35:37,00:00:16,00:09:31,18,01:02:30
Peter,Viana,ITA,0,00:16:44,00:00:19,00:35:40,00:00:19,00:09:28,19,01:02:32
Ivan,Caceres,ESP,0,00:16:17,00:00:19,00:36:05,00:00:24,00:09:27,20,01:02:35
Dirk,Baelus,BEL,0,00:16:11,00:00:19,00:36:12,00:00:24,00:09:32,21,01:02:41
Milton,Rasimpi,RSA,0,00:16:03,00:00:17,00:36:22,00:00:31,00:09:31,22,01:02:46
Alberto,Casadei,ITA,0,00:16:44,00:00:19,00:35:43,00:00:22,00:09:39,23,01:02:48
Schalk,Roestoff,RSA,0,00:15:40,00:00:26,00:36:37,00:00:31,00:09:33,24,01:02:48
Eduardo Jose,Mansilla,ARG,0,00:16:46,00:00:22,00:35:33,00:00:29,00:09:40,25,01:02:51
Matt,Daley,AUS,0,00:16:07,00:00:19,00:36:14,00:00:26,00:09:49,26,01:02:58
Vladimir,Pospichal,CZE,0,00:16:46,00:00:17,00:35:35,00:00:27,00:09:56,27,01:03:04
Matej,Cagan,SVK,0,00:16:46,00:00:19,00:36:01,00:00:21,00:10:10,28,01:03:38
Gabor,Faldum,HUN,0,00:16:46,00:00:16,00:35:46,00:00:19,00:11:01,29,01:04:08
Dusan,Divinec,SVK,0,00:17:09,00:00:19,00:36:27,00:00:22,00:10:30,30,01:04:48
Koen,Demyttenaere,BEL,0,00:17:08,00:00:19,00:36:27,00:00:22,00:10:30,31,01:04:48
Gavin,Scott,AUS,0,00:17:08,00:00:19,00:36:27,00:00:22,00:10:41,32,01:04:59
Francesco,Cecchin,ITA,0,00:16:52,00:00:19,00:38:01,00:00:27,00:10:03,33,01:05:46
Aurelien,Campener,BEL,0,00:17:22,00:00:19,00:37:35,00:00:19,00:10:33,34,01:06:10
Vladimir,Maly,CZE,0,00:17:09,00:00:22,00:37:44,00:00:31,00:10:26,35,01:06:13
Erik-Simon,Strijk,NED,0,00:17:22,00:00:19,00:37:33,00:00:22,00:10:45,36,01:06:22
David,Szaloki,HUN,0,00:17:02,00:00:17,00:38:12,00:00:26,00:11:13,37,01:07:11
Rob,Douwen,BEL,0,00:18:05,00:00:22,00:39:11,00:00:27,00:10:58,38,01:09:06
Doug,Morton,AUS,0,00:17:31,00:00:24,00:41:37,00:00:24,00:10:34,39,01:10:31
Corne,De Klerk,RSA,0,00:18:18,00:00:39,00:40:38,00:00:26,00:10:42,40,01:10:44
Jared,Watson,RSA,0,00:16:56,00:00:24,00:42:08,00:00:27,00:11:32,41,01:11:31
Ragalla,Thiago,BRA,0,00:18:45,00:00:22,00:41:51,00:00:19,00:11:55,42,01:13:13
Wouter,Baetens,BEL,0,00:17:43,00:00:19,00:39:38,00:00:26,00:00:00,DNF,00:00:00
Simon,De Cuyper,BEL,0,00:16:44,00:00:21,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Romke,De Jong,RSA,0,00:17:55,00:00:21,00:39:26,00:00:24,00:00:00,DNF,00:00:00
Garry,Hughes,GBR,0,00:16:04,00:00:19,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Soares,Joao,BRA,0,00:17:46,00:00:22,00:39:33,00:00:26,00:00:00,DNF,00:00:00
Akos,Koncz,HUN,0,00:16:06,00:00:17,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Tibor,Nuriev,HUN,0,00:17:46,00:00:22,00:39:34,00:00:26,00:00:00,DNF,00:00:00
Aron,Rudolf,SUI,0,00:16:19,00:00:19,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Christo,Van Der Merwe,RSA,0,00:17:10,00:00:21,00:40:12,00:00:24,00:00:00,DNF,00:00:00
