People QuickFacts,Breckinridge County,Kentucky
"Population, 2012 estimate    ","20,071","4,380,415"
"Population, 2010 (April 1) estimates base    ","20,055","4,339,357"
"Population, percent change, April 1, 2010 to July 1, 2012    ",0.1%,0.9%
"Population, 2010    ","20,059","4,339,367"
"Persons under 5 years, percent, 2011     ",6.0%,6.4%
"Persons under 18 years, percent, 2011     ",23.9%,23.4%
"Persons 65 years and over, percent, 2011     ",15.9%,13.5%
"Female persons, percent, 2011     ",50.0%,50.8%
,,
"White persons, percent, 2011 (a)     ",95.8%,88.9%
"Black persons, percent, 2011 (a)     ",2.3%,8.0%
"American Indian and Alaska Native persons, percent, 2011 (a)     ",0.4%,0.3%
"Asian persons, percent, 2011 (a)    ",0.3%,1.2%
"Native Hawaiian and Other Pacific Islander persons, percent, 2011 (a)     ",Z,0.1%
"Persons reporting two or more races, percent, 2011     ",1.2%,1.6%
"Persons of Hispanic or Latino Origin, percent, 2011 (b)     ",0.9%,3.2%
"White persons not Hispanic, percent, 2011     ",95.1%,86.1%
,,
"Living in same house 1 year & over, percent, 2007-2011    ",89.9%,84.7%
"Foreign born persons, percent, 2007-2011    ",0.4%,3.1%
"Language other than English spoken at home, percent age 5+, 2007-2011    ",2.5%,4.7%
"High school graduate or higher, percent of persons age 25+, 2007-2011    ",76.7%,81.7%
"Bachelor's degree or higher, percent of persons age 25+, 2007-2011    ",8.1%,20.6%
"Veterans, 2007-2011    ","1,657","323,823"
"Mean travel time to work (minutes), workers age 16+, 2007-2011    ",29.8,22.6
,,
"Housing units, 2011    ","10,649","1,932,599"
"Homeownership rate, 2007-2011    ",78.9%,69.5%
"Housing units in multi-unit structures, percent, 2007-2011    ",5.3%,17.8%
"Median value of owner-occupied housing units, 2007-2011    ","$79,400","$118,700"
"Households, 2007-2011    ","7,519","1,681,085"
"Persons per household, 2007-2011    ",2.62,2.49
"Per capita money income in the past 12 months (2011 dollars), 2007-2011    ","$17,872","$23,033"
"Median household income, 2007-2011    ","$38,325","$42,248"
"Persons below poverty level, percent, 2007-2011    ",20.8%,18.1%
,,
Business QuickFacts,Breckinridge County,Kentucky
"Private nonfarm establishments, 2010    ",286,"90,771"
"Private nonfarm employment, 2010    ","2,178","1,456,790"
"Private nonfarm employment, percent change, 2000-2010    ",-3.5,-3.8
"Nonemployer establishments, 2010    ","1,243","272,455"
,,
"Total number of firms, 2007    ","1,412","337,600"
"Black-owned firms, percent, 2007    ",F,3.1%
"American Indian- and Alaska Native-owned firms, percent, 2007    ",F,0.3%
"Asian-owned firms, percent, 2007    ",F,1.6%
"Native Hawaiian and Other Pacific Islander-owned firms, percent, 2007    ",F,0.0%
"Hispanic-owned firms, percent, 2007    ",F,1.1%
"Women-owned firms, percent, 2007    ",23.2%,25.6%
,,
"Manufacturers shipments, 2007 ($1000)    ",0,"119,105,421"
"Merchant wholesaler sales, 2007 ($1000)    ","19,378","74,680,759"
"Retail sales, 2007 ($1000)    ","113,835","50,405,925"
"Retail sales per capita, 2007    ","$5,968","$11,843"
"Accommodation and food services sales, 2007 ($1000)    ","7,882","6,300,866"
"Building permits, 2011     ",11,"7,782"
,,
Geography QuickFacts,Breckinridge County,Kentucky
"Land area in square miles, 2010    ",567.17,"39,486.34"
"Persons per square mile, 2010    ",35.4,109.9
FIPS Code    ,27,21
Metropolitan or Micropolitan Statistical Area    ,None, 
,,
(a) Includes persons reporting only one race.,,
"(b) Hispanics may be of any race, so also are included in applicable race categories.",,
FN: Footnote on this item for this area in place of data,,
NA: Not available,,
D: Suppressed to avoid disclosure of confidential information,,
X: Not applicable,,
S: Suppressed; does not meet publication standards,,
Z: Value greater than zero but less than half unit of measure shown,,
F: Fewer than 100 firms,,
Source: US Census Bureau State & County QuickFacts,,
