CMTE_ID,CMTE_NM,PURPOSE,SUM(FI.TRANSACTION_AMT)
C00422048,COMMITTEE ON ARRANGEMENTS FOR THE 2008 REPUBLICAN NATIONAL CONVENTION,A/V RENTAL EQUIPMENT,2822.62
C00422048,COMMITTEE ON ARRANGEMENTS FOR THE 2008 REPUBLICAN NATIONAL CONVENTION,AIRFARE,437485.99
C00422048,COMMITTEE ON ARRANGEMENTS FOR THE 2008 REPUBLICAN NATIONAL CONVENTION,AIRFARE AND LODGING,70000
C00422048,COMMITTEE ON ARRANGEMENTS FOR THE 2008 REPUBLICAN NATIONAL CONVENTION,AIRTIME,0.79
C00422048,COMMITTEE ON ARRANGEMENTS FOR THE 2008 REPUBLICAN NATIONAL CONVENTION,AMERICAN FLAG,56.1
C00422048,COMMITTEE ON ARRANGEMENTS FOR THE 2008 REPUBLICAN NATIONAL CONVENTION,AUDIO VISUAL RENTAL EQUIPMENT,2952.97
C00422048,COMMITTEE ON ARRANGEMENTS FOR THE 2008 REPUBLICAN NATIONAL CONVENTION,AUDIO VISUAL SETUP AND EQUIPMENT,756.05
C00422048,COMMITTEE ON ARRANGEMENTS FOR THE 2008 REPUBLICAN NATIONAL CONVENTION,BADGES,52036.03
C00422048,COMMITTEE ON ARRANGEMENTS FOR THE 2008 REPUBLICAN NATIONAL CONVENTION,BANNERS,13864.59
C00422048,COMMITTEE ON ARRANGEMENTS FOR THE 2008 REPUBLICAN NATIONAL CONVENTION,BATTERY AND MICROPHONE REPLACEMENT,1117.55
C00422048,COMMITTEE ON ARRANGEMENTS FOR THE 2008 REPUBLICAN NATIONAL CONVENTION,BUS SERVICE,755
C00422048,COMMITTEE ON ARRANGEMENTS FOR THE 2008 REPUBLICAN NATIONAL CONVENTION,CAMERA COVERAGE OF CONVENTION,95000
C00422048,COMMITTEE ON ARRANGEMENTS FOR THE 2008 REPUBLICAN NATIONAL CONVENTION,CAR REPAIR,844.26
C00422048,COMMITTEE ON ARRANGEMENTS FOR THE 2008 REPUBLICAN NATIONAL CONVENTION,CAR SERVICE,1496.96
C00422048,COMMITTEE ON ARRANGEMENTS FOR THE 2008 REPUBLICAN NATIONAL CONVENTION,CAR WASHES,448.99
C00422048,COMMITTEE ON ARRANGEMENTS FOR THE 2008 REPUBLICAN NATIONAL CONVENTION,CATERING,679110.34
C00422048,COMMITTEE ON ARRANGEMENTS FOR THE 2008 REPUBLICAN NATIONAL CONVENTION,CATERING AND AUDIO VISUAL,4399.04
C00422048,COMMITTEE ON ARRANGEMENTS FOR THE 2008 REPUBLICAN NATIONAL CONVENTION,CATERING AND ROOM RENTAL,7917.63
C00422048,COMMITTEE ON ARRANGEMENTS FOR THE 2008 REPUBLICAN NATIONAL CONVENTION,CATERING LODGING IT & OFFICE SPACE,414968.43
C00422048,COMMITTEE ON ARRANGEMENTS FOR THE 2008 REPUBLICAN NATIONAL CONVENTION,CATERINGVIDEOPRODUCTIONCONSTRUCTIONSUITE DESIGN,637077.11
C00422048,COMMITTEE ON ARRANGEMENTS FOR THE 2008 REPUBLICAN NATIONAL CONVENTION,COMMUNICATIONS CONSULTANT EXPENSE,3369.13
C00422048,COMMITTEE ON ARRANGEMENTS FOR THE 2008 REPUBLICAN NATIONAL CONVENTION,COMMUNICATIONS CONSULTANT-TRAVEL EXPENSE,186.1
C00422048,COMMITTEE ON ARRANGEMENTS FOR THE 2008 REPUBLICAN NATIONAL CONVENTION,COMPLIANCE,6250
C00422048,COMMITTEE ON ARRANGEMENTS FOR THE 2008 REPUBLICAN NATIONAL CONVENTION,COMPUTER RENTAL,17377.34
C00422048,COMMITTEE ON ARRANGEMENTS FOR THE 2008 REPUBLICAN NATIONAL CONVENTION,CONTRACT SERVCES-COMMUNICATIONS,2500
C00422048,COMMITTEE ON ARRANGEMENTS FOR THE 2008 REPUBLICAN NATIONAL CONVENTION,CONTRACT SERVICE-ADMINISTRATIVE SPPORT,1250
C00422048,COMMITTEE ON ARRANGEMENTS FOR THE 2008 REPUBLICAN NATIONAL CONVENTION,CONTRACT SERVICE-EXECUTIVE,6250
C00422048,COMMITTEE ON ARRANGEMENTS FOR THE 2008 REPUBLICAN NATIONAL CONVENTION,CONTRACT SERVICES - WEB WRITING,2000
C00422048,COMMITTEE ON ARRANGEMENTS FOR THE 2008 REPUBLICAN NATIONAL CONVENTION,CONTRACT SERVICES-ACCOUNTING,77000
C00422048,COMMITTEE ON ARRANGEMENTS FOR THE 2008 REPUBLICAN NATIONAL CONVENTION,CONTRACT SERVICES-ADMINISTRATIVE SUPPORT,4583.33
C00422048,COMMITTEE ON ARRANGEMENTS FOR THE 2008 REPUBLICAN NATIONAL CONVENTION,CONTRACT SERVICES-ADMINISTRATIVE SUPPORT SERVICES,3000
C00422048,COMMITTEE ON ARRANGEMENTS FOR THE 2008 REPUBLICAN NATIONAL CONVENTION,CONTRACT SERVICES-COMMUNICATIONS,143930.69
C00422048,COMMITTEE ON ARRANGEMENTS FOR THE 2008 REPUBLICAN NATIONAL CONVENTION,CONTRACT SERVICES-CREDENTIALS,2000
C00422048,COMMITTEE ON ARRANGEMENTS FOR THE 2008 REPUBLICAN NATIONAL CONVENTION,CONTRACT SERVICES-EVENT MANAGEMENT,41042.46
C00422048,COMMITTEE ON ARRANGEMENTS FOR THE 2008 REPUBLICAN NATIONAL CONVENTION,CONTRACT SERVICES-EXECUTIVE,724262.62
C00422048,COMMITTEE ON ARRANGEMENTS FOR THE 2008 REPUBLICAN NATIONAL CONVENTION,CONTRACT SERVICES-GRAPHIC DESIGN,23666
C00422048,COMMITTEE ON ARRANGEMENTS FOR THE 2008 REPUBLICAN NATIONAL CONVENTION,CONTRACT SERVICES-IT CONSULTING,10000
