Appr Gene (m),MGI ID,Appr Gene (h),HGNC ID,Ensembl (m),Ensembl (h),human ibaq protein group id,mouse ibaq protein group id,"iBAQ mPSD01 (Log2, normalised)","iBAQ mPSD02 (Log2, normalised)","iBAQ mPSD03 (Log2, normalised)","iBAQ hPSD01 (Log2, normalised)","iBAQ hPSD02 (Log2, normalised)","iBAQ hPSD03 (Log2, normalised)","iBAQ hPSD average (Log2, normalised)","iBAQ mPSD average (Log2, normalised)",Average fold change (mPSD from hDB/hPSD from mDB),t-test Significant (Permutation 0.01),t-test p value
Stxbp1,MGI:107363,STXBP1,HGNC:11444,ENSMUSG00000026797,ENSG00000136854,1098,1849,-2.846146,-2.331483,-2.83605,5.526147,6.182607,6.722121,6.143625,-2.6712263333333333,0.0022205744645548316,+,2.16215632089511e-05
Vim,MGI:98932,VIM,HGNC:12692,ENSMUSG00000026728,ENSG00000026025,1987,1156,-0.1160884,0.1315171,-0.01918857,5.177366,6.274975,5.295311,5.582550666666667,-0.0012532899999999983,0.020850070084773187,+,9.57190704489186e-05
Gdi1,MGI:99846,GDI1,HGNC:4226,ENSMUSG00000015291,ENSG00000203879,357,1518,-2.369866,-0.3634203,-2.289915,3.486066,3.794214,4.054397,3.7782256666666663,-1.6744004333333333,0.02283473567459013,+,0.00128423434279967
Gfap,MGI:95697,GFAP,HGNC:4235,ENSMUSG00000020932,ENSG00000131095,818,272,1.694986,1.633945,1.822789,6.280339,7.516161,6.862833,6.886444333333333,1.71724,0.02779165705148002,+,0.000138582746277649
Ppia,MGI:97749,PPIA,HGNC:9253,ENSMUSG00000071866,ENSG00000196262,1994,2096,-1.794802,-3.106905,-2.893475,2.085007,3.053485,2.375116,2.504536,-2.5983940000000003,0.029098124935271617,+,0.000509666293844857
Dpysl3,MGI:1349762,DPYSL3,HGNC:3015,ENSMUSG00000024501,ENSG00000113657,2369,443,-4.083045,-3.283426,-4.567897,0.9366875,0.5509672,1.464188,0.9839475666666667,-3.978122666666667,0.03208248642494195,+,0.000413841300586304
Msn,MGI:97167,MSN,HGNC:7373,ENSMUSG00000031207,ENSG00000147065,1426,91,-2.338295,-2.133094,-2.721,2.050328,2.760734,2.120467,2.3105096666666665,-2.397463,0.03826123715391612,+,7.77624913932407e-05
Ldhb,MGI:96763,LDHB,HGNC:6541,ENSMUSG00000030246,ENSG00000111716,1420,1203,-2.647834,-2.2985,-3.635954,2.521628,1.675591,1.183913,1.793710666666667,-2.8607626666666666,0.03970671079203653,+,0.00114044444951245
Hspa1a,MGI:96244,HSPA1A,HGNC:5232,ENSMUSG00000067283,ENSG00000204389,1712,1666,-1.911336,-2.75847,-1.296688,2.447176,2.933663,2.2091,2.5299796666666663,-1.988831333333333,0.04362167565415256,+,0.000678095897724385
Hspa1b,MGI:99517,HSPA1B,HGNC:5233,ENSMUSG00000067284,ENSG00000204388,1712,1666,-1.911336,-2.75847,-1.296688,2.447176,2.933663,2.2091,2.5299796666666663,-1.988831333333333,0.04362167565415256,+,0.000678095897724385
Glipr2,MGI:1917770,GLIPR2,HGNC:18007,ENSMUSG00000028480,ENSG00000122694,245,1853,-0.3044414,-0.9574327,-2.346728,3.452407,3.10061,3.091602,3.2148730000000003,-1.2028673666666667,0.04678726260787955,+,0.00197485183427237
Mapre2,MGI:106271,MAPRE2,HGNC:6891,ENSMUSG00000024277,ENSG00000166974,2418,2383,-4.582556,-2.725718,-3.024456,0.9608708,0.3533924,1.591418,0.9685604,-3.444243333333334,0.04694763411781484,+,0.00286934208068668
Vps45,MGI:891965,VPS45,HGNC:14579,ENSMUSG00000015747,ENSG00000136631,1100,516,-2.31878,-2.145925,-2.311253,1.449801,2.695473,2.0856,2.076958,-2.258652666666667,0.049528039778903715,+,0.000284641312052525
Eno2,MGI:95394,ENO2,HGNC:3353,ENSMUSG00000004267,ENSG00000111674,1339,1617,-1.499181,-3.182182,-2.38994,2.520762,1.47706,1.817028,1.9382833333333334,-2.357101,0.05092845165040301,+,0.00171781206268573
Aco2,MGI:87880,ACO2,HGNC:118,ENSMUSG00000022477,ENSG00000100412,582,240,-2.41684,-1.370171,-2.371787,1.861834,2.760288,1.613237,2.078453,-2.0529326666666665,0.057059635190396404,+,0.00106632065420409
Uba1,MGI:98890,UBA1,HGNC:12469,ENSMUSG00000001924,ENSG00000130985,2198,481,-2.037008,-1.669052,-2.972893,1.235797,1.7507,2.514045,1.8335139999999999,-2.2263176666666666,0.059961003286081095,+,0.00164195287079072
Fscn1,MGI:1352745,FSCN1,HGNC:11148,ENSMUSG00000029581,ENSG00000075618,1180,1682,-2.238876,-2.102003,-1.852819,0.6206763,2.772009,2.383146,1.9252771,-2.0645659999999997,0.06294156670336908,+,0.00402318194487394
Plp1,MGI:97623,PLP1,HGNC:9086,ENSMUSG00000031425,ENSG00000123560,1440,406,0.03633294,0.6086839,-0.3528226,3.606743,3.870334,4.168072,3.8817163333333333,0.09739808000000001,0.07257828347119454,+,0.000303161405355024
Pdia3,MGI:95834,PDIA3,HGNC:4606,ENSMUSG00000027248,ENSG00000167004,809,1233,-3.881337,-4.253026,-4.747842,-0.7972015,-0.3566434,-0.5589522,-0.5709323666666667,-4.294068333333334,0.07572240448927148,+,0.000188628750032782
Ckb,MGI:88407,CKB,HGNC:1991,ENSMUSG00000001270,ENSG00000166165,732,889,2.355172,3.095579,3.526242,6.245388,6.176479,6.964923,6.462263333333333,2.992331,0.09024980760393335,+,0.00122368603141676
Ube2v2,MGI:1917870,UBE2V2,HGNC:12495,ENSMUSG00000022674,ENSG00000169139,622,1782,-0.1973798,0.2731294,-0.657124,3.338238,2.917989,3.54994,3.2687223333333333,-0.1937914666666667,0.09071507956072832,+,0.000447537973730094
Pip4k2a,MGI:1298206,PIP4K2A,HGNC:8997,ENSMUSG00000026737,ENSG00000150867,338,229,-0.2531723,-0.5222661,-0.0005640414,3.538552,2.440204,3.618984,3.1992466666666672,-0.25866748046666665,0.09100476222389799,+,0.00107212624362263
Pacsin1,MGI:1345181,PACSIN1,HGNC:8570,ENSMUSG00000040276,ENSG00000124507,404,493,-0.6638669,-1.284679,-0.7781909,1.703867,2.580968,3.170487,2.4851073333333336,-0.9089122666666668,0.09512579394463404,+,0.0019013538268744
Rras2,MGI:1914172,RRAS2,HGNC:17271,ENSMUSG00000055723,ENSG00000133818,432,1534,-1.115391,-1.051766,-1.926279,2.328911,1.161296,2.194055,1.894754,-1.3644786666666668,0.10444152498785997,+,0.00216304050176053
Lrrc47,MGI:1920196,LRRC47,HGNC:29207,ENSMUSG00000029028,ENSG00000130764,1224,917,-5.811467,-4.685831,-4.074277,-2.047435,-1.352421,-1.624966,-1.6749406666666669,-4.857191666666667,0.11016585142251718,+,0.00435941133667828
Nme1,MGI:97355,NME1,HGNC:7849,ENSMUSG00000037601,NOT_FOUND,842,739,-1.371097,-2.324664,-1.813158,1.546727,1.607142,0.8386837,1.3308509,-1.8363063333333336,0.11132447912260192,+,0.00102086874795737
Fam49b,MGI:1923520,FAM49B,HGNC:25216,ENSMUSG00000022378,ENSG00000153310,1698,433,-2.649286,-2.339056,-3.174014,0.8910506,0.4932336,-0.05316465,0.44370651666666666,-2.720785333333333,0.11153034153251443,+,0.000988814941587535
Ogt,MGI:1339639,OGT,HGNC:8127,ENSMUSG00000034160,ENSG00000147162,2173,2329,-2.892967,-3.605215,-2.793514,0.8418907,-0.2162507,-0.4614902,0.05471659999999998,-3.097232,0.11250424942775614,+,0.00266835646161878
Rpl38,MGI:1914921,RPL38,HGNC:10349,ENSMUSG00000057322,ENSG00000172809,1320,923,0.6905293,0.0601195,-0.8599866,3.664982,2.943631,2.590718,3.066443666666667,-0.03644593333333335,0.11639575914289754,+,0.00486330617528363
Vsnl1,MGI:1349453,VSNL1,HGNC:12722,ENSMUSG00000054459,ENSG00000163032,1347,1252,-2.019584,-2.278251,-1.619468,0.6264564,2.018767,0.7317576,1.1256603333333333,-1.9724343333333334,0.11678325503315934,+,0.00312714092901856
Dpysl2,MGI:1349763,DPYSL2,HGNC:3014,ENSMUSG00000022048,ENSG00000092964,1523,187,2.037399,2.397695,2.454224,5.38965,5.046643,5.552136,5.329476333333333,2.2964393333333333,0.12217008753265858,+,0.000106135566462218
Eno1,MGI:95393,ENO1,HGNC:3350,ENSMUSG00000063524,ENSG00000074800,2070,1970,0.7046494,1.257476,1.309672,4.09861,4.384019,3.798921,4.09385,1.0905991333333334,0.12471865097196967,+,0.000306184089098549
Kif1a,MGI:108391,KIF1A,HGNC:888,ENSMUSG00000014602,ENSG00000130294,2167,2147,-4.857681,-4.611534,-5.379619,-2.364701,-2.009229,-1.68883,-2.02092,-4.949611333333333,0.13133366402083452,+,0.000608585313703225
Cfl1,MGI:101757,CFL1,HGNC:1874,ENSMUSG00000056201,ENSG00000172757,420,2335,1.841787,1.49367,1.059494,4.254629,4.258326,4.584611,4.365855333333333,1.4649836666666667,0.1338907624731348,+,0.000321823306038693
Enpp6,MGI:2445171,ENPP6,HGNC:23409,ENSMUSG00000038173,ENSG00000164303,1171,1346,0.2240456,0.3667488,0.05542907,3.34196,3.048387,2.937204,3.1091836666666666,0.21540782333333333,0.13455091962955212,+,4.31975602614987e-05
Crmp1,MGI:107793,CRMP1,HGNC:2365,ENSMUSG00000029121,ENSG00000072832,2162,1396,-3.791039,-2.937551,-3.605432,-0.805575,-0.8899571,-0.1555707,-0.6170342666666666,-3.4446740000000005,0.14086257506626507,+,0.00124565132345134
Ube2n,MGI:1934835,UBE2N,HGNC:12492,ENSMUSG00000074781,ENSG00000102069,147,968,-1.711336,-0.3786707,-1.301434,1.805004,1.889648,1.356253,1.683635,-1.1304802333333333,0.1421892958509937,+,0.00275576606916084
Slc9a3r2,MGI:1890662,SLC9A3R2,HGNC:11076,ENSMUSG00000002504,ENSG00000065054,1868,1345,-3.334721,-2.855865,-1.992238,-0.2340926,0.2346382,0.2212949,0.07394683333333332,-2.727608,0.14343262963629597,+,0.00267053971009767
Napb,MGI:104562,NAPB,HGNC:15751,ENSMUSG00000027438,ENSG00000125814,2261,1384,0.02966855,0.3162712,-1.094188,2.538266,2.867037,2.08719,2.4974976666666664,-0.24941608333333332,0.14896922752354833,+,0.00483315796652484
Phgdh,MGI:1355330,PHGDH,HGNC:8923,ENSMUSG00000053398,ENSG00000092621,393,1120,-0.1794217,0.6219797,-0.321477,2.956491,2.011096,3.28058,2.7493890000000003,0.04036033333333333,0.15293296629973252,+,0.00488655840987273
Pak1,MGI:1339975,PAK1,HGNC:8590,ENSMUSG00000030774,ENSG00000149269,2224,793,-2.26882,-1.213842,-2.626799,0.4958211,0.4706224,1.007974,0.6581391666666666,-2.0364869999999997,0.15446735027028585,+,0.00419872614630545
Mtap4,MGI:97178,MAP4,HGNC:6862,ENSMUSG00000047011,ENSG00000047849,1903,1827,-5.004567,-4.360091,-3.771075,-1.464431,-2.136719,-1.786967,-1.7960389999999997,-4.378577666666666,0.1669469143092685,+,0.00312148418654989
Trap1,MGI:1915265,TRAP1,HGNC:16264,ENSMUSG00000005981,ENSG00000126602,956,781,-5.655481,-4.333228,-4.992113,-2.370965,-2.628259,-2.305627,-2.434950333333333,-4.993607333333333,0.1697334717334452,+,0.00290533466572973
Cox5b,MGI:88475,COX5B,HGNC:2269,ENSMUSG00000061518,ENSG00000135940,682,243,-4.205608,-4.836797,-4.590926,-1.981669,-1.541793,-2.46356,-1.995674,-4.544443666666666,0.17090071445131555,+,0.00140153610146876
Hspa2,MGI:96243,HSPA2,HGNC:5235,ENSMUSG00000059970,ENSG00000126803,274,1753,-1.779969,-1.162187,-0.719514,1.92275,0.9002326,1.128499,1.3171605333333334,-1.2205566666666667,0.17221501042413523,+,0.00435930020073227
Hsp90aa1,MGI:96250,HSP90AA1,HGNC:5253,ENSMUSG00000021270,ENSG00000080824,1847,1575,-0.5732961,-0.6260089,-0.4715238,1.748435,2.620334,1.407671,1.92548,-0.5569429333333332,0.17894362673278816,+,0.00241477632706788
Rab1,MGI:97842,RAB1A,HGNC:9758,ENSMUSG00000020149,ENSG00000138069,200,196,-2.204433,-1.92739,-2.112191,0.9465427,0,0.1391138,0.3618855,-2.081338,0.18387235581519062,+,0.00133557617668334
Eif4a2,MGI:106906,EIF4A2,HGNC:3284,ENSMUSG00000022884,ENSG00000156976,1753,1778,-1.791681,-1.508145,-1.216655,1.118549,0.8547104,0.8392735,0.9375109666666667,-1.505493666666667,0.18390025262028933,+,0.000207172046895021
Tufm,MGI:1923686,TUFM,HGNC:12420,ENSMUSG00000073838,ENSG00000178952,864,1315,0.494167,0.2522354,0.2184394,3.064062,1.996137,2.853098,2.6377656666666667,0.3216139333333334,0.20080237898316336,+,0.00237107845348294
Tppp,MGI:1920198,TPPP,HGNC:24164,ENSMUSG00000021573,ENSG00000171368,450,340,-1.595499,-0.9638306,-1.302741,1.159417,0.5129716,1.403913,1.0254338666666667,-1.2873568666666666,0.20127072713026006,+,0.00199962448624325
Ap1s1,MGI:1098244,AP1S1,HGNC:559,ENSMUSG00000004849,ENSG00000106367,1156,304,-2.274535,-2.482457,-2.493984,-0.4388281,0.1600699,-0.07624536,-0.11833452,-2.416992,0.2032521502376739,+,0.000257943089357005
Ap3b2,MGI:1100869,AP3B2,HGNC:567,ENSMUSG00000062444,ENSG00000103723,204,1863,-2.87549,-2.395188,-2.402527,0.0237442,-0.8112065,-0.5318563,-0.43977286666666665,-2.557735,0.23037209308655965,+,0.00192654610087595
Dnm1l,MGI:1921256,DNM1L,HGNC:2973,ENSMUSG00000022789,ENSG00000087470,1144,2104,0.1778225,0.3494641,-0.6815002,1.90649,2.286249,1.717894,1.9702110000000002,-0.051404533333333315,0.24628223422115006,+,0.00494515598581446
Snx1,MGI:1928395,SNX1,HGNC:11172,ENSMUSG00000032382,ENSG00000028528,1291,2125,-0.2650119,0.01268301,0.2935205,1.405396,2.292296,2.261081,1.9862576666666667,0.013730536666666663,0.2548063029500371,+,0.00403840426368185
Uqcrc2,MGI:1914253,UQCRC2,HGNC:12586,ENSMUSG00000030884,ENSG00000140740,1715,345,-0.3204976,-1.503883,-0.7075475,1.06422,0.94586,1.338675,1.1162516666666666,-0.8439760333333334,0.2569878931633129,+,0.00593618627985193
Dctn1,MGI:107745,DCTN1,HGNC:2711,ENSMUSG00000031865,ENSG00000204843,2423,2351,-0.5581009,-0.6595669,-1.196404,0.9741938,1.20611,1.239316,1.1398732666666667,-0.8046906000000001,0.25979330066194045,+,0.000826173222365778
Dync1li2,MGI:107738,DYNC1LI2,HGNC:2966,ENSMUSG00000035770,ENSG00000135720,407,1878,-1.6719,-1.036916,-1.625511,0.6930961,0.02018985,0.7521688,0.48848491666666666,-1.4447756666666667,0.261836733871162,+,0.00341918893067805
Atp1b2,MGI:88109,ATP1B2,HGNC:805,ENSMUSG00000041329,ENSG00000129244,1594,496,0.4787399,0.02848229,0.5237924,2.265028,1.943125,2.399713,2.2026220000000003,0.34367153,0.2756767550232946,+,0.000870188095161817
Sdcbp,MGI:1337026,SDCBP,HGNC:10662,ENSMUSG00000028249,ENSG00000137575,1664,287,-1.761226,-1.850508,-2.299212,-0.06112863,-0.1157092,-0.4628271,-0.21322164333333335,-1.9703153333333334,0.2958435424508314,+,0.00108847666087142
