People QuickFacts,Milton,Georgia
"Population, 2012 estimate    ","35,015","9,915,646"
"Population, 2010 (April 1) estimates base    ","32,712","9,687,663"
"Population, percent change, April 1, 2010 to July 1, 2012    ",7.0%,2.4%
"Population, 2010    ","32,661","9,687,653"
"Persons under 5 years, percent, 2010    ",6.3%,7.1%
"Persons under 18 years, percent, 2010    ",30.8%,25.7%
"Persons 65 years and over, percent,  2010    ",6.3%,10.7%
"Female persons, percent, 2010    ",51.1%,51.2%
,,
"White alone, percent, 2010 (a)    ",76.6%,59.7%
"Black or African American alone, percent, 2010 (a)    ",9.0%,30.5%
"American Indian and Alaska Native alone, percent, 2010 (a)    ",0.2%,0.3%
"Asian alone, percent, 2010 (a)    ",10.4%,3.2%
"Native Hawaiian and Other Pacific Islander alone, percent, 2010 (a)    ",Z,0.1%
"Two or More Races, percent, 2010    ",2.2%,2.1%
"Hispanic or Latino, percent, 2010 (b)    ",6.0%,8.8%
"White alone, not Hispanic or Latino, percent, 2010    ",72.4%,55.9%
,,
"Living in same house 1 year & over, percent, 2008-2012    ",87.9%,83.3%
"Foreign born persons, percent, 2008-2012    ",16.2%,9.7%
"Language other than English spoken at home, pct age 5+, 2008-2012    ",18.6%,13.1%
"High school graduate or higher, percent of persons age 25+, 2008-2012    ",97.8%,84.4%
"Bachelor's degree or higher, percent of persons age 25+, 2008-2012    ",66.1%,27.8%
"Veterans, 2008-2012    ","1,426","701,808"
"Mean travel time to work (minutes), workers age 16+, 2008-2012    ",29.6,27
"Housing units, 2010    ","12,328","4,088,801"
"Homeownership rate, 2008-2012    ",72.2%,66.0%
"Housing units in multi-unit structures, percent, 2008-2012    ",19.6%,20.5%
"Median value of owner-occupied housing units, 2008-2012    ","$462,700","$156,400"
"Households, 2008-2012    ","11,373","3,508,477"
"Persons per household, 2008-2012    ",2.85,2.7
"Per capita money income in past 12 months (2012 dollars), 2008-2012    ","$55,417","$25,309"
"Median household income, 2008-2012    ","$116,890","$49,604"
"Persons below poverty level, percent, 2008-2012    ",5.2%,17.4%
,,
Business QuickFacts,Milton,Georgia
"Total number of firms, 2007    ","2,172","901,105"
"Black-owned firms, percent, 2007    ",5.3%,20.4%
"American Indian- and Alaska Native-owned firms, percent, 2007    ",F,0.7%
"Asian-owned firms, percent, 2007    ",S,5.1%
"Native Hawaiian and Other Pacific Islander-owned firms, percent, 2007    ",F,0.1%
"Hispanic-owned firms, percent, 2007    ",S,3.6%
"Women-owned firms, percent, 2007    ",27.9%,30.9%
,,
"Manufacturers shipments, 2007 ($1000)    ",0,"144,280,774"
"Merchant wholesaler sales, 2007 ($1000)    ","76,825","141,962,359"
"Retail sales, 2007 ($1000)    ","61,412","117,516,907"
"Retail sales per capita, 2007    ","$4,039","$12,326"
"Accommodation and food services sales, 2007 ($1000)    ","13,673","16,976,235"
,,
Geography QuickFacts,Milton,Georgia
"Land area in square miles, 2010    ",38.52,"57,513.49"
"Persons per square mile, 2010    ",847.9,168.4
FIPS Code    ,51670,13
Counties    ,"Fulton County
 ",
,,
(a) Includes persons reporting only one race.,,
"(b) Hispanics may be of any race, so also are included in applicable race categories.",,
FN: Footnote on this item for this area in place of data,,
NA: Not available,,
D: Suppressed to avoid disclosure of confidential information,,
X: Not applicable,,
S: Suppressed; does not meet publication standards,,
Z: Value greater than zero but less than half unit of measure shown,,
F: Fewer than 100 firms,,
Source: US Census Bureau State & County QuickFacts,,
