ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SNOWSHOE,T1,SKATE,T2,SKI,POSITION,TOTAL TIME
Marianne,Vlasveld,NED,,00:20:41,00:00:00,00:40:57,00:00:00,00:22:22,1,01:24:00
Sigrid,Lang,GER,,00:20:53,00:00:00,00:44:18,00:00:00,00:23:28,2,01:28:39
Karin,Möbes,SUI,,00:21:07,00:00:00,00:47:04,00:00:00,00:22:40,3,01:30:51
Stefania,Bonazzi,ITA,,00:20:42,00:00:00,00:47:06,00:00:00,00:27:07,4,01:34:55
Friederike,Rupp,GER,,00:21:57,00:00:00,00:49:49,00:00:00,00:24:14,5,01:36:00
Sarka,Grabmullerova,CZE,,00:21:24,00:00:00,00:52:37,00:00:00,00:23:27,6,01:37:28
Anna,Serra,ESP,,00:22:14,00:00:00,00:53:50,00:00:00,00:25:30,7,01:41:34
Ana,Folkegard Garin,ESP,,00:22:42,00:00:00,00:54:36,00:00:00,00:25:20,8,01:42:38
Inmaculada,Pereiro,ESP,,00:21:00,00:00:00,00:54:22,00:00:00,00:27:19,9,01:42:41
Naia,Amezua,ESP,,00:24:16,00:00:00,00:55:11,00:00:00,00:24:58,10,01:44:25
Ane,Hernani,ESP,,00:25:05,00:00:00,01:04:14,00:00:00,00:30:01,11,01:59:20
María Teresa,Martínez,ESP,,00:23:06,00:00:00,01:02:32,00:00:00,00:40:01,12,02:05:39
Cynthia,Martinez,ESP,,00:26:00,00:00:00,01:19:38,00:00:00,00:35:10,13,02:20:48
Maria Cristina,Moros,ESP,,00:26:44,00:00:00,01:04:51,00:00:00,00:57:54,14,02:29:29
