NAME,TM,w,l,pct,rs,ra,w1,l1,pct1,w2,l2,pct2,rs2,ra2,w3,l3,pct3,rs3,ra3,d1,d2,d3,opptav,opptava,hlf,ahlf
Arizona Diamondbacks,ARI,2,1,0.667,17,17,1.5,1.5,0.5,2,1,0.667,21.24124596171908,15.068914018028092,1.9,1.1,0.648,19.667998079804118,14.53509545947476,0.5,0,0.1,0.258,0.263,0.621,0.601
Atlanta Braves,ATL,2,1,0.667,16,9,2.2,0.8,0.742,1.6,1.4,0.521,12.684512034937491,12.121173838574162,1.5,1.5,0.511,12.055929104741448,11.763473487152083,-0.2,0.4,0.5,0.258,0.26,0.61,0.591
Baltimore Orioles,BAL,2,1,0.667,20,15,1.9,1.1,0.642,2.3,0.7,0.761,19.741568809926928,10.810479994122602,2.2,0.8,0.743,22.855531387390556,13.162620118975259,0.1,-0.3,-0.2,0.262,0.271,0.703,0.72
Boston Red Sox,BOS,2,1,0.667,17,10,2.2,0.8,0.73,2,1,0.656,17.424773257976405,12.419207206686636,1.9,1.1,0.646,16.65599513144728,12.155602076382635,-0.2,0,0.1,0.259,0.262,0.675,0.692
Chicago White Sox,CHA,2,1,0.667,7,5,1.9,1.1,0.623,2.6,0.4,0.877,11.176188675397583,3.1429313871069144,2.5,0.5,0.825,9.916826339505919,3.636822299367261,0.1,-0.6,-0.5,0.248,0.257,0.748,0.763
Chicago Cubs,CHN,2,1,0.667,6,6,1.5,1.5,0.5,1.5,1.5,0.5,1.9664953725375507,2.916571106897129,1.3,1.7,0.422,3.0278667192025757,3.9774366090412396,0.5,0.5,0.7,0.249,0.248,0.522,0.502
Cincinnati Reds,CIN,2,1,0.667,11,11,1.5,1.5,0.5,1.1,1.9,0.364,10.281313081066912,14.019026723110414,1.1,1.9,0.378,10.04740854278618,13.243500238261195,0.5,0.9,0.9,0.258,0.255,0.477,0.457
Cleveland Indians,CLE,2,1,0.667,15,13,1.7,1.3,0.568,1.9,1.1,0.647,17.93988933034737,13.102821103903983,1.9,1.1,0.636,16.334174343851352,12.231084636887129,0.3,0.1,0.1,0.259,0.261,0.629,0.648
Colorado Rockies,COL,2,1,0.667,19,12,2.1,0.9,0.711,2.3,0.7,0.766,24.802905053220528,13.951892476491697,2.2,0.8,0.742,20.37270773731789,12.189677988021385,-0.1,-0.3,-0.2,0.258,0.267,0.721,0.705
Detroit Tigers,DET,1,2,0.333,8,13,0.9,2.1,0.3,0.8,2.2,0.278,7.933227550992845,13.711617493422285,0.9,2.1,0.306,8.300061383744353,13.288280868903843,0.1,0.2,0.1,0.26,0.254,0.304,0.321
Miami Marlins,MIA,0,3,0,1,11,0.1,2.9,0.027,0.3,2.7,0.101,1.8943119768761287,12.394270931092265,0.3,2.7,0.108,2.714133249810393,11.666188629686697,-0.1,-0.3,-0.3,0.26,0.247,0.059,0.055
Houston Astros,HOU,1,2,0.333,8,13,0.9,2.1,0.3,0.2,2.8,0.081,2.183366730179278,13.886539916235197,0.2,2.8,0.081,3.049329553223883,13.667508440136128,0.1,0.8,0.8,0.26,0.248,0.199,0.212
Kansas City Royals,KCA,1,2,0.333,5,7,1.1,1.9,0.377,0.4,2.6,0.123,3.1429313871069144,11.176188675397583,0.5,2.5,0.175,3.636822299367261,9.916826339505917,-0.1,0.6,0.5,0.257,0.248,0.252,0.267
Los Angeles Angels,LAA,1,2,0.333,11,11,1.5,1.5,0.5,1.9,1.1,0.636,14.019026723110414,10.281313081066912,1.9,1.1,0.622,13.243500238261198,10.04740854278618,-0.5,-0.9,-0.9,0.255,0.258,0.523,0.543
Los Angeles Dodgers,LAN,1,2,0.333,7,8,1.3,1.7,0.447,2.2,0.8,0.722,7.427737754807902,3.8374671233246813,2.1,0.9,0.69,8.758779447925074,5.036180279043984,-0.3,-1.2,-1.1,0.251,0.255,0.548,0.528
Milwaukee Brewers,MIL,1,2,0.333,12,19,0.9,2.1,0.289,0.7,2.3,0.234,13.951892476491697,24.802905053220528,0.8,2.2,0.258,12.189677988021385,20.372707737317885,0.1,0.3,0.2,0.267,0.258,0.279,0.263
Minnesota Twins,MIN,2,1,0.667,13,8,2.1,0.9,0.7,2.2,0.8,0.722,13.711617493422285,7.933227550992845,2.1,0.9,0.694,13.288280868903847,8.300061383744353,-0.1,-0.2,-0.1,0.254,0.26,0.696,0.713
New York Yankees,NYA,1,2,0.333,10,17,0.8,2.2,0.27,1,2,0.344,12.419207206686636,17.424773257976405,1.1,1.9,0.354,12.155602076382635,16.655995131447277,0.2,0,-0.1,0.262,0.259,0.325,0.343
New York Mets,NYN,2,1,0.667,20,8,2.6,0.4,0.851,2.6,0.4,0.863,18.098860930242108,6.539937772930708,2.5,0.5,0.833,18.149166601872842,7.478205798535722,-0.6,-0.6,-0.5,0.253,0.266,0.803,0.79
Oakland Athletics,OAK,2,2,0.5,15,13,2.2,1.8,0.562,2.1,1.9,0.526,14.610418116262826,13.764452134197374,2.1,1.9,0.514,16.305083574065378,15.778670755943711,-0.2,-0.1,-0.1,0.258,0.261,0.526,0.545
