People QuickFacts,Millbrae,California
"Population, 2011 estimate    ","21,793","37,683,933"
"Population, 2010 (April 1) estimates base    ","21,532","37,253,956"
"Population, percent change, April 1, 2010 to July 1, 2011    ",1.2%,1.2%
"Population, 2010    ","21,532","37,253,956"
"Persons under 5 years, percent, 2010    ",5.0%,6.8%
"Persons under 18 years, percent, 2010    ",20.1%,25.0%
"Persons 65 years and over, percent,  2010    ",19.7%,11.4%
"Female persons, percent, 2010    ",52.6%,50.3%
,,
"White persons, percent, 2010 (a)    ",47.3%,57.6%
"Black persons, percent, 2010 (a)    ",0.8%,6.2%
"American Indian and Alaska Native persons, percent, 2010 (a)    ",0.2%,1.0%
"Asian persons, percent, 2010 (a)    ",42.8%,13.0%
"Native Hawaiian and Other Pacific Islander, percent, 2010 (a)    ",1.0%,0.4%
"Persons reporting two or more races, percent, 2010    ",4.4%,4.9%
"Persons of Hispanic or Latino origin, percent, 2010 (b)    ",11.9%,37.6%
"White persons not Hispanic, percent, 2010    ",40.6%,40.1%
,,
"Living in same house 1 year & over, percent, 2007-2011    ",89.7%,84.2%
"Foreign born persons, percent, 2007-2011    ",37.1%,27.2%
"Language other than English spoken at home, percent age 5+, 2007-2011    ",49.6%,43.2%
"High school graduate or higher, percent of persons age 25+, 2007-2011    ",90.7%,80.8%
"Bachelor's degree or higher, percent of persons age 25+, 2007-2011    ",39.1%,30.2%
"Veterans, 2007-2011    ","1,334","1,997,566"
"Mean travel time to work (minutes), workers age 16+, 2007-2011    ",27.3,27
,,
"Housing units, 2010    ","8,372","13,680,081"
"Homeownership rate, 2007-2011    ",63.5%,56.7%
"Housing units in multi-unit structures, percent, 2007-2011    ",32.5%,30.8%
"Median value of owner-occupied housing units, 2007-2011    ","$915,900","$421,600"
"Households, 2007-2011    ","8,108","12,433,172"
"Persons per household, 2007-2011    ",2.58,2.91
"Per capita money income in the past 12 months (2011 dollars), 2007-2011    ","$41,515","$29,634"
"Median household income, 2007-2011    ","$83,992","$61,632"
"Persons below poverty level, percent, 2007-2011    ",5.8%,14.4%
,,
Business QuickFacts,Millbrae,California
"Total number of firms, 2007    ","2,699","3,425,510"
"Black-owned firms, percent, 2007    ",F,4.0%
"American Indian- and Alaska Native-owned firms, percent, 2007    ",F,1.3%
"Asian-owned firms, percent, 2007    ",S,14.9%
"Native Hawaiian and Other Pacific Islander-owned firms, percent, 2007    ",F,0.3%
"Hispanic-owned firms, percent, 2007    ",S,16.5%
"Women-owned firms, percent, 2007    ",S,30.3%
,,
"Manufacturers shipments, 2007 ($1000)    ",,"491,372,092"
"Merchant wholesaler sales, 2007 ($1000)    ",D,"598,456,486"
"Retail sales, 2007 ($1000)    ","175,059","455,032,270"
"Retail sales per capita, 2007    ","$8,582","$12,561"
"Accommodation and food services sales, 2007 ($1000)    ","148,400","80,852,787"
,,
Geography QuickFacts,Millbrae,California
"Land area in square miles, 2010    ",3.25,"155,779.22"
"Persons per square mile, 2010    ","6,631.4",239.1
FIPS Code    ,47486,6
Counties    ,"San Mateo County
 ",
,,
(a) Includes persons reporting only one race.,,
"(b) Hispanics may be of any race, so also are included in applicable race categories.",,
FN: Footnote on this item for this area in place of data,,
NA: Not available,,
D: Suppressed to avoid disclosure of confidential information,,
X: Not applicable,,
S: Suppressed; does not meet publication standards,,
Z: Value greater than zero but less than half unit of measure shown,,
F: Fewer than 100 firms,,
Source: US Census Bureau State & County QuickFacts,,
