ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,RUN,T1,BIKE,T2,RUN,POSITION,TOTAL TIME
Alexandra,Cassan Ferrier,FRA,32,00:35:45,00:00:28,01:09:38,00:00:36,00:19:17,1,02:05:43
Sofie,Hooghe,BEL,37,00:36:46,00:00:32,01:11:42,00:00:32,00:19:53,2,02:09:24
Arina,Shulgina,RUS,40,00:37:56,00:00:40,01:15:25,00:00:32,00:19:01,3,02:13:32
María,Ortega De Miguel,ESP,41,00:38:45,00:00:31,01:14:36,00:00:31,00:19:57,4,02:14:17
Ami,Haishima,JPN,31,00:38:45,00:00:35,01:14:39,00:00:43,00:20:12,5,02:14:53
Tomomi,Kurihara,JPN,36,00:38:45,00:00:36,01:19:19,00:00:56,00:24:27,6,02:24:01
Alice,Capone,ITA,33,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,DNS,00:00:00
Elena,Danilova,RUS,39,00:38:46,00:00:31,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Nelmare,Loubser,RSA,42,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,DNS,00:00:00
Thays ,Dos Santos,BRA,38,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,DNS,00:00:00
Yasuko,Yatogi,JPN,35,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,DNS,00:00:00
