People QuickFacts,Prince George's County,Maryland
"Population, 2012 estimate    ","881,138","5,884,563"
"Population, 2010 (April 1) estimates base    ","863,420","5,773,552"
"Population, percent change, April 1, 2010 to July 1, 2012    ",2.1%,1.9%
"Population, 2010    ","863,420","5,773,552"
"Persons under 5 years, percent, 2011     ",6.8%,6.3%
"Persons under 18 years, percent, 2011     ",23.5%,23.1%
"Persons 65 years and over, percent, 2011     ",9.8%,12.5%
"Female persons, percent, 2011     ",52.0%,51.6%
,,
"White persons, percent, 2011 (a)     ",26.6%,61.1%
"Black persons, percent, 2011 (a)     ",65.4%,30.0%
"American Indian and Alaska Native persons, percent, 2011 (a)     ",1.0%,0.5%
"Asian persons, percent, 2011 (a)    ",4.3%,5.8%
"Native Hawaiian and Other Pacific Islander persons, percent, 2011 (a)     ",0.2%,0.1%
"Persons reporting two or more races, percent, 2011     ",2.5%,2.5%
"Persons of Hispanic or Latino Origin, percent, 2011 (b)     ",15.2%,8.4%
"White persons not Hispanic, percent, 2011     ",15.2%,54.4%
,,
"Living in same house 1 year & over, percent, 2007-2011    ",84.6%,86.4%
"Foreign born persons, percent, 2007-2011    ",19.8%,13.5%
"Language other than English spoken at home, percent age 5+, 2007-2011    ",19.8%,16.2%
"High school graduate or higher, percent of persons age 25+, 2007-2011    ",85.8%,88.2%
"Bachelor's degree or higher, percent of persons age 25+, 2007-2011    ",29.7%,36.1%
"Veterans, 2007-2011    ","62,276","443,652"
"Mean travel time to work (minutes), workers age 16+, 2007-2011    ",35.8,31.7
,,
"Housing units, 2011    ","329,794","2,391,350"
"Homeownership rate, 2007-2011    ",64.1%,68.7%
"Housing units in multi-unit structures, percent, 2007-2011    ",32.4%,25.4%
"Median value of owner-occupied housing units, 2007-2011    ","$312,800","$319,800"
"Households, 2007-2011    ","302,091","2,128,377"
"Persons per household, 2007-2011    ",2.7800000000000002,2.63
"Per capita money income in the past 12 months (2011 dollars), 2007-2011    ","$32,117","$35,751"
"Median household income, 2007-2011    ","$73,447","$72,419"
"Persons below poverty level, percent, 2007-2011    ",8.2%,9.0%
,,
Business QuickFacts,Prince George's County,Maryland
"Private nonfarm establishments, 2010    ","14,250","134,579"
"Private nonfarm employment, 2010    ","237,908","2,075,507"
"Private nonfarm employment, percent change, 2000-2010    ",-5.1,0.8
"Nonemployer establishments, 2010    ","62,171","424,163"
,,
"Total number of firms, 2007    ","72,759","528,112"
"Black-owned firms, percent, 2007    ",54.5%,19.3%
"American Indian- and Alaska Native-owned firms, percent, 2007    ",0.9%,0.6%
"Asian-owned firms, percent, 2007    ",6.2%,6.8%
"Native Hawaiian and Other Pacific Islander-owned firms, percent, 2007    ",0.1%,0.1%
"Hispanic-owned firms, percent, 2007    ",8.8%,4.9%
"Women-owned firms, percent, 2007    ",37.8%,32.6%
,,
"Manufacturers shipments, 2007 ($1000)    ","2,504,675","41,456,097"
"Merchant wholesaler sales, 2007 ($1000)    ","10,449,816","51,276,797"
"Retail sales, 2007 ($1000)    ","9,209,683","75,664,186"
"Retail sales per capita, 2007    ","$11,060","$13,429"
"Accommodation and food services sales, 2007 ($1000)    ","1,205,022","10,758,428"
"Building permits, 2011     ","1,227","13,481"
,,
Geography QuickFacts,Prince George's County,Maryland
"Land area in square miles, 2010    ",482.69,"9,707.24"
"Persons per square mile, 2010    ","1,788.8",594.8
FIPS Code    ,33,24
Metropolitan or Micropolitan Statistical Area    ,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area", 
,,
(a) Includes persons reporting only one race.,,
"(b) Hispanics may be of any race, so also are included in applicable race categories.",,
FN: Footnote on this item for this area in place of data,,
NA: Not available,,
D: Suppressed to avoid disclosure of confidential information,,
X: Not applicable,,
S: Suppressed; does not meet publication standards,,
Z: Value greater than zero but less than half unit of measure shown,,
F: Fewer than 100 firms,,
Source: US Census Bureau State & County QuickFacts,,
