U.S. Energy Information Administration,,,,,,,,,,,,,,
July 2014 Monthly Energy Review,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Note: Information about data precision and revisions.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Release Date: July 28, 2014",,,,,,,,,,,,,,
"Next Update: August 27, 2014",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Table 10.4 Biodiesel Overview,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Annual Total,Biodiesel Feedstock,Losses and Co-products from Biodiesel Production,Biodiesel Production,Biodiesel Production,Biodiesel Production,Biodiesel Imports,Biodiesel Exports,Biodiesel Net Imports,Biodiesel Stocks,Biodiesel Stock Change,Biodiesel Balancing Item,Biodiesel Consumption,Biodiesel Consumption,Biodiesel Consumption
,(Trillion Btu),(Trillion Btu),(Thousand Barrels),(Million Gallons),(Trillion Btu),(Thousand Barrels),(Thousand Barrels),(Thousand Barrels),(Thousand Barrels),(Thousand Barrels),(Thousand Barrels),(Thousand Barrels),(Million Gallons),(Trillion Btu)
2001,1.109,0.015,204.203,8.577,1.094,80.922,40.643,40.276,Not Available,Not Available,Not Available,244.479,10.268,1.31
2002,1.356,0.018,249.62,10.484,1.338,197.342,57.426,139.916,Not Available,Not Available,Not Available,389.536,16.361,2.088
2003,1.838,0.025,338.322,14.21,1.813,96.804,113.467,-16.662,Not Available,Not Available,Not Available,321.66,13.51,1.724
2004,3.62,0.049,666.237,27.982,3.57,100.541,127.716,-27.175,Not Available,Not Available,Not Available,639.062,26.841,3.425
2005,11.744,0.16,2161.586,90.787,11.584,213.69,212.708,0.982,Not Available,Not Available,Not Available,2162.568,90.828,11.589
2006,32.396,0.441,5962.838,250.439,31.955,1105.315,855.62,249.695,Not Available,Not Available,Not Available,6212.534,260.926,33.293
2007,63.362,0.863,11662.499,489.825,62.499,3454.964,6695.843,-3240.879,Not Available,Not Available,Not Available,8421.62,353.708,45.131
2008,87.718,1.195,16145.382,678.106,86.523,7755.03,16672.9,-8917.869,Not Available,Not Available,Not Available,7227.513,303.556,38.732
2009,66.723,0.909,12281.071,515.805,65.814,1905.877,6546.089,-4640.212,711,711,732.809,7662.667,321.832,41.064
2010,44.427,0.605,8177.264,343.445,43.822,563.956,2587.966,-2024.009,672,-39,0,6192.255,260.075,33.184
2011,125.151,1.705,23035.263,967.481,123.446,890.373,1798.618,-908.245,2011.621,1034.72,0,21092.298,885.877,113.034
2012,128.156,1.746,23588.355,990.711,126.41,853,3055.762,-2202.762,2083.355,71.736,0,21313.857,895.182,114.221
2013,173.241,2.36,31886.734,1339.243,170.881,7497,4477.04,3019.96,4509.422,2340.137,0,32566.557,1367.795,174.524
