"This sheet was generated on December 19, 2014 at 11:50 PM CST. Availability is subject to change.",,,,,,,,
Part #,Item,MSRP,MAP,UPC,Pkg Qty,Product Line,Availability,More Info
1402,"FT Blue Titanium Turnbuckle, 1.375""/35mm",8,,784695 014022,1,Team Associated,Out of Stock,More Info
1403,"FT Titanium Turnbuckle, 1.65"", blue",9,,784695 014039,2,Team Associated,In Stock,More Info
1405,"FT Blue Titanium Turnbuckle, 1.875""/48mm",9,,784695 014053,pr,Team Associated,In Stock,More Info
1410,"FT Titanium Turnbuckle, .630"", blue",9,,784695 014107,pr,Team Associated,In Stock,More Info
1418,"FT Turnbuckle, .825"", Ver. 2",6,,784695 014183,pr,Team Associated,In Stock,More Info
1736,"FT Body Clips, metallic blue. Short.",2.99,,784695 017368,6,Team Associated,In Stock,More Info
25162,"Servo Saver, XT/Futaba",8.5,,784695 251625,1,Team Associated,In Stock,More Info
25167,"Servo Saver, JR/Airtronics",9.99,,784695 251670,1,Team Associated,In Stock,More Info
25201,M3 x 8mm Flat Head Hex Screw,7.5,,784695 252011,20,Team Associated,In Stock,More Info
25202,M3 x 10mm Flat Head Hex Screw,7.5,,784695 252028,20,Team Associated,In Stock,More Info
25203,M3 x 12mm Flat Head Hex Screw,7.5,,784695 252035,20,Team Associated,In Stock,More Info
25211,M3 x 10mm Button Head Hex Screw,7.5,,784695 252110,20,Team Associated,In Stock,More Info
307,Reedy LiFe 250mAh 6.6V RX Battery,29.99,,784695 003071,1,Reedy,In Stock,More Info
308,Reedy 350mAh 7.4V LiPo RX Battery,29.99,,784695 003088,1,Reedy,In Stock,More Info
31280,"Ballstud, short, 5mm",9.99,,784695 312807,6,Team Associated,Out of Stock,More Info
31284,"Ballstud, long, 8mm",9.99,,784695 312845,6,Team Associated,In Stock,More Info
31285,"Ballstud, long, 10mm",9.99,,784695 312852,6,Team Associated,In Stock,More Info
31286,"FT Ballstud Washer, aluminum",5.99,,784695 312869,8,Team Associated,Out of Stock,More Info
31305,Turnbuckle Eyelet,3.99,,784695 313057,4,Team Associated,In Stock,More Info
31500,M3 x 0.5 x 2.5 Set Screw,1.99,,784695 315006,6,Team Associated,In Stock,More Info
31510,M2 x 0.4 x 4 BHC Screw,1.99,,784695 315105,6,Team Associated,In Stock,More Info
31530,M3 x 0.5 x 5 BHC Screw,1.99,,784695 315303,6,Team Associated,In Stock,More Info
31531,M3 x 0.5 x 6 BHC Screw,1.99,,784695 315310,6,Team Associated,In Stock,More Info
31532,M3 x 0.5 x 8 BHC Screw,1.99,,784695 315327,6,Team Associated,In Stock,More Info
31540,M3 x 0.5 x 5 FHC Screw,1.99,,784695 315402,6,Team Associated,In Stock,More Info
31550,"FT M3 Locknut, blue aluminum",7.99,,784695 315501,6,Team Associated,Out of Stock,More Info
3655,"Bearing, .125 x .313",16.99,,784695 036550,2,Team Associated,In Stock,More Info
