,,EcoCheck Data: Lower Eastern Shore (Tangier) for all available years,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Indicator,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Chlorophyll a,60.42,30.7,23.06,33.76,20.73,30.48,75.88,33.75,20.92,45.7,12.08,6.01,22.26,44.51,17.74,16.12,63.4,12.37,15.88,7.92,40.93,33.45,38,44.658,15.838
Aquatic Grasses,29.3,27.19,ND,34.87,36.49,40.14,42.51,42.04,31.31,27.67,25,23.34,15.26,24.95,30.61,36.29,42.97,25.35,24.27,31.44,23.96,23.48,30,36.6,34.35
Dissolved Oxygen,92.47,92.32,92.38,82.35,81.82,81.36,95.74,85.1,86.19,93.78,86.81,84.64,80.63,90.46,87.1,83.06,93.07,81.82,86.89,57.34,87.72,91.59,77,85.553,81.677
Benthic Index,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,68.46,73.57,53.57,50,45.28,75.13,42.88,69.67,69.98,65.71,66.31,28.87,44,51.37717564,56.79599
Water Clarity,28.4,11.41,15.37,18.17,12.23,13.23,14.11,0,4.68,7.52,3.03,2.73,0,9.36,5.46,7.39,6.55,5.46,0,1,5.17,0,19,25.951,12.211
Phytoplankton Index,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,nd, ,Insufficient data
Water Quality Index,62.5,44.82,43.73,44.85,38.22,41.75,62.22,39.55,37.1,49.19,33.83,30.98,34.21,48.28,36.69,35.38,54.64,33.02,33.95,21.79,44.44,41.68,45,52.054,36.57533333
Biotic Index,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,46.73,48.46,34.41,37.47,37.95,55.71,42.93,47.51,47.13,48.58,45.14,26.17,37,43.98858782,45.572995
Bay Health Index,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,40.28,39.72,34.31,42.88,37.32,45.55,48.79,40.27,40.54,35.18,44.79,33.93,40.85,48.02129391,41.07416417
