ATHLETE FIRST,ATHLETE LAST,NATIONALITY,TEAM,LEG,SWIM,T1,BIKE,T2,RUN,TOTAL TIME
Irina,Abysova,RUS,Team I Russia,1,00:03:51,00:00:23,00:10:34,00:00:24,00:09:12,00:23:58
Dmitry,Polyanskiy,RUS,Team I Russia,2,00:03:47,00:00:18,00:10:00,00:00:21,00:07:54,00:21:58
Alexandra,Razarenova,RUS,Team I Russia,3,00:04:14,00:00:19,00:10:32,00:00:25,00:09:27,00:24:29
Alexander,Bryukhankov,RUS,Team I Russia,4,00:03:52,00:00:20,00:09:58,00:00:23,00:07:53,00:22:00
Anja,Knapp,GER,Team I Germany,1,00:03:47,00:00:20,00:10:42,00:00:28,00:09:10,00:23:58
Jonathan,Zipf,GER,Team I Germany,2,00:03:52,00:00:21,00:09:48,00:00:19,00:07:56,00:21:55
Rebecca,Robisch,GER,Team I Germany,3,00:04:22,00:00:20,00:10:53,00:00:23,00:08:53,00:24:26
Sebastian,Rank,GER,Team I Germany,4,00:03:55,00:00:21,00:09:55,00:00:21,00:07:37,00:21:46
Olesia,Marchenko,UKR,Team I Ukraine,1,00:03:50,00:00:20,00:10:42,00:00:27,00:10:16,00:25:07
Oleksiy,Syutkin,UKR,Team I Ukraine,2,00:04:00,00:00:20,00:10:13,00:00:20,00:08:13,00:22:44
Oleksandra,Stepanenko,UKR,Team I Ukraine,3,00:04:22,00:00:21,00:11:22,00:00:23,00:09:04,00:25:07
Rostyslav,Pevtsov,ITU,Team I Ukraine,4,00:04:06,00:00:11,00:10:27,00:00:22,00:07:51,00:22:34
Carolina,Routier,ESP,Team I Spain,1,00:03:41,00:00:22,00:10:43,00:00:23,00:09:34,00:24:19
Vicente,Hernandez,ESP,Team I Spain,2,00:04:01,00:00:23,00:10:30,00:00:22,00:07:53,00:22:45
Tamara,Gomez Garrido,ESP,Team I Spain,3,00:04:25,00:00:24,00:11:07,00:00:28,00:09:00,00:24:54
Mario,Mola,ESP,Team I Spain,4,00:03:57,00:00:17,00:09:45,00:00:19,00:08:24,00:22:21
Margit,Vanek,HUN,Team I Hungary,1,00:03:42,00:00:21,00:10:45,00:00:24,00:08:51,00:23:37
