Monthly summary of daily gas usage at Palo Alto's citygate,,,
,,,
,daily usage (MCF/day),daily usage (MCF/day),daily usage (MCF/day)
,average daily,maximum use day,minimum use day
1997-07-01 00:00:00,5842.225806451613,6611,5417
1997-08-01 00:00:00,5740.387096774193,6370,5222
1997-09-01 00:00:00,5915.233333333334,6700,5165
1997-10-01 00:00:00,8215.161290322581,10844,6012
1997-11-01 00:00:00,11023.5,14325,6949
1997-12-01 00:00:00,16515.41935483871,20470,11625
1998-01-01 00:00:00,14339.612903225807,20522,9409
1998-02-01 00:00:00,15196.357142857143,19301,12174
1998-03-01 00:00:00,11983,18784,8314
1998-04-01 00:00:00,11057.433333333332,16456,6949
1998-05-01 00:00:00,9714.322580645161,12743,7251
1998-06-01 00:00:00,7103.133333333333,8997,5698
1998-07-01 00:00:00,6379.064516129032,7914,5267
1998-08-01 00:00:00,6148.096774193548,7171,5050
1998-09-01 00:00:00,6519.733333333334,8032,4649
1998-10-01 00:00:00,8977.612903225807,12034,7320
1998-11-01 00:00:00,12737.1,15776,9369
1998-12-01 00:00:00,18701.645161290322,27161,13147
1999-01-01 00:00:00,16937.354838709678,20836,10774
1999-02-01 00:00:00,16195.642857142857,20427,10294
1999-03-01 00:00:00,14616.129032258064,18758,11127
1999-04-01 00:00:00,11654.7,17496,7032
1999-05-01 00:00:00,9397.354838709678,11690,6937
1999-06-01 00:00:00,7573.033333333334,11013,5541
1999-07-01 00:00:00,6438.774193548387,7094,5139
1999-08-01 00:00:00,6424.4838709677415,7450,5043
1999-09-01 00:00:00,6666.366666666667,7259,5887
1999-10-01 00:00:00,7752.645161290323,10656,5904
1999-11-01 00:00:00,11446.366666666667,16102,8019
1999-12-01 00:00:00,16343.806451612903,19545,12714
2000-01-01 00:00:00,14836.387096774193,18869,11627
2000-02-01 00:00:00,13924.51724137931,19351,11322
2000-03-01 00:00:00,12350.354838709678,19275,8682
2000-04-01 00:00:00,8838.2,10931,6496
2000-05-01 00:00:00,7999.129032258064,10834,5290
2000-06-01 00:00:00,6239.766666666666,8202,4566
2000-07-01 00:00:00,6122.548387096775,7197,5376
2000-08-01 00:00:00,5888.935483870968,6784,5232
2000-09-01 00:00:00,6197.866666666667,7778,4890
2000-10-01 00:00:00,8414.90322580645,11572,5570
2000-11-01 00:00:00,14530.2,18823,9395
2000-12-01 00:00:00,15177.225806451614,17554,11706
2001-01-01 00:00:00,17493.967741935485,20761,14297
2001-02-01 00:00:00,15139.42857142857,20376,9835
2001-03-01 00:00:00,10645.225806451614,15700,6851
2001-04-01 00:00:00,,0,0
2001-05-01 00:00:00,,0,0
2001-06-01 00:00:00,,0,0
