ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SWIM,T1,BIKE,T2,RUN,POSITION,TOTAL TIME
Aurelien,Raphael,FRA,15,00:18:15,00:00:46,00:53:17,00:01:08,00:30:06,1,01:43:36
Etienne,Diemunsch,FRA,53,00:19:16,00:00:44,00:54:53,00:01:03,00:28:28,2,01:44:26
Matthias,Zoell,GER,23,00:18:54,00:00:48,00:54:26,00:01:06,00:29:24,3,01:44:40
Richard,Murray,RSA,71,00:19:45,00:00:54,00:54:16,00:01:06,00:28:47,4,01:44:51
Pierre,Le Corre,FRA,57,00:18:19,00:00:46,00:55:02,00:01:08,00:29:40,5,01:44:59
Peter,Croes,BEL,4,00:18:56,00:00:43,00:53:44,00:01:03,00:30:43,6,01:45:13
Brendan,Sexton,AUS,8,00:19:33,00:00:51,00:54:29,00:01:08,00:29:22,7,01:45:29
Marc,Geerts,BEL,22,00:19:40,00:00:46,00:54:27,00:01:08,00:29:42,8,01:45:47
Alberto,Alessandroni,ITA,30,00:18:58,00:00:46,00:54:24,00:01:08,00:30:31,9,01:45:50
Ramon,Ejeda Medina,ESP,5,00:18:32,00:00:46,00:54:50,00:01:08,00:30:33,10,01:45:52
Joshua,Amberger,AUS,1,00:18:17,00:00:44,00:55:05,00:01:08,00:30:40,11,01:46:00
Tony,Dodds,NZL,12,00:18:32,00:00:44,00:54:54,00:01:06,00:30:49,12,01:46:08
Miguel Angel,Fidalgo,ESP,24,00:19:18,00:00:44,00:54:54,00:01:06,00:30:06,13,01:46:11
Massimo,De Ponti,ITA,31,00:19:09,00:00:46,00:55:03,00:01:10,00:30:07,14,01:46:17
Stefan,Van Thiel,NED,59,00:19:59,00:00:46,00:54:12,00:01:06,00:30:17,15,01:46:22
Jérémy,Jurkiewicz,FRA,75,00:18:46,00:00:48,00:52:44,00:01:18,00:32:49,16,01:46:30
Andrea,Secchiero,ITA,34,00:19:02,00:00:46,00:55:08,00:01:08,00:30:22,17,01:46:30
Sam,Appleton,AUS,14,00:18:21,00:00:44,00:55:03,00:01:08,00:31:12,18,01:46:31
Jariel,Naranjo,ESP,38,00:18:55,00:00:51,00:55:07,00:01:08,00:30:30,19,01:46:36
Stijn,Goris,BEL,39,00:18:54,00:00:46,00:54:28,00:01:06,00:31:25,20,01:46:44
Rostyslav,Pevtsov,ITU,36,00:19:19,00:00:46,00:54:50,00:01:08,00:30:41,21,01:46:49
Lander,Dircken,BEL,43,00:19:50,00:00:48,00:54:17,00:01:06,00:30:47,22,01:46:52
Thomas,André,FRA,64,00:19:48,00:00:49,00:54:22,00:01:11,00:30:47,23,01:47:00
Shane,Barrie ,AUS,11,00:18:38,00:00:44,00:54:44,00:01:08,00:31:43,24,01:47:04
Harry,Wiltshire,GBR,28,00:18:22,00:00:46,00:55:05,00:01:13,00:31:42,25,01:47:10
Ben,Allen,AUS,16,00:18:19,00:00:46,00:55:02,00:01:10,00:31:51,26,01:47:12
Vincent,Luis,FRA,19,00:18:16,00:00:46,00:55:05,00:01:08,00:32:00,27,01:47:20
Petr,Slajs,CZE,69,00:18:43,00:00:49,00:54:36,00:01:06,00:32:05,28,01:47:23
Marc,Widmer,SUI,27,00:18:58,00:00:46,00:55:09,00:01:08,00:31:19,29,01:47:26
Dustin,Mclarty,USA,49,00:18:17,00:00:49,00:55:04,00:01:13,00:32:01,30,01:47:28
Jorge Eduardo,Arias,COL,10,00:18:40,00:00:48,00:54:40,00:01:08,00:32:22,31,01:47:40
Juraci,Moreira,BRA,21,00:18:57,00:00:49,00:55:07,00:01:13,00:31:30,32,01:47:41
Phil,Wolfe,GBR,40,00:18:44,00:00:53,00:55:17,00:01:13,00:31:31,33,01:47:42
Brice,Daubord,FRA,20,00:19:19,00:00:48,00:54:46,00:01:03,00:31:57,34,01:47:58
Oscar David,Preciado,COL,44,00:19:22,00:00:48,00:54:46,00:01:11,00:31:48,35,01:47:59
Jorge,Naranjo Vichot,ESP,37,00:19:34,00:00:51,00:54:31,00:01:11,00:32:00,36,01:48:11
Jesus,Gomar,ESP,25,00:18:56,00:00:44,00:55:12,00:01:11,00:32:10,37,01:48:19
Dylan,Mcneice,NZL,7,00:18:18,00:00:46,00:55:02,00:01:11,00:33:04,38,01:48:25
Yannick,Lieners,LUX,58,00:19:56,00:00:46,00:54:15,00:01:08,00:32:21,39,01:48:28
Florin,Salvisberg,SUI,66,00:18:19,00:00:44,00:55:03,00:01:06,00:33:17,40,01:48:33
Alexander,Trappiel,GER,61,00:19:55,00:00:46,00:54:15,00:01:04,00:32:33,41,01:48:37
Tom,Vanderhoogerstraete,BEL,52,00:18:43,00:00:49,00:52:48,00:01:13,00:35:11,42,01:48:50
Tim,Dullaart,NED,65,00:18:32,00:00:48,00:54:49,00:01:11,00:33:32,43,01:48:56
Daniel,Halksworth,GBR,32,00:18:58,00:00:46,00:55:12,00:01:10,00:32:48,44,01:48:59
Andrea,Salvisberg,SUI,18,00:18:16,00:00:48,00:55:05,00:01:08,00:33:56,45,01:49:16
Peter ,Melcher,GER,46,00:18:31,00:00:49,00:54:49,00:01:16,00:33:50,46,01:49:21
Ritchie,Nicholls,GBR,26,00:20:03,00:00:44,00:56:40,00:01:08,00:30:45,47,01:49:22
Alain,Wuethrich,SUI,55,00:19:47,00:00:53,00:54:17,00:01:16,00:33:07,48,01:49:23
Aurélien,Lescure,FRA,9,00:19:11,00:00:44,00:54:59,00:01:13,00:33:14,49,01:49:26
Edo,Van Der Meer,NED,42,00:18:28,00:00:44,00:54:56,00:01:08,00:34:17,50,01:49:41
Sven,Strijk,NED,68,00:20:55,00:00:46,00:55:43,00:01:08,00:31:17,51,01:49:54
Stefan,Zachaeus,ITU,62,00:18:25,00:00:44,00:54:58,00:01:06,00:34:44,52,01:50:02
Yeray,Luxem,BEL,0,00:20:55,00:00:43,00:55:50,00:01:11,00:31:34,53,01:50:17
Felix,Duchampt,FRA,60,00:20:03,00:00:44,00:56:38,00:01:08,00:31:43,54,01:50:21
Simon,De Cuyper,BEL,33,00:19:51,00:00:44,00:56:51,00:01:06,00:32:12,55,01:50:48
Willem,Brems,BEL,73,00:18:37,00:00:51,00:52:52,00:01:16,00:37:10,56,01:50:50
Vincent,Bohm,NED,47,00:19:55,00:00:48,00:56:45,00:01:16,00:32:04,57,01:50:51
Lukas,Hollaus,AUT,51,00:20:04,00:00:44,00:56:37,00:01:16,00:32:16,58,01:51:02
Christoph,Lorber,AUT,56,00:20:10,00:00:44,00:56:32,00:01:11,00:33:04,59,01:51:46
Patrick,Rhyner,SUI,63,00:20:07,00:00:44,00:56:32,00:01:06,00:33:19,60,01:51:54
Peter,Denteneer,BEL,74,00:18:24,00:00:44,00:55:03,00:01:08,00:36:59,61,01:52:24
Yohann,Vincent,FRA,6,00:19:01,00:00:43,00:55:11,00:01:04,00:37:13,62,01:53:16
Richard,Varga,SVK,41,00:18:13,00:00:49,00:55:53,00:01:20,00:37:29,63,01:53:48
Daniel,Hofer,ITA,35,00:19:51,00:00:43,00:54:21,00:01:10,00:00:00,,00:00:00
Neil,Peters,LUX,0,00:18:57,00:00:46,00:55:12,00:01:16,00:00:00,,00:00:00
Patrick,Lange,GER,50,00:20:36,00:00:44,00:56:03,00:01:08,00:00:00,,00:00:00
Jose Miguel,Perez,ESP,2,00:18:52,00:00:46,00:00:00,00:00:00,00:00:00,,00:00:00
Fredrik,Ahlinder,SWE,70,00:19:09,00:00:53,00:00:00,00:00:00,00:00:00,,00:00:00
Michael,Rosu,BEL,67,00:19:12,00:00:46,00:00:00,00:00:00,00:00:00,,00:00:00
Daniel ,Rodriguez,ESP,17,00:19:50,00:00:44,00:00:00,00:00:00,00:00:00,,00:00:00
Matthias,Annaheim,SUI,54,00:19:57,00:00:46,00:00:00,00:00:00,00:00:00,,00:00:00
Matthias,Laureys,BEL,72,00:20:36,00:00:44,00:00:00,00:00:00,00:00:00,,00:00:00
Chandru,Alt,SUI,76,00:21:20,00:00:49,00:00:00,00:00:00,00:00:00,,00:00:00
Bart,Aernouts,BEL,45,00:22:01,00:00:44,00:00:00,00:00:00,00:00:00,,00:00:00
