ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SWIM,T1,BIKE,T2,RUN,POSITION,TOTAL TIME
Travis,Campbell,RSA,,00:19:48,00:00:00,01:02:30,00:00:00,00:43:39,13,02:05:58
Hendrik,De Villiers,RSA,,00:19:05,00:00:00,00:59:36,00:00:00,00:34:08,2,01:52:50
Tim,Don,GBR,,00:19:04,00:00:00,00:59:37,00:00:00,00:32:57,1,01:51:40
Claude,Eksteen,RSA,,00:19:55,00:00:00,00:58:46,00:00:00,00:00:00,DNF,00:00:00
Grant,Fullmore,RSA,,00:20:01,00:00:00,01:02:17,00:00:00,00:37:37,9,01:59:56
Glen,Gore,RSA,,00:19:50,00:00:00,01:02:36,00:00:00,00:39:48,12,02:02:15
Kent,Horner,RSA,,00:19:03,00:00:00,01:03:14,00:00:00,00:34:53,5,01:57:11
Christopher,Lionnet,RSA,,00:20:16,00:00:00,01:10:20,00:00:00,00:40:52,14,02:11:29
David,Morison,RSA,,00:21:57,00:00:00,01:00:20,00:00:00,00:38:42,10,02:01:01
Clayton,Payne,RSA,,00:21:31,00:00:00,01:00:46,00:00:00,00:36:15,7,01:58:34
Anton,Storm,RSA,,00:18:09,00:00:00,01:00:37,00:00:00,00:37:00,4,01:55:47
Brad,Storm,RSA,,00:19:07,00:00:00,00:59:35,00:00:00,00:36:13,3,01:54:56
Carl,Storm,RSA,,00:19:42,00:00:00,01:02:34,00:00:00,00:39:21,11,02:01:40
Erhard,Wolfaardt,RSA,,00:19:49,00:00:00,01:02:29,00:00:00,00:35:38,6,01:57:57
Richard,Woolrich,RSA,,00:19:52,00:00:00,01:02:25,00:00:00,00:37:06,8,01:59:24
