ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SWIM,T1,BIKE,T2,RUN,POSITION,TOTAL TIME
Laura,Bennett,USA,21,00:19:23,00:00:25,01:05:30,00:00:28,00:38:47,1,02:04:32
Annabel,Luxford,AUS,8,00:19:22,00:00:26,01:05:30,00:00:28,00:39:00,2,02:04:47
Mariana,Ohata,BRA,36,00:20:36,00:00:30,01:07:01,00:00:32,00:36:52,3,02:05:30
Sarah,Haskins,USA,7,00:19:19,00:00:30,01:05:31,00:00:34,00:39:55,4,02:05:48
Andrea,Whitcombe,GBR,20,00:20:35,00:00:34,01:07:01,00:00:35,00:37:08,5,02:05:52
Jessica,Harrison,FRA,30,00:19:25,00:00:27,01:05:28,00:00:32,00:40:05,6,02:05:56
Kiyomi,Niwata,JPN,11,00:20:50,00:00:32,01:06:46,00:00:31,00:37:36,7,02:06:13
Emma,Moffatt,AUS,16,00:19:48,00:00:28,01:07:51,00:00:31,00:37:51,8,02:06:27
Debbie,Tanner,NZL,9,00:20:42,00:00:28,01:06:55,00:00:30,00:38:16,9,02:06:49
Michelle,Dillon,GBR,5,00:21:02,00:00:27,01:06:38,00:00:36,00:38:42,10,02:07:23
Felicity,Abram,AUS,35,00:20:54,00:00:28,01:06:41,00:00:31,00:38:56,11,02:07:30
Samantha,Warriner,NZL,4,00:20:38,00:00:32,01:06:55,00:00:34,00:39:24,12,02:08:01
Juri,Ide,JPN,12,00:19:46,00:00:28,01:07:53,00:00:38,00:39:36,13,02:08:19
Julie,Ertel,USA,33,00:19:19,00:00:30,01:07:37,00:00:38,00:40:24,14,02:08:27
Shizuka,Kutsuna,JPN,37,00:20:42,00:00:28,01:06:56,00:00:33,00:40:13,15,02:08:51
Kathy,Tremblay,CAN,34,00:20:45,00:00:27,01:06:53,00:00:32,00:40:24,16,02:08:58
Sara,Mclarty,USA,22,00:19:18,00:00:28,01:05:34,00:00:31,00:44:09,17,02:10:00
Hongni,Wang,CHN,14,00:20:56,00:00:27,01:06:41,00:00:35,00:41:40,18,02:10:19
Akane,Furutani,JPN,44,00:19:46,00:00:28,01:07:55,00:00:38,00:41:53,19,02:10:38
Magdalena,Stovickova,SVK,49,00:20:32,00:00:34,01:07:01,00:00:36,00:42:37,20,02:11:18
Ai,Ueda,JPN,26,00:22:19,00:00:30,01:10:29,00:00:30,00:38:06,21,02:11:52
Margaret,Shapiro,USA,32,00:21:45,00:00:31,01:07:12,00:00:37,00:42:33,22,02:12:36
Evelyn,Williamson,NZL,42,00:21:46,00:00:31,01:13:24,00:00:39,00:41:55,23,02:18:15
Flora,Duffy,BER,17,00:21:03,00:00:28,01:14:02,00:00:39,00:43:42,24,02:19:54
Dunia,Gomez,MEX,39,00:22:34,00:00:30,01:12:33,00:00:33,00:45:18,25,02:21:28
Lin,Xing,CHN,27,00:20:55,00:00:28,01:14:15,00:00:34,00:46:55,26,02:23:06
Maria,Czesnik,POL,41,00:21:46,00:00:35,01:13:18,00:00:39,00:00:00,DNF,00:00:00
Erin,Densham,AUS,1,00:20:56,00:00:32,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Magali,Di Marco Messmer,SUI,6,00:19:49,00:00:28,01:07:49,00:00:34,00:00:00,DNF,00:00:00
Joelle,Franzmann,GER,10,00:19:35,00:00:28,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Vendula,Frintova,CZE,24,00:22:53,00:00:28,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Olga,Generalova,RUS,48,00:20:59,00:00:31,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Sarah,Groff,USA,23,00:19:48,00:00:32,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Lauren,Groves,CAN,18,00:20:47,00:00:28,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Evgeniya,Matveeva,RUS,28,00:20:57,00:00:31,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Jasmine,Oeinck,USA,31,00:19:52,00:00:35,01:07:41,00:00:39,00:00:00,DNF,00:00:00
Melody,Ramirez,MEX,40,00:22:32,00:00:34,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Jill,Savege,CAN,15,00:19:43,00:00:32,01:07:53,00:00:39,00:00:00,DNF,00:00:00
Emma,Snowsill,AUS,2,00:19:47,00:00:28,01:07:49,00:00:34,00:00:00,DNF,00:00:00
Kirsten,Sweetland,CAN,3,00:19:22,00:00:27,01:05:29,00:00:32,00:00:00,DNF,00:00:00
Zita,Szabo,HUN,46,00:21:34,00:00:32,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Misato,Takagi,JPN,38,00:21:45,00:00:34,01:13:53,00:01:13,00:00:00,DNF,00:00:00
Joanna,Zeiger,USA,25,00:19:19,00:00:28,01:05:31,00:00:32,00:00:00,DNF,00:00:00
Lenka,Zemanova,CZE,19,00:21:35,00:00:32,00:00:00,00:00:00,00:00:00,DNF,00:00:00
