ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SWIM,T1,BIKE,T2,RUN,POSITION,TOTAL TIME
Hideo,Fukui,JPN,8,00:18:40,00:00:00,00:57:07,00:00:00,00:33:47,1,01:49:35
Hiroyuki,Nishiuchi,JPN,3,00:18:41,00:00:00,00:56:58,00:00:00,00:34:37,2,01:50:16
Tsukasa,Hirano,JPN,7,00:17:57,00:00:00,00:57:53,00:00:00,00:34:42,3,01:50:32
Sam,Walker,NZL,37,00:18:41,00:00:00,00:56:58,00:00:00,00:35:06,4,01:50:47
Andrew,Wright,HKG,12,00:18:38,00:00:00,00:57:07,00:00:00,00:35:09,5,01:50:55
Kazuma,Higa,JPN,15,00:18:44,00:00:00,00:57:05,00:00:00,00:35:12,6,01:51:01
Junichi,Yamamoto,JPN,5,00:17:59,00:00:00,00:57:41,00:00:00,00:35:44,7,01:51:24
David,Matthews,AUS,0,00:18:38,00:00:00,00:56:55,00:00:00,00:36:03,8,01:51:36
Yuichi,Hosoda,JPN,2,00:18:41,00:00:00,00:57:10,00:00:00,00:35:47,9,01:51:40
Hirotsugu,Kuwahara,JPN,9,00:18:40,00:00:00,00:57:11,00:00:00,00:35:50,10,01:51:41
Takumi,Obara,JPN,18,00:18:45,00:00:00,00:57:01,00:00:00,00:36:10,11,01:51:58
Shingo,Yoshikoshi,JPN,22,00:18:41,00:00:00,00:57:05,00:00:00,00:36:41,12,01:52:28
Kunihiko,Miki,JPN,21,00:18:47,00:00:00,00:57:10,00:00:00,00:36:42,13,01:52:39
Hiroki,Sugimoto,JPN,4,00:18:44,00:00:00,00:59:46,00:00:00,00:34:57,14,01:53:27
Tomoyuki,Ono,JPN,34,00:18:41,00:00:00,00:57:05,00:00:00,00:38:44,15,01:54:30
Yuichi,Hasegawa,JPN,25,00:18:41,00:00:00,00:57:06,00:00:00,00:38:58,16,01:54:46
Kodo,Hiramatsu,JPN,11,00:20:10,00:00:00,00:58:24,00:00:00,00:36:33,17,01:55:08
Takahiro,Toyama,JPN,24,00:20:01,00:00:00,00:58:38,00:00:00,00:36:59,18,01:55:39
Ryosuke,Yamamoto,JPN,1,00:17:57,00:00:00,00:57:45,00:00:00,00:39:57,19,01:55:39
Jun,Taketomo,JPN,19,00:18:55,00:00:00,01:00:17,00:00:00,00:37:12,20,01:56:27
Satoshi,Iwata,JPN,10,00:18:49,00:00:00,00:59:54,00:00:00,00:38:12,21,01:56:55
Kosuke,Kanda,JPN,35,00:19:57,00:00:00,00:58:33,00:00:00,00:38:26,22,01:56:57
Kazuki,Inoue,JPN,20,00:20:15,00:00:00,00:58:24,00:00:00,00:38:23,23,01:57:01
Shinya,Kakitsuka,JPN,47,00:20:16,00:00:00,00:58:22,00:00:00,00:38:36,24,01:57:14
Taichi,Inudo,JPN,14,00:20:16,00:00:00,00:58:17,00:00:00,00:38:43,25,01:57:15
Masahiko,Oyadomari,JPN,50,00:18:46,00:00:00,01:00:06,00:00:00,00:39:40,26,01:58:32
Hirotaka,Nakano,JPN,27,00:20:11,00:00:00,00:58:30,00:00:00,00:40:12,27,01:58:52
Hirotaka,Yokoyama,JPN,41,00:20:18,00:00:00,01:03:39,00:00:00,00:37:14,28,02:01:13
Naoto,Kusu,JPN,28,00:20:12,00:00:00,01:04:01,00:00:00,00:39:11,29,02:03:24
Jun,Tanaka,JPN,26,00:22:03,00:00:00,01:03:57,00:00:00,00:37:40,30,02:03:40
Yuki,Umeda,JPN,31,00:20:15,00:00:00,01:05:50,00:00:00,00:37:38,31,02:03:43
Hidenori,Nakazono,JPN,38,00:19:57,00:00:00,00:58:58,00:00:00,00:45:10,32,02:04:07
Takashi,Hayano,JPN,44,00:22:01,00:00:00,01:03:49,00:00:00,00:38:23,33,02:04:13
Yuki,Harada,JPN,43,00:18:49,00:00:00,00:59:56,00:00:00,00:45:46,34,02:04:31
Sho,Higashino,JPN,17,00:20:59,00:00:00,01:05:00,00:00:00,00:39:17,35,02:05:18
Reishi,Higuchi,JPN,0,00:18:53,00:00:00,01:05:11,00:00:00,00:42:28,36,02:06:32
Koichi,Kikuchi,JPN,32,00:21:55,00:00:00,01:04:02,00:00:00,00:40:59,37,02:06:57
Tomokazu,Miyazaki,JPN,49,00:20:18,00:00:00,01:03:45,00:00:00,00:43:19,38,02:07:22
Takafumi,Harada,JPN,36,00:20:15,00:00:00,01:05:50,00:00:00,00:43:52,39,02:09:57
Hiroyuki,Koide,JPN,33,00:24:22,00:00:00,01:07:57,00:00:00,00:38:29,40,02:10:49
Hiroyuki,Fujii,JPN,42,00:24:15,00:00:00,01:08:03,00:00:00,00:39:58,41,02:12:17
Tsuyoshi,Watanabe,JPN,45,00:25:44,00:00:00,01:08:23,00:00:00,00:42:19,42,02:16:26
Tomoharu,Shirakata,JPN,29,00:25:47,00:00:00,01:08:40,00:00:00,00:46:28,43,02:20:56
Takeshi,Hirakawa,JPN,39,00:21:14,00:00:00,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Satomi,Ichigi,JPN,40,00:28:10,00:00:00,01:19:00,00:00:00,00:00:00,DNF,00:00:00
Shinya,Suganuma,JPN,48,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,DNS,00:00:00
Kuniaki,Takahama,JPN,6,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,DNS,00:00:00
Yoshiaki,Tomizaki,JPN,30,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,DNS,00:00:00
Mayafumi,Wakasugi,JPN,23,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,DNS,00:00:00
