ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SWIM,T1,BIKE,T2,RUN,POSITION,TOTAL TIME
Michellie,Jones,AUS,0,00:18:44,00:00:24,01:07:07,00:00:22,00:35:48,1,02:02:29
Brigitte,Mcmahon,SUI,0,00:18:45,00:00:22,01:07:29,00:00:14,00:35:46,2,02:02:39
Magali,Di Marco Messmer,SUI,0,00:18:34,00:00:34,01:07:15,00:00:26,00:35:55,3,02:02:45
Wieke,Hoogzaad,NED,0,00:18:41,00:00:31,01:07:04,00:00:26,00:37:11,4,02:03:58
Joelle,Franzmann,GER,0,00:18:37,00:00:26,01:07:05,00:00:22,00:37:28,5,02:04:02
Nicole,Hackett,AUS,0,00:18:08,00:00:29,01:07:46,00:00:24,00:37:36,6,02:04:27
Jennifer,Gutierrez,USA,0,00:18:37,00:00:29,01:07:27,00:00:14,00:37:55,7,02:04:46
Susan,Bartholomew,USA,0,00:18:42,00:00:31,01:07:05,00:00:24,00:38:10,8,02:04:58
Isabelle,Mouthon-Michellys,FRA,0,00:18:44,00:00:29,01:07:03,00:00:27,00:38:34,9,02:05:21
Christine,Hocq,FRA,0,00:18:37,00:00:34,01:07:12,00:00:31,00:38:47,10,02:05:45
Joanne,King,AUS,0,00:19:34,00:00:29,01:08:23,00:00:12,00:37:07,11,02:05:46
Barbara,Lindquist,USA,0,00:17:52,00:00:36,01:08:06,00:00:09,00:39:01,12,02:05:48
Emma,Carney,AUS,0,00:19:43,00:00:24,01:08:37,00:00:24,00:36:43,13,02:05:55
Anja,Dittmer,GER,0,00:19:44,00:00:31,01:08:27,00:00:27,00:36:50,14,02:06:02
Melissa,Ashton,AUS,0,00:19:35,00:00:31,01:08:39,00:00:24,00:37:03,15,02:06:17
Mariana,Ohata,BRA,0,00:19:31,00:00:39,01:08:36,00:00:26,00:37:03,16,02:06:18
Machiko,Nakanishi,JPN,0,00:18:49,00:00:26,01:07:11,00:00:27,00:39:24,17,02:06:19
Evelyn,Williamson,NZL,0,00:18:46,00:00:31,01:07:15,00:00:14,00:39:39,18,02:06:27
Mieke,Suys,BEL,0,00:19:37,00:00:31,01:08:38,00:00:26,00:37:23,19,02:06:40
Kathleen,Smet,BEL,0,00:18:54,00:00:34,01:09:01,00:00:14,00:38:04,20,02:06:50
Nora,Edocseny,HUN,0,00:19:39,00:00:32,01:08:37,00:00:26,00:37:49,21,02:07:07
Karen,Smyers,USA,0,00:19:45,00:00:49,01:10:04,00:00:29,00:36:32,22,02:07:44
Renata,Berkova,CZE,0,00:18:48,00:00:36,01:09:31,00:00:26,00:38:23,23,02:07:46
Jackie,Gallagher,AUS,0,00:20:09,00:00:32,01:09:45,00:00:27,00:37:05,24,02:08:02
Carla,Moreno,BRA,0,00:19:38,00:00:27,01:08:43,00:00:26,00:38:51,25,02:08:09
Sibylle,Matter,SUI,0,00:19:20,00:00:32,01:08:37,00:00:14,00:40:00,26,02:08:46
Sandra,Soldan,BRA,0,00:18:48,00:00:34,01:08:55,00:00:31,00:40:01,27,02:08:53
