ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SWIM,T1,BIKE,T2,RUN,POSITION,TOTAL TIME
Anne,Haug,GER,1,00:20:04,00:00:49,01:13:11,00:00:27,00:33:47,1,02:08:20
Maaike,Caelers,NED,7,00:19:31,00:00:53,01:13:40,00:00:30,00:33:46,2,02:08:23
Felicity,Abram,AUS,24,00:19:36,00:00:51,01:13:39,00:00:31,00:33:52,3,02:08:33
Kate,Mcilroy,NZL,5,00:19:31,00:00:54,01:13:38,00:00:28,00:34:09,4,02:08:43
Nicky,Samuels,NZL,11,00:19:20,00:00:55,01:13:47,00:00:29,00:34:50,5,02:09:25
Yuka,Sato,JPN,18,00:19:17,00:00:59,01:13:49,00:00:28,00:35:07,6,02:09:43
Jessica,Harrison,FRA,6,00:19:26,00:00:52,01:13:47,00:00:28,00:35:11,7,02:09:46
Juri,Ide,JPN,9,00:19:29,00:00:54,01:13:43,00:00:29,00:35:19,8,02:09:57
Charlotte,McShane,AUS,26,00:19:23,00:00:52,01:13:50,00:00:31,00:35:34,9,02:10:13
Natalie,Van Coevorden,AUS,25,00:19:22,00:00:55,01:13:48,00:00:31,00:35:36,10,02:10:15
Alice,Betto,ITA,21,00:19:27,00:00:54,01:13:43,00:00:31,00:35:45,11,02:10:23
Aileen,Reid,IRL,8,00:19:20,00:00:57,01:13:47,00:00:31,00:36:17,12,02:10:55
Barbara,Riveros,CHI,3,00:20:07,00:00:53,01:14:08,00:00:33,00:35:13,13,02:10:56
Yuko,Takahashi,JPN,12,00:19:26,00:00:53,01:14:49,00:00:27,00:35:41,14,02:11:18
Andrea,Hewitt,NZL,2,00:19:37,00:00:52,01:14:39,00:00:29,00:36:00,15,02:11:40
Kate,Roberts,RSA,19,00:19:28,00:00:52,01:14:49,00:00:34,00:35:58,16,02:11:43
Annamaria,Mazzetti,ITA,20,00:19:31,00:00:51,01:14:48,00:00:29,00:36:25,17,02:12:06
Samantha,Warriner,NZL,32,00:20:14,00:00:56,01:14:00,00:00:32,00:36:46,18,02:12:31
Anja,Knapp,GER,14,00:19:21,00:00:54,01:13:48,00:00:26,00:38:08,19,02:12:39
Anja,Dittmer,GER,16,00:19:56,00:00:56,01:14:17,00:00:31,00:37:07,20,02:12:49
Vendula,Frintova,CZE,22,00:19:24,00:00:52,01:14:52,00:00:28,00:37:12,21,02:12:51
Radka,Vodickova,CZE,23,00:19:35,00:00:55,01:14:39,00:00:32,00:38:16,22,02:14:00
Ai,Ueda,JPN,17,00:21:03,00:00:57,01:17:07,00:00:32,00:35:49,23,02:15:30
Mikayla,Nielsen,NZL,31,00:20:09,00:00:50,01:19:47,00:00:35,00:37:33,24,02:18:56
Gwen,Jorgensen,USA,4,00:20:03,00:00:57,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Jodie,Stimpson,GBR,10,00:19:37,00:00:55,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Emma,Jackson,AUS,15,00:19:29,00:00:53,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Simone,Ackermann,NZL,30,00:19:25,00:00:55,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Rebecca,Kingsford,NZL,28,00:19:38,00:00:53,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Yun-Jung,Jang,KOR,29,00:19:27,00:00:58,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Katie ,Hewison,GBR,27,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,DNS,00:00:00
